; Candidate 5445
; ADRP+ADD at VM 0xfffffff0087f10c8 (fileoff 0x17ed0c8): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f1048: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f104c: fa0300f9  str	x26, [sp]
0xfffffff0087f1050: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1054: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1058: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f105c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f1060: 02008052  mov	w2, #0
0xfffffff0087f1064: 3308ed97  bl	#0xfffffff008333130
0xfffffff0087f1068: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0087f106c: 1e000014  b	#0xfffffff0087f10e4
0xfffffff0087f1070: 4f0c0394  bl	#0xfffffff0088b41ac
0xfffffff0087f1074: fa0300aa  mov	x26, x0
0xfffffff0087f1078: e0008052  mov	w0, #7
0xfffffff0087f107c: f5290294  bl	#0xfffffff00887b850
0xfffffff0087f1080: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f1084: 895b40b9  ldr	w9, [x28, #0x58]
0xfffffff0087f1088: ea1a40b9  ldr	w10, [x23, #0x18]
0xfffffff0087f108c: eb2240b9  ldr	w11, [x23, #0x20]
0xfffffff0087f1090: ea2f06a9  stp	x10, x11, [sp, #0x60]
0xfffffff0087f1094: ea0318aa  mov	x10, x24
0xfffffff0087f1098: ea6705a9  stp	x10, x25, [sp, #0x50]
0xfffffff0087f109c: e95f04a9  stp	x9, x23, [sp, #0x40]
0xfffffff0087f10a0: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f10a4: 68788052  mov	w8, #0x3c3
0xfffffff0087f10a8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087f10ac: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f10b0: 08a90791  add	x8, x8, #0x1ea
0xfffffff0087f10b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f10b8: 080f8052  mov	w8, #0x78
0xfffffff0087f10bc: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f10c0: 63a42e91  add	x3, x3, #0xba9
0xfffffff0087f10c4: fa2300a9  stp	x26, x8, [sp]
0xfffffff0087f10c8: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f10cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f10d0: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f10d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f10d8: 02008052  mov	w2, #0
0xfffffff0087f10dc: 1508ed97  bl	#0xfffffff008333130
0xfffffff0087f10e0: 1a008052  mov	w26, #0
0xfffffff0087f10e4: 000f8052  mov	w0, #0x78
0xfffffff0087f10e8: 01018052  mov	w1, #8
0xfffffff0087f10ec: b9290294  bl	#0xfffffff00887b7d0
0xfffffff0087f10f0: 80050034  cbz	w0, #0xfffffff0087f11a0
0xfffffff0087f10f4: 000f8052  mov	w0, #0x78
0xfffffff0087f10f8: c8290294  bl	#0xfffffff00887b818
0xfffffff0087f10fc: fc0300aa  mov	x28, x0
0xfffffff0087f1100: 2b0c0394  bl	#0xfffffff0088b41ac
0xfffffff0087f1104: fb0300aa  mov	x27, x0
0xfffffff0087f1108: 00018052  mov	w0, #8
0xfffffff0087f110c: d1290294  bl	#0xfffffff00887b850
0xfffffff0087f1110: dc010034  cbz	w28, #0xfffffff0087f1148
0xfffffff0087f1114: f96b05a9  stp	x25, x26, [sp, #0x50]
0xfffffff0087f1118: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087f111c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f1120: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f1124: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1128: 08a90791  add	x8, x8, #0x1ea
0xfffffff0087f112c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f1130: 080f8052  mov	w8, #0x78
0xfffffff0087f1134: 2051ff90  adrp	x0, #0xfffffff007215000
0xfffffff0087f1138: 00c40c91  add	x0, x0, #0x331
0xfffffff0087f113c: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087f1140: c818d797  bl	#0xfffffff007db7460
0xfffffff0087f1144: 17000014  b	#0xfffffff0087f11a0
