; Candidate 7407
; ADRP+ADD at VM 0xfffffff00886be38 (fileoff 0x1867e38): page=0x1fe97e000 add_imm=0xe80

0xfffffff00886bdb8: e10315aa  mov	x1, x21
0xfffffff00886bdbc: 853e0094  bl	#0xfffffff00887b7d0
0xfffffff00886bdc0: e0060034  cbz	w0, #0xfffffff00886be9c
0xfffffff00886bdc4: e00313aa  mov	x0, x19
0xfffffff00886bdc8: 943e0094  bl	#0xfffffff00887b818
0xfffffff00886bdcc: 54010034  cbz	w20, #0xfffffff00886bdf4
0xfffffff00886bdd0: 5f031b72  tst	w26, #0x20
0xfffffff00886bdd4: e8179f1a  cset	w8, eq
0xfffffff00886bdd8: 0800080a  and	w8, w0, w8
0xfffffff00886bddc: 1f050071  cmp	w8, #1
0xfffffff00886bde0: c1020054  b.ne	#0xfffffff00886be38
0xfffffff00886bde4: c04dffb0  adrp	x0, #0xfffffff007224000
0xfffffff00886bde8: 001c2391  add	x0, x0, #0x8c7
0xfffffff00886bdec: 9d2dd597  bl	#0xfffffff007db7460
0xfffffff00886bdf0: 2b000014  b	#0xfffffff00886be9c
0xfffffff00886bdf4: f6031aaa  mov	x22, x26
0xfffffff00886bdf8: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff00886bdfc: 1f011b72  tst	w8, #0x20
0xfffffff00886be00: e8179f1a  cset	w8, eq
0xfffffff00886be04: 1700080a  and	w23, w0, w8
0xfffffff00886be08: e9200194  bl	#0xfffffff0088b41ac
0xfffffff00886be0c: fa0300aa  mov	x26, x0
0xfffffff00886be10: e00315aa  mov	x0, x21
0xfffffff00886be14: 8f3e0094  bl	#0xfffffff00887b850
0xfffffff00886be18: ff060071  cmp	w23, #1
0xfffffff00886be1c: 01020054  b.ne	#0xfffffff00886be5c
0xfffffff00886be20: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff00886be24: fa0300f9  str	x26, [sp]
0xfffffff00886be28: c04dffb0  adrp	x0, #0xfffffff007224000
0xfffffff00886be2c: 00282391  add	x0, x0, #0x8ca
0xfffffff00886be30: 8c2dd597  bl	#0xfffffff007db7460
0xfffffff00886be34: 19000014  b	#0xfffffff00886be98
0xfffffff00886be38: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886be3c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886be40: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886be44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886be48: 02008052  mov	w2, #0
0xfffffff00886be4c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886be50: 63882091  add	x3, x3, #0x822
0xfffffff00886be54: b71ceb97  bl	#0xfffffff008333130
0xfffffff00886be58: 11000014  b	#0xfffffff00886be9c
0xfffffff00886be5c: d4200194  bl	#0xfffffff0088b41ac
0xfffffff00886be60: fa0300aa  mov	x26, x0
0xfffffff00886be64: e00315aa  mov	x0, x21
0xfffffff00886be68: 7a3e0094  bl	#0xfffffff00887b850
0xfffffff00886be6c: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00886be70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886be74: fa0300f9  str	x26, [sp]
0xfffffff00886be78: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886be7c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886be80: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886be84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886be88: 02008052  mov	w2, #0
0xfffffff00886be8c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886be90: 63902091  add	x3, x3, #0x824
0xfffffff00886be94: a71ceb97  bl	#0xfffffff008333130
0xfffffff00886be98: fa0316aa  mov	x26, x22
0xfffffff00886be9c: e00319aa  mov	x0, x25
0xfffffff00886bea0: 0d0eff97  bl	#0xfffffff00882f6d4
0xfffffff00886bea4: f90300aa  mov	x25, x0
0xfffffff00886bea8: e00318aa  mov	x0, x24
0xfffffff00886beac: 4c10ff97  bl	#0xfffffff00882ffdc
0xfffffff00886beb0: 3f0300eb  cmp	x25, x0
0xfffffff00886beb4: 41f7ff54  b.ne	#0xfffffff00886bd9c
