; Candidate 801
; ADRP+ADD at VM 0xfffffff0080b63f4 (fileoff 0x10b23f4): page=0x1fefc1000 add_imm=0xdb3

0xfffffff0080b6374: 10000014  b	#0xfffffff0080b63b4
0xfffffff0080b6378: e81240f9  ldr	x8, [x23, #0x20]
0xfffffff0080b637c: 68faffb4  cbz	x8, #0xfffffff0080b62c8
0xfffffff0080b6380: e81e4079  ldrh	w8, [x23, #0xe]
0xfffffff0080b6384: 09068152  mov	w9, #0x830
0xfffffff0080b6388: 3f01286a  bics	wzr, w9, w8
0xfffffff0080b638c: 80f3ff54  b.eq	#0xfffffff0080b61fc
0xfffffff0080b6390: ceffff17  b	#0xfffffff0080b62c8
0xfffffff0080b6394: 081cff97  bl	#0xfffffff00807d3b4
0xfffffff0080b6398: e84e42b9  ldr	w8, [x23, #0x24c]
0xfffffff0080b639c: 1f010071  cmp	w8, #0
0xfffffff0080b63a0: 6d030054  b.le	#0xfffffff0080b640c
0xfffffff0080b63a4: 08050051  sub	w8, w8, #1
0xfffffff0080b63a8: e84e02b9  str	w8, [x23, #0x24c]
0xfffffff0080b63ac: 48ffff17  b	#0xfffffff0080b60cc
0xfffffff0080b63b0: 011cff97  bl	#0xfffffff00807d3b4
0xfffffff0080b63b4: 130100b4  cbz	x19, #0xfffffff0080b63d4
0xfffffff0080b63b8: a8ba41f9  ldr	x8, [x21, #0x370]
0xfffffff0080b63bc: 000140f9  ldr	x0, [x8]
0xfffffff0080b63c0: a1be41f9  ldr	x1, [x21, #0x378]
0xfffffff0080b63c4: 57a90094  bl	#0xfffffff0080e0920
0xfffffff0080b63c8: e00313aa  mov	x0, x19
0xfffffff0080b63cc: 21008052  mov	w1, #1
0xfffffff0080b63d0: f3b50594  bl	#0xfffffff008223b9c
0xfffffff0080b63d4: e00314aa  mov	x0, x20
0xfffffff0080b63d8: ca1cff97  bl	#0xfffffff00807d700
0xfffffff0080b63dc: 15008052  mov	w21, #0
0xfffffff0080b63e0: ceffff17  b	#0xfffffff0080b6318
0xfffffff0080b63e4: e00314aa  mov	x0, x20
0xfffffff0080b63e8: dfd8f397  bl	#0xfffffff007dac764
0xfffffff0080b63ec: 13f9ffb5  cbnz	x19, #0xfffffff0080b630c
0xfffffff0080b63f0: caffff17  b	#0xfffffff0080b6318
0xfffffff0080b63f4: 007effb0  adrp	x0, #0xfffffff007077000
0xfffffff0080b63f8: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080b63fc: 017effb0  adrp	x1, #0xfffffff007077000
0xfffffff0080b6400: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080b6404: e2088052  mov	w2, #0x47
0xfffffff0080b6408: 03a50f94  bl	#0xfffffff00849f814
0xfffffff0080b640c: a07effb0  adrp	x0, #0xfffffff00708b000
0xfffffff0080b6410: 00783591  add	x0, x0, #0xd5e
0xfffffff0080b6414: e17dffd0  adrp	x1, #0xfffffff007074000
0xfffffff0080b6418: 21683691  add	x1, x1, #0xd9a
0xfffffff0080b641c: 42598052  mov	w2, #0x2ca
0xfffffff0080b6420: fda40f94  bl	#0xfffffff00849f814
0xfffffff0080b6424: 5f2403d5  bti	c
0xfffffff0080b6428: 086040b9  ldr	w8, [x0, #0x60]
0xfffffff0080b642c: 09308052  mov	w9, #0x180
0xfffffff0080b6430: 3f01286a  bics	wzr, w9, w8
0xfffffff0080b6434: 21010054  b.ne	#0xfffffff0080b6458
0xfffffff0080b6438: 09a04c29  ldp	w9, w8, [x0, #0x64]
0xfffffff0080b643c: 0801094b  sub	w8, w8, w9
0xfffffff0080b6440: 09285429  ldp	w9, w10, [x0, #0xa0]
0xfffffff0080b6444: 1f01096b  cmp	w8, w9
0xfffffff0080b6448: 0881891a  csel	w8, w8, w9, hi
0xfffffff0080b644c: 08dc01b9  str	w8, [x0, #0x1dc]
0xfffffff0080b6450: 0ae001b9  str	w10, [x0, #0x1e0]
0xfffffff0080b6454: 0a000014  b	#0xfffffff0080b647c
0xfffffff0080b6458: 00c049fc  ldur	d0, [x0, #0x9c]
0xfffffff0080b645c: 00ec00fd  str	d0, [x0, #0x1d8]
0xfffffff0080b6460: 09a440b9  ldr	w9, [x0, #0xa4]
0xfffffff0080b6464: 09e001b9  str	w9, [x0, #0x1e0]
0xfffffff0080b6468: 6800a837  tbnz	w8, #0x15, #0xfffffff0080b6474
0xfffffff0080b646c: 08790912  and	w8, w8, #0xffbfffff
0xfffffff0080b6470: 02000014  b	#0xfffffff0080b6478
