; Candidate 14666
; ADRP+ADD at VM 0xfffffff009874384 (fileoff 0x2870384): page=0xb1f000 add_imm=0xe60

0xfffffff009874304: 61020054  b.ne	#0xfffffff009874350
0xfffffff009874308: f30301aa  mov	x19, x1
0xfffffff00987430c: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff009874310: 681ffff0  adrp	x8, #0xfffffff007c63000
0xfffffff009874314: 08411891  add	x8, x8, #0x610
0xfffffff009874318: 010140f9  ldr	x1, [x8]
0xfffffff00987431c: 76bea997  bl	#0xfffffff0082e3cf4
0xfffffff009874320: 800100b4  cbz	x0, #0xfffffff009874350
0xfffffff009874324: 617e0094  bl	#0xfffffff009893ca8
0xfffffff009874328: e10313aa  mov	x1, x19
0xfffffff00987432c: 82008052  mov	w2, #4
0xfffffff009874330: 03008052  mov	w3, #0
0xfffffff009874334: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009874338: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00987433c: ff2303d5  autibsp	
0xfffffff009874340: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009874344: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00987434c
0xfffffff009874348: 208e38d4  brk	#0xc471
0xfffffff00987434c: 7e7dad17  b	#0xfffffff0083d3944
0xfffffff009874350: 40588052  mov	w0, #0x2c2
0xfffffff009874354: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009874358: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00987435c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009874360: ff0f5fd6  retab	
0xfffffff009874364: 5f2403d5  bti	c
0xfffffff009874368: e3c0a917  b	#0xfffffff0082e46f4
0xfffffff00987436c: 5f2403d5  bti	c
0xfffffff009874370: 000080d2  mov	x0, #0
0xfffffff009874374: c0035fd6  ret	
0xfffffff009874378: 7f2303d5  pacibsp	
0xfffffff00987437c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009874380: fd030091  mov	x29, sp
0xfffffff009874384: e05800f0  adrp	x0, #0xfffffff00a393000
0xfffffff009874388: 00803991  add	x0, x0, #0xe60
0xfffffff00987438c: a1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff009874390: 21b83b91  add	x1, x1, #0xeee
0xfffffff009874394: e25800f0  adrp	x2, #0xfffffff00a393000
0xfffffff009874398: 42403391  add	x2, x2, #0xcd0
0xfffffff00987439c: 03148052  mov	w3, #0xa0
0xfffffff0098743a0: e6bda997  bl	#0xfffffff0082e3b38
0xfffffff0098743a4: 701fff90  adrp	x16, #0xfffffff007c60000
0xfffffff0098743a8: 10021b91  add	x16, x16, #0x6c0
0xfffffff0098743ac: 10420091  add	x16, x16, #0x10
0xfffffff0098743b0: f10300aa  mov	x17, x0
0xfffffff0098743b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098743b8: 300ac1da  pacda	x16, x17
0xfffffff0098743bc: 100000f9  str	x16, [x0]
0xfffffff0098743c0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098743c4: ff0f5fd6  retab	
0xfffffff0098743c8: 5f2403d5  bti	c
0xfffffff0098743cc: e05800f0  adrp	x0, #0xfffffff00a393000
0xfffffff0098743d0: 00803991  add	x0, x0, #0xe60
0xfffffff0098743d4: c8c0a917  b	#0xfffffff0082e46f4
0xfffffff0098743d8: 7f2303d5  pacibsp	
0xfffffff0098743dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098743e0: fd030091  mov	x29, sp
0xfffffff0098743e4: a1eafed0  adrp	x1, #0xfffffff0075ca000
0xfffffff0098743e8: 21241291  add	x1, x1, #0x489
0xfffffff0098743ec: e25800f0  adrp	x2, #0xfffffff00a393000
0xfffffff0098743f0: 42403391  add	x2, x2, #0xcd0
0xfffffff0098743f4: 030b8052  mov	w3, #0x58
0xfffffff0098743f8: d0bda997  bl	#0xfffffff0082e3b38
0xfffffff0098743fc: 701fff90  adrp	x16, #0xfffffff007c60000
0xfffffff009874400: 10c21f91  add	x16, x16, #0x7f0
