; Candidate 7746
; ADRP+ADD at VM 0xfffffff00887ce30 (fileoff 0x1878e30): page=0x1fe96d000 add_imm=0xe80

0xfffffff00887cdb0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff00887cdb4: 11093fd7  blraa	x8, x17
0xfffffff00887cdb8: 1f100071  cmp	w0, #4
0xfffffff00887cdbc: a10e0054  b.ne	#0xfffffff00887cf90
0xfffffff00887cdc0: b00240f9  ldr	x16, [x21]
0xfffffff00887cdc4: f10315aa  mov	x17, x21
0xfffffff00887cdc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887cdcc: 301ac1da  autda	x16, x17
0xfffffff00887cdd0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00887cdd4: e90310aa  mov	x9, x16
0xfffffff00887cdd8: e00315aa  mov	x0, x21
0xfffffff00887cddc: f10309aa  mov	x17, x9
0xfffffff00887cde0: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00887cde4: 11093fd7  blraa	x8, x17
0xfffffff00887cde8: 15008052  mov	w21, #0
0xfffffff00887cdec: 080040b9  ldr	w8, [x0]
0xfffffff00887cdf0: 880200b9  str	w8, [x20]
0xfffffff00887cdf4: 09010014  b	#0xfffffff00887d218
0xfffffff00887cdf8: eddc0094  bl	#0xfffffff0088b41ac
0xfffffff00887cdfc: f50300aa  mov	x21, x0
0xfffffff00887ce00: 00018052  mov	w0, #8
0xfffffff00887ce04: 93faff97  bl	#0xfffffff00887b850
0xfffffff00887ce08: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887ce0c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00887ce10: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887ce14: 08dd1291  add	x8, x8, #0x4b7
0xfffffff00887ce18: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887ce1c: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887ce20: 08b91891  add	x8, x8, #0x62e
0xfffffff00887ce24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887ce28: 280b8052  mov	w8, #0x59
0xfffffff00887ce2c: f52300a9  stp	x21, x8, [sp]
0xfffffff00887ce30: 604bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887ce34: 00003a91  add	x0, x0, #0xe80
0xfffffff00887ce38: 618cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00887ce3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887ce40: e34efff0  adrp	x3, #0xfffffff00725b000
0xfffffff00887ce44: 63500c91  add	x3, x3, #0x314
0xfffffff00887ce48: 02008052  mov	w2, #0
0xfffffff00887ce4c: b9d8ea97  bl	#0xfffffff008333130
0xfffffff00887ce50: f4f6ffb5  cbnz	x20, #0xfffffff00887cd2c
0xfffffff00887ce54: 200b8052  mov	w0, #0x59
0xfffffff00887ce58: 81008052  mov	w1, #4
0xfffffff00887ce5c: 5dfaff97  bl	#0xfffffff00887b7d0
0xfffffff00887ce60: e0110034  cbz	w0, #0xfffffff00887d09c
0xfffffff00887ce64: 200b8052  mov	w0, #0x59
0xfffffff00887ce68: 6cfaff97  bl	#0xfffffff00887b818
0xfffffff00887ce6c: f60300aa  mov	x22, x0
0xfffffff00887ce70: cfdc0094  bl	#0xfffffff0088b41ac
0xfffffff00887ce74: f50300aa  mov	x21, x0
0xfffffff00887ce78: 80008052  mov	w0, #4
0xfffffff00887ce7c: 75faff97  bl	#0xfffffff00887b850
0xfffffff00887ce80: b60d0034  cbz	w22, #0xfffffff00887d034
0xfffffff00887ce84: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887ce88: 894dff90  adrp	x9, #0xfffffff00722c000
0xfffffff00887ce8c: 29191391  add	x9, x9, #0x4c6
0xfffffff00887ce90: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00887ce94: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00887ce98: 682e8052  mov	w8, #0x173
0xfffffff00887ce9c: 894dff90  adrp	x9, #0xfffffff00722c000
0xfffffff00887cea0: 29dd1291  add	x9, x9, #0x4b7
0xfffffff00887cea4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887cea8: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887ceac: 08b91891  add	x8, x8, #0x62e
