; Candidate 8334
; ADRP+ADD at VM 0xfffffff0088a4384 (fileoff 0x18a0384): page=0x1fe945000 add_imm=0xe80

0xfffffff0088a4304: 00480991  add	x0, x0, #0x252
0xfffffff0088a4308: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a430c: 554cd497  bl	#0xfffffff007db7460
0xfffffff0088a4310: 140080d2  mov	x20, #0
0xfffffff0088a4314: 08008052  mov	w8, #0
0xfffffff0088a4318: 78000014  b	#0xfffffff0088a44f8
0xfffffff0088a431c: a43f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4320: fa0300aa  mov	x26, x0
0xfffffff0088a4324: 80008052  mov	w0, #4
0xfffffff0088a4328: 4a5dff97  bl	#0xfffffff00887b850
0xfffffff0088a432c: 680240b9  ldr	w8, [x19]
0xfffffff0088a4330: e90318aa  mov	x9, x24
0xfffffff0088a4334: e9e706a9  stp	x9, x25, [sp, #0x68]
0xfffffff0088a4338: e90316aa  mov	x9, x22
0xfffffff0088a433c: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff0088a4340: e90314aa  mov	x9, x20
0xfffffff0088a4344: e9d704a9  stp	x9, x21, [sp, #0x48]
0xfffffff0088a4348: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088a434c: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4350: 0a050791  add	x10, x8, #0x1c1
0xfffffff0088a4354: c8398052  mov	w8, #0x1ce
0xfffffff0088a4358: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a435c: 29790591  add	x9, x9, #0x15e
0xfffffff0088a4360: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a4364: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4368: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a436c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a4370: 680f8052  mov	w8, #0x7b
0xfffffff0088a4374: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4378: 63680491  add	x3, x3, #0x11a
0xfffffff0088a437c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a4380: fa0300f9  str	x26, [sp]
0xfffffff0088a4384: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4388: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a438c: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4390: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4394: 02008052  mov	w2, #0
0xfffffff0088a4398: 663bea97  bl	#0xfffffff008333130
0xfffffff0088a439c: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0088a43a0: a6000014  b	#0xfffffff0088a4638
0xfffffff0088a43a4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088a43a8: 3f050071  cmp	w9, #1
0xfffffff0088a43ac: 680a0054  b.hi	#0xfffffff0088a44f8
0xfffffff0088a43b0: c9060012  and	w9, w22, #3
0xfffffff0088a43b4: 290a0035  cbnz	w9, #0xfffffff0088a44f8
0xfffffff0088a43b8: 9f0215eb  cmp	x20, x21
0xfffffff0088a43bc: cd080054  b.le	#0xfffffff0088a44d4
0xfffffff0088a43c0: 4e000014  b	#0xfffffff0088a44f8
0xfffffff0088a43c4: 7a3f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a43c8: fa0300aa  mov	x26, x0
0xfffffff0088a43cc: 00018052  mov	w0, #8
0xfffffff0088a43d0: 205dff97  bl	#0xfffffff00887b850
0xfffffff0088a43d4: 680240b9  ldr	w8, [x19]
0xfffffff0088a43d8: 891740b9  ldr	w9, [x28, #0x14]
0xfffffff0088a43dc: ea0316aa  mov	x10, x22
0xfffffff0088a43e0: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a43e4: e90314aa  mov	x9, x20
0xfffffff0088a43e8: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088a43ec: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a43f0: 08448052  mov	w8, #0x220
0xfffffff0088a43f4: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a43f8: 29790591  add	x9, x9, #0x15e
0xfffffff0088a43fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a4400: 684cffd0  adrp	x8, #0xfffffff007232000
