; Candidate 4573
; ADRP+ADD at VM 0xfffffff0087bbc84 (fileoff 0x17b7c84): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bbc04: f51200b9  str	w21, [x23, #0x10]
0xfffffff0087bbc08: bf0a0031  cmn	w21, #2
0xfffffff0087bbc0c: 6c010054  b.gt	#0xfffffff0087bbc38
0xfffffff0087bbc10: 28758252  mov	w8, #0x13a9
0xfffffff0087bbc14: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bbc18: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbc1c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbc20: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbc24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbc28: 02008052  mov	w2, #0
0xfffffff0087bbc2c: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbc30: 63c83c91  add	x3, x3, #0xf32
0xfffffff0087bbc34: 3fdded97  bl	#0xfffffff008333130
0xfffffff0087bbc38: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0087bbc3c: 1f0116eb  cmp	x8, x22
0xfffffff0087bbc40: ba029a1a  csel	w26, w21, w26, eq
0xfffffff0087bbc44: 9f0316eb  cmp	x28, x22
0xfffffff0087bbc48: b902991a  csel	w25, w21, w25, eq
0xfffffff0087bbc4c: 94060091  add	x20, x20, #1
0xfffffff0087bbc50: d6620091  add	x22, x22, #0x18
0xfffffff0087bbc54: df0203f1  cmp	x22, #0xc0
0xfffffff0087bbc58: 81f1ff54  b.ne	#0xfffffff0087bba88
0xfffffff0087bbc5c: 5f070031  cmn	w26, #1
0xfffffff0087bbc60: e01f0054  b.eq	#0xfffffff0087bc05c
0xfffffff0087bbc64: 5f03186b  cmp	w26, w24
0xfffffff0087bbc68: aa1f0054  b.ge	#0xfffffff0087bc05c
0xfffffff0087bbc6c: 3f070031  cmn	w25, #1
0xfffffff0087bbc70: 60000054  b.eq	#0xfffffff0087bbc7c
0xfffffff0087bbc74: 3f03186b  cmp	w25, w24
0xfffffff0087bbc78: 6b010054  b.lt	#0xfffffff0087bbca4
0xfffffff0087bbc7c: 08778252  mov	w8, #0x13b8
0xfffffff0087bbc80: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bbc84: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbc88: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbc8c: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbc90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbc94: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbc98: 63943d91  add	x3, x3, #0xf65
0xfffffff0087bbc9c: 02008052  mov	w2, #0
0xfffffff0087bbca0: 24dded97  bl	#0xfffffff008333130
0xfffffff0087bbca4: 500000b0  adrp	x16, #0xfffffff0087c4000
0xfffffff0087bbca8: 10922691  add	x16, x16, #0x9a4
0xfffffff0087bbcac: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0087bbcb0: 3002c1da  pacia	x16, x17
0xfffffff0087bbcb4: e30310aa  mov	x3, x16
0xfffffff0087bbcb8: f4c30191  add	x20, sp, #0x70
0xfffffff0087bbcbc: e0c30191  add	x0, sp, #0x70
0xfffffff0087bbcc0: 01018052  mov	w1, #8
0xfffffff0087bbcc4: 02038052  mov	w2, #0x18
0xfffffff0087bbcc8: 6d97ff97  bl	#0xfffffff0087a1a7c
0xfffffff0087bbccc: 080080d2  mov	x8, #0
0xfffffff0087bbcd0: 19008052  mov	w25, #0
0xfffffff0087bbcd4: 89420091  add	x9, x20, #0x10
0xfffffff0087bbcd8: 2a0140b9  ldr	w10, [x9]
0xfffffff0087bbcdc: 5f050031  cmn	w10, #1
0xfffffff0087bbce0: 80000054  b.eq	#0xfffffff0087bbcf0
0xfffffff0087bbce4: 5f01186b  cmp	w10, w24
0xfffffff0087bbce8: 6b000054  b.lt	#0xfffffff0087bbcf4
0xfffffff0087bbcec: 08000014  b	#0xfffffff0087bbd0c
0xfffffff0087bbcf0: 39070011  add	w25, w25, #1
0xfffffff0087bbcf4: 080500d1  sub	x8, x8, #1
0xfffffff0087bbcf8: 29610091  add	x9, x9, #0x18
0xfffffff0087bbcfc: 1f2100b1  cmn	x8, #8
0xfffffff0087bbd00: c1feff54  b.ne	#0xfffffff0087bbcd8
