; Candidate 9986
; ADRP+ADD at VM 0xfffffff008bd9680 (fileoff 0x1bd5680): page=0x1fe75e000 add_imm=0xcfa

0xfffffff008bd9600: f10313aa  mov	x17, x19
0xfffffff008bd9604: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd9608: 301ac1da  autda	x16, x17
0xfffffff008bd960c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008bd9610: e10310aa  mov	x1, x16
0xfffffff008bd9614: f00308aa  mov	x16, x8
0xfffffff008bd9618: e00313aa  mov	x0, x19
0xfffffff008bd961c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008bd9620: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008bd9624: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008bd9628: ff2303d5  autibsp	
0xfffffff008bd962c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008bd9630: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008bd9638
0xfffffff008bd9634: 208e38d4  brk	#0xc471
0xfffffff008bd9638: f10301aa  mov	x17, x1
0xfffffff008bd963c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008bd9640: 110a1fd7  braa	x16, x17
0xfffffff008bd9644: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd9648: 00401391  add	x0, x0, #0x4d0
0xfffffff008bd964c: e175fff0  adrp	x1, #0xfffffff007a98000
0xfffffff008bd9650: 21f442f9  ldr	x1, [x1, #0x5e8]
0xfffffff008bd9654: e33afff0  adrp	x3, #0xfffffff007338000
0xfffffff008bd9658: 63bc0b91  add	x3, x3, #0x2ef
0xfffffff008bd965c: 02008052  mov	w2, #0
0xfffffff008bd9660: b466dd97  bl	#0xfffffff008333130
0xfffffff008bd9664: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008bd9668: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008bd966c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008bd9670: ff0f5fd6  retab	
0xfffffff008bd9674: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd9678: 002c3291  add	x0, x0, #0xc8b
0xfffffff008bd967c: 0c000094  bl	#0xfffffff008bd96ac
0xfffffff008bd9680: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd9684: 00e83391  add	x0, x0, #0xcfa
0xfffffff008bd9688: 09000094  bl	#0xfffffff008bd96ac
0xfffffff008bd968c: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd9690: 00dc2e91  add	x0, x0, #0xbb7
0xfffffff008bd9694: 06000094  bl	#0xfffffff008bd96ac
0xfffffff008bd9698: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd969c: 00643091  add	x0, x0, #0xc19
0xfffffff008bd96a0: 03000094  bl	#0xfffffff008bd96ac
0xfffffff008bd96a4: 5f2403d5  bti	c
0xfffffff008bd96a8: 132cdc17  b	#0xfffffff0082e46f4
0xfffffff008bd96ac: 7f2303d5  pacibsp	
0xfffffff008bd96b0: ffc300d1  sub	sp, sp, #0x30
0xfffffff008bd96b4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008bd96b8: fd830091  add	x29, sp, #0x20
0xfffffff008bd96bc: a8068052  mov	w8, #0x35
0xfffffff008bd96c0: e93affd0  adrp	x9, #0xfffffff007337000
0xfffffff008bd96c4: 29293091  add	x9, x9, #0xc0a
0xfffffff008bd96c8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008bd96cc: e00300f9  str	x0, [sp]
0xfffffff008bd96d0: e03affd0  adrp	x0, #0xfffffff007337000
0xfffffff008bd96d4: 00f82f91  add	x0, x0, #0xbfe
0xfffffff008bd96d8: 8debe297  bl	#0xfffffff00849450c
0xfffffff008bd96dc: 7f2303d5  pacibsp	
0xfffffff008bd96e0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008bd96e4: fd030091  mov	x29, sp
0xfffffff008bd96e8: 60b80090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd96ec: 00a01e91  add	x0, x0, #0x7a8
0xfffffff008bd96f0: e13affd0  adrp	x1, #0xfffffff007337000
0xfffffff008bd96f4: 21e02c91  add	x1, x1, #0xb38
0xfffffff008bd96f8: e275fff0  adrp	x2, #0xfffffff007a98000
0xfffffff008bd96fc: 42d042f9  ldr	x2, [x2, #0x5a0]
