; Candidate 13578
; ADRP+ADD at VM 0xfffffff0093abd84 (fileoff 0x23a7d84): page=0x1fe157000 add_imm=0xd20

0xfffffff0093abd04: 75623939  strb	w21, [x19, #0xe58]
0xfffffff0093abd08: b47e00b0  adrp	x20, #0xfffffff00a380000
0xfffffff0093abd0c: 94622b91  add	x20, x20, #0xad8
0xfffffff0093abd10: e00314aa  mov	x0, x20
0xfffffff0093abd14: 11e3bc97  bl	#0xfffffff0082e4958
0xfffffff0093abd18: 700240f9  ldr	x16, [x19]
0xfffffff0093abd1c: f10313aa  mov	x17, x19
0xfffffff0093abd20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093abd24: 301ac1da  autda	x16, x17
0xfffffff0093abd28: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093abd2c: e90310aa  mov	x9, x16
0xfffffff0093abd30: e00313aa  mov	x0, x19
0xfffffff0093abd34: f10309aa  mov	x17, x9
0xfffffff0093abd38: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093abd3c: 11093fd7  blraa	x8, x17
0xfffffff0093abd40: 06e3bc97  bl	#0xfffffff0082e4958
0xfffffff0093abd44: e00314aa  mov	x0, x20
0xfffffff0093abd48: 04e3bc97  bl	#0xfffffff0082e4958
0xfffffff0093abd4c: f40300aa  mov	x20, x0
0xfffffff0093abd50: 700240f9  ldr	x16, [x19]
0xfffffff0093abd54: f10313aa  mov	x17, x19
0xfffffff0093abd58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093abd5c: 301ac1da  autda	x16, x17
0xfffffff0093abd60: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093abd64: e90310aa  mov	x9, x16
0xfffffff0093abd68: e00313aa  mov	x0, x19
0xfffffff0093abd6c: f10309aa  mov	x17, x9
0xfffffff0093abd70: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093abd74: 11093fd7  blraa	x8, x17
0xfffffff0093abd78: f8e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abd7c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0093abd80: f40300f9  str	x20, [sp]
0xfffffff0093abd84: a00afff0  adrp	x0, #0xfffffff007502000
0xfffffff0093abd88: 00803491  add	x0, x0, #0xd20
0xfffffff0093abd8c: e140fff0  adrp	x1, #0xfffffff007bca000
0xfffffff0093abd90: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093abd94: c30affb0  adrp	x3, #0xfffffff007504000
0xfffffff0093abd98: 639c1491  add	x3, x3, #0x527
0xfffffff0093abd9c: 42008052  mov	w2, #2
0xfffffff0093abda0: e41cbe97  bl	#0xfffffff008333130
0xfffffff0093abda4: 3a000014  b	#0xfffffff0093abe8c
0xfffffff0093abda8: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abdac: b59a1691  add	x21, x21, #0x5a6
0xfffffff0093abdb0: 0c000014  b	#0xfffffff0093abde0
0xfffffff0093abdb4: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abdb8: b50e1791  add	x21, x21, #0x5c3
0xfffffff0093abdbc: 09000014  b	#0xfffffff0093abde0
0xfffffff0093abdc0: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abdc4: b5c21791  add	x21, x21, #0x5f0
0xfffffff0093abdc8: 06000014  b	#0xfffffff0093abde0
0xfffffff0093abdcc: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abdd0: b5b61891  add	x21, x21, #0x62d
0xfffffff0093abdd4: 03000014  b	#0xfffffff0093abde0
0xfffffff0093abdd8: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abddc: b57e1a91  add	x21, x21, #0x69f
0xfffffff0093abde0: b67e00b0  adrp	x22, #0xfffffff00a380000
0xfffffff0093abde4: d6622b91  add	x22, x22, #0xad8
0xfffffff0093abde8: e00316aa  mov	x0, x22
0xfffffff0093abdec: dbe2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abdf0: e05f00a9  stp	x0, x23, [sp]
0xfffffff0093abdf4: e00315aa  mov	x0, x21
0xfffffff0093abdf8: 8aacbe97  bl	#0xfffffff008357020
0xfffffff0093abdfc: 700240f9  ldr	x16, [x19]
0xfffffff0093abe00: f10313aa  mov	x17, x19
