; Candidate 5438
; ADRP+ADD at VM 0xfffffff0087f08b4 (fileoff 0x17ec8b4): page=0x1fe9f9000 add_imm=0xe80

0xfffffff0087f0834: c9648052  mov	w9, #0x326
0xfffffff0087f0838: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f083c: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f0840: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f0844: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f0848: 68008052  mov	w8, #3
0xfffffff0087f084c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f0850: f30300f9  str	x19, [sp]
0xfffffff0087f0854: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f0858: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f085c: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f0860: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f0864: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f0868: 63cc1e91  add	x3, x3, #0x7b3
0xfffffff0087f086c: 02008052  mov	w2, #0
0xfffffff0087f0870: 300aed97  bl	#0xfffffff008333130
0xfffffff0087f0874: 18000014  b	#0xfffffff0087f08d4
0xfffffff0087f0878: 4d0e0394  bl	#0xfffffff0088b41ac
0xfffffff0087f087c: f30300aa  mov	x19, x0
0xfffffff0087f0880: 80008052  mov	w0, #4
0xfffffff0087f0884: f32b0294  bl	#0xfffffff00887b850
0xfffffff0087f0888: eac240b9  ldr	w10, [x23, #0xc0]
0xfffffff0087f088c: e850ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087f0890: 08691291  add	x8, x8, #0x49a
0xfffffff0087f0894: a9638052  mov	w9, #0x31d
0xfffffff0087f0898: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f089c: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f08a0: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f08a4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f08a8: 68008052  mov	w8, #3
0xfffffff0087f08ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f08b0: f30300f9  str	x19, [sp]
0xfffffff0087f08b4: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f08b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f08bc: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f08c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f08c4: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f08c8: 63c01d91  add	x3, x3, #0x770
0xfffffff0087f08cc: 02008052  mov	w2, #0
0xfffffff0087f08d0: 180aed97  bl	#0xfffffff008333130
0xfffffff0087f08d4: f67c8012  mov	w22, #-0x3e8
0xfffffff0087f08d8: 94fdff17  b	#0xfffffff0087eff28
0xfffffff0087f08dc: 7f2303d5  pacibsp	
0xfffffff0087f08e0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087f08e4: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087f08e8: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087f08ec: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087f08f0: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087f08f4: fd830291  add	x29, sp, #0xa0
0xfffffff0087f08f8: f60303aa  mov	x22, x3
0xfffffff0087f08fc: f70302aa  mov	x23, x2
0xfffffff0087f0900: f50301aa  mov	x21, x1
0xfffffff0087f0904: f40300aa  mov	x20, x0
0xfffffff0087f0908: 180840f9  ldr	x24, [x0, #0x10]
0xfffffff0087f090c: 10120094  bl	#0xfffffff0087f514c
0xfffffff0087f0910: 00040034  cbz	w0, #0xfffffff0087f0990
0xfffffff0087f0914: f30300aa  mov	x19, x0
0xfffffff0087f0918: 000f8052  mov	w0, #0x78
0xfffffff0087f091c: 81008052  mov	w1, #4
0xfffffff0087f0920: ac2b0294  bl	#0xfffffff00887b7d0
0xfffffff0087f0924: 20190034  cbz	w0, #0xfffffff0087f0c48
0xfffffff0087f0928: 000f8052  mov	w0, #0x78
0xfffffff0087f092c: bb2b0294  bl	#0xfffffff00887b818
0xfffffff0087f0930: f70300aa  mov	x23, x0
