; Candidate 8680
; ADRP+ADD at VM 0xfffffff0088bc75c (fileoff 0x18b875c): page=0x1fe92d000 add_imm=0xe80

0xfffffff0088bc6dc: e1008052  mov	w1, #7
0xfffffff0088bc6e0: 3cfcfe97  bl	#0xfffffff00887b7d0
0xfffffff0088bc6e4: 40020034  cbz	w0, #0xfffffff0088bc72c
0xfffffff0088bc6e8: c0088052  mov	w0, #0x46
0xfffffff0088bc6ec: 4bfcfe97  bl	#0xfffffff00887b818
0xfffffff0088bc6f0: f60300aa  mov	x22, x0
0xfffffff0088bc6f4: aedeff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc6f8: f40300aa  mov	x20, x0
0xfffffff0088bc6fc: e0008052  mov	w0, #7
0xfffffff0088bc700: 54fcfe97  bl	#0xfffffff00887b850
0xfffffff0088bc704: 96010034  cbz	w22, #0xfffffff0088bc734
0xfffffff0088bc708: a8ee5cb9  ldr	w8, [x21, #0x1cec]
0xfffffff0088bc70c: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088bc710: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bc714: c8088052  mov	w8, #0x46
0xfffffff0088bc718: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bc71c: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088bc720: c04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088bc724: 00900391  add	x0, x0, #0xe4
0xfffffff0088bc728: 4eebd397  bl	#0xfffffff007db7460
0xfffffff0088bc72c: 16008052  mov	w22, #0
0xfffffff0088bc730: 9fffff17  b	#0xfffffff0088bc5ac
0xfffffff0088bc734: 9edeff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc738: f40300aa  mov	x20, x0
0xfffffff0088bc73c: e0008052  mov	w0, #7
0xfffffff0088bc740: 44fcfe97  bl	#0xfffffff00887b850
0xfffffff0088bc744: a8ee5cb9  ldr	w8, [x21, #0x1cec]
0xfffffff0088bc748: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088bc74c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bc750: c8088052  mov	w8, #0x46
0xfffffff0088bc754: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bc758: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088bc75c: 6049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bc760: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bc764: 618aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088bc768: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bc76c: 434dffb0  adrp	x3, #0xfffffff007265000
0xfffffff0088bc770: 63703f91  add	x3, x3, #0xfdc
0xfffffff0088bc774: 02008052  mov	w2, #0
0xfffffff0088bc778: 6edae997  bl	#0xfffffff008333130
0xfffffff0088bc77c: 8cffff17  b	#0xfffffff0088bc5ac
0xfffffff0088bc780: 7f2303d5  pacibsp	
0xfffffff0088bc784: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088bc788: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0088bc78c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088bc790: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088bc794: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088bc798: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088bc79c: fd030291  add	x29, sp, #0x80
0xfffffff0088bc7a0: f30302aa  mov	x19, x2
0xfffffff0088bc7a4: f50301aa  mov	x21, x1
0xfffffff0088bc7a8: f40300aa  mov	x20, x0
0xfffffff0088bc7ac: 010c40b9  ldr	w1, [x0, #0xc]
0xfffffff0088bc7b0: e00302aa  mov	x0, x2
0xfffffff0088bc7b4: 82008052  mov	w2, #4
0xfffffff0088bc7b8: 7fd9ff97  bl	#0xfffffff0088b2db4
0xfffffff0088bc7bc: f60300aa  mov	x22, x0
0xfffffff0088bc7c0: 80060035  cbnz	w0, #0xfffffff0088bc890
0xfffffff0088bc7c4: 811240b9  ldr	w1, [x20, #0x10]
0xfffffff0088bc7c8: e00313aa  mov	x0, x19
0xfffffff0088bc7cc: 62008052  mov	w2, #3
0xfffffff0088bc7d0: 79d9ff97  bl	#0xfffffff0088b2db4
0xfffffff0088bc7d4: f60300aa  mov	x22, x0
0xfffffff0088bc7d8: c0050035  cbnz	w0, #0xfffffff0088bc890
