; Candidate 12667
; ADRP+ADD at VM 0xfffffff00910ec58 (fileoff 0x210ac58): page=0x1fe365000 add_imm=0xdda

0xfffffff00910ebd8: e90310aa  mov	x9, x16
0xfffffff00910ebdc: e10315aa  mov	x1, x21
0xfffffff00910ebe0: 02008052  mov	w2, #0
0xfffffff00910ebe4: f10309aa  mov	x17, x9
0xfffffff00910ebe8: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff00910ebec: 11093fd7  blraa	x8, x17
0xfffffff00910ebf0: 68824339  ldrb	w8, [x19, #0xe0]
0xfffffff00910ebf4: c8fcff34  cbz	w8, #0xfffffff00910eb8c
0xfffffff00910ebf8: 150080d2  mov	x21, #0
0xfffffff00910ebfc: 9f020071  cmp	w20, #0
0xfffffff00910ec00: 88008052  mov	w8, #4
0xfffffff00910ec04: 49008052  mov	w9, #2
0xfffffff00910ec08: 3601889a  csel	x22, x9, x8, eq
0xfffffff00910ec0c: f7830091  add	x23, sp, #0x20
0xfffffff00910ec10: 680a158b  add	x8, x19, x21, lsl #2
0xfffffff00910ec14: 08fd40b9  ldr	w8, [x8, #0xfc]
0xfffffff00910ec18: c07e089b  mul	x0, x22, x8
0xfffffff00910ec1c: 3320c997  bl	#0xfffffff008356ce8
0xfffffff00910ec20: e07a35f8  str	x0, [x23, x21, lsl #3]
0xfffffff00910ec24: 400800b4  cbz	x0, #0xfffffff00910ed2c
0xfffffff00910ec28: b5060091  add	x21, x21, #1
0xfffffff00910ec2c: bf0e00f1  cmp	x21, #3
0xfffffff00910ec30: 01ffff54  b.ne	#0xfffffff00910ec10
0xfffffff00910ec34: 281bffb0  adrp	x8, #0xfffffff007473000
0xfffffff00910ec38: 08fd3791  add	x8, x8, #0xdff
0xfffffff00910ec3c: 291bffb0  adrp	x9, #0xfffffff007473000
0xfffffff00910ec40: 29f13791  add	x9, x9, #0xdfc
0xfffffff00910ec44: 9f020071  cmp	w20, #0
0xfffffff00910ec48: 2801889a  csel	x8, x9, x8, eq
0xfffffff00910ec4c: 371bffb0  adrp	x23, #0xfffffff007473000
0xfffffff00910ec50: f75a3691  add	x23, x23, #0xd96
0xfffffff00910ec54: f72300a9  stp	x23, x8, [sp]
0xfffffff00910ec58: 201bffb0  adrp	x0, #0xfffffff007473000
0xfffffff00910ec5c: 00683791  add	x0, x0, #0xdda
0xfffffff00910ec60: f020c997  bl	#0xfffffff008357020
0xfffffff00910ec64: 180080d2  mov	x24, #0
0xfffffff00910ec68: f9f30132  mov	w25, #-0x55555556
0xfffffff00910ec6c: fa830091  add	x26, sp, #0x20
0xfffffff00910ec70: bb999952  mov	w27, #0xcccd
0xfffffff00910ec74: 9b99b972  movk	w27, #0xcccc, lsl #16
0xfffffff00910ec78: 5c018052  mov	w28, #0xa
0xfffffff00910ec7c: 351bffb0  adrp	x21, #0xfffffff007473000
0xfffffff00910ec80: b50a3891  add	x21, x21, #0xe02
0xfffffff00910ec84: 080080d2  mov	x8, #0
0xfffffff00910ec88: e90318aa  mov	x9, x24
0xfffffff00910ec8c: 6a0a088b  add	x10, x19, x8, lsl #2
0xfffffff00910ec90: 4afd40b9  ldr	w10, [x10, #0xfc]
0xfffffff00910ec94: 2a020034  cbz	w10, #0xfffffff00910ecd8
0xfffffff00910ec98: 0b0080d2  mov	x11, #0
0xfffffff00910ec9c: ec0309aa  mov	x12, x9
0xfffffff00910eca0: 8d7dbb9b  umull	x13, w12, w27
0xfffffff00910eca4: adfd63d3  lsr	x13, x13, #0x23
0xfffffff00910eca8: ada51c1b  msub	w13, w13, w28, w9
0xfffffff00910ecac: 6d010d8b  add	x13, x11, x13
0xfffffff00910ecb0: 94000034  cbz	w20, #0xfffffff00910ecc0
0xfffffff00910ecb4: 4e7b68f8  ldr	x14, [x26, x8, lsl #3]
0xfffffff00910ecb8: cd792bb8  str	w13, [x14, x11, lsl #2]
0xfffffff00910ecbc: 03000014  b	#0xfffffff00910ecc8
0xfffffff00910ecc0: 4e7b68f8  ldr	x14, [x26, x8, lsl #3]
0xfffffff00910ecc4: cd792b78  strh	w13, [x14, x11, lsl #1]
0xfffffff00910ecc8: 6b050091  add	x11, x11, #1
0xfffffff00910eccc: 8c050011  add	w12, w12, #1
0xfffffff00910ecd0: 5f010beb  cmp	x10, x11
0xfffffff00910ecd4: 61feff54  b.ne	#0xfffffff00910eca0
