; Candidate 12521
; ADRP+ADD at VM 0xfffffff0090add3c (fileoff 0x20a9d3c): page=0x1fe3ac000 add_imm=0xe24

0xfffffff0090adcbc: e1979f1a  cset	w1, hi
0xfffffff0090adcc0: 0f000014  b	#0xfffffff0090adcfc
0xfffffff0090adcc4: 28034039  ldrb	w8, [x25]
0xfffffff0090adcc8: 1fa10071  cmp	w8, #0x28
0xfffffff0090adccc: 28010054  b.hi	#0xfffffff0090adcf0
0xfffffff0090adcd0: c81dffb0  adrp	x8, #0xfffffff007466000
0xfffffff0090adcd4: 08510d91  add	x8, x8, #0x354
0xfffffff0090adcd8: c91dff90  adrp	x9, #0xfffffff007465000
0xfffffff0090adcdc: 299d3891  add	x9, x9, #0xe27
0xfffffff0090adce0: e92300a9  stp	x9, x8, [sp]
0xfffffff0090adce4: c01dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090adce8: 006c0d91  add	x0, x0, #0x35b
0xfffffff0090adcec: cda4ca97  bl	#0xfffffff008357020
0xfffffff0090adcf0: 14008052  mov	w20, #0
0xfffffff0090adcf4: 06000014  b	#0xfffffff0090add0c
0xfffffff0090adcf8: 21008052  mov	w1, #1
0xfffffff0090adcfc: e00313aa  mov	x0, x19
0xfffffff0090add00: fe040094  bl	#0xfffffff0090af0f8
0xfffffff0090add04: f40300aa  mov	x20, x0
0xfffffff0090add08: 80090035  cbnz	w0, #0xfffffff0090ade38
0xfffffff0090add0c: 48018052  mov	w8, #0xa
0xfffffff0090add10: 29034039  ldrb	w9, [x25]
0xfffffff0090add14: 1f01096b  cmp	w8, w9
0xfffffff0090add18: 83010054  b.lo	#0xfffffff0090add48
0xfffffff0090add1c: e80314aa  mov	x8, x20
0xfffffff0090add20: 087d4093  sxtw	x8, w8
0xfffffff0090add24: c91dffb0  adrp	x9, #0xfffffff007466000
0xfffffff0090add28: 29510d91  add	x9, x9, #0x354
0xfffffff0090add2c: ca1dff90  adrp	x10, #0xfffffff007465000
0xfffffff0090add30: 4a9d3891  add	x10, x10, #0xe27
0xfffffff0090add34: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090add38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090add3c: 601dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090add40: 00903891  add	x0, x0, #0xe24
0xfffffff0090add44: b7a4ca97  bl	#0xfffffff008357020
0xfffffff0090add48: e00314aa  mov	x0, x20
0xfffffff0090add4c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090add50: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090add54: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090add58: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090add5c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0090add60: ff030291  add	sp, sp, #0x80
0xfffffff0090add64: ff0f5fd6  retab	
0xfffffff0090add68: 48248052  mov	w8, #0x122
0xfffffff0090add6c: c91dff90  adrp	x9, #0xfffffff007465000
0xfffffff0090add70: 29c13891  add	x9, x9, #0xe30
0xfffffff0090add74: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090add78: 681dff90  adrp	x8, #0xfffffff007459000
0xfffffff0090add7c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090add80: 8a1dffb0  adrp	x10, #0xfffffff00745e000
0xfffffff0090add84: 4a7d3291  add	x10, x10, #0xc9f
0xfffffff0090add88: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090add8c: ea0300f9  str	x10, [sp]
0xfffffff0090add90: 601dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090add94: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090add98: a2a4ca97  bl	#0xfffffff008357020
0xfffffff0090add9c: c8088052  mov	w8, #0x46
0xfffffff0090adda0: 54008012  mov	w20, #-3
0xfffffff0090adda4: dbffff17  b	#0xfffffff0090add10
0xfffffff0090adda8: 48258052  mov	w8, #0x12a
0xfffffff0090addac: c91dff90  adrp	x9, #0xfffffff007465000
0xfffffff0090addb0: 29c13891  add	x9, x9, #0xe30
0xfffffff0090addb4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090addb8: 681dff90  adrp	x8, #0xfffffff007459000
