; Candidate 10347
; ADRP+ADD at VM 0xfffffff008d126b4 (fileoff 0x1d0e6b4): page=0x1fe668000 add_imm=0xdf9

0xfffffff008d12634: 00681d91  add	x0, x0, #0x75a
0xfffffff008d12638: 03040094  bl	#0xfffffff008d13644
0xfffffff008d1263c: 4033ffb0  adrp	x0, #0xfffffff00737b000
0xfffffff008d12640: 009c1f91  add	x0, x0, #0x7e7
0xfffffff008d12644: 00040094  bl	#0xfffffff008d13644
0xfffffff008d12648: 7f2303d5  pacibsp	
0xfffffff008d1264c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008d12650: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008d12654: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008d12658: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008d1265c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008d12660: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008d12664: fd030291  add	x29, sp, #0x80
0xfffffff008d12668: f60302aa  mov	x22, x2
0xfffffff008d1266c: f70300aa  mov	x23, x0
0xfffffff008d12670: 335a8052  mov	w19, #0x2d1
0xfffffff008d12674: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d12678: a10100b4  cbz	x1, #0xfffffff008d126ac
0xfffffff008d1267c: f50301aa  mov	x21, x1
0xfffffff008d12680: 287c40b9  ldr	w8, [x1, #0x7c]
0xfffffff008d12684: 1ff53d71  cmp	w8, #0xf7d
0xfffffff008d12688: 03020054  b.lo	#0xfffffff008d126c8
0xfffffff008d1268c: 89ef8152  mov	w9, #0xf7c
0xfffffff008d12690: 4a33ff90  adrp	x10, #0xfffffff00737a000
0xfffffff008d12694: 4aa93a91  add	x10, x10, #0xeaa
0xfffffff008d12698: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d1269c: ea0300f9  str	x10, [sp]
0xfffffff008d126a0: 4033ff90  adrp	x0, #0xfffffff00737a000
0xfffffff008d126a4: 006c3991  add	x0, x0, #0xe5b
0xfffffff008d126a8: f7000014  b	#0xfffffff008d12a84
0xfffffff008d126ac: ffdb00a9  stp	xzr, x22, [sp, #8]
0xfffffff008d126b0: f70300f9  str	x23, [sp]
0xfffffff008d126b4: 4033ff90  adrp	x0, #0xfffffff00737a000
0xfffffff008d126b8: 00e43791  add	x0, x0, #0xdf9
0xfffffff008d126bc: 50770094  bl	#0xfffffff008d303fc
0xfffffff008d126c0: 73560051  sub	w19, w19, #0x15
0xfffffff008d126c4: f1000014  b	#0xfffffff008d12a88
0xfffffff008d126c8: f90304aa  mov	x25, x4
0xfffffff008d126cc: f80303aa  mov	x24, x3
0xfffffff008d126d0: 62fdff97  bl	#0xfffffff008d11c58
0xfffffff008d126d4: a00b00b4  cbz	x0, #0xfffffff008d12848
0xfffffff008d126d8: f40300aa  mov	x20, x0
0xfffffff008d126dc: ba008152  mov	w26, #0x805
0xfffffff008d126e0: fad8a072  movk	w26, #0x6c7, lsl #16
0xfffffff008d126e4: a24a40b9  ldr	w2, [x21, #0x48]
0xfffffff008d126e8: a0008152  mov	w0, #0x805
0xfffffff008d126ec: e0d8a072  movk	w0, #0x6c7, lsl #16
0xfffffff008d126f0: 010080d2  mov	x1, #0
0xfffffff008d126f4: 030080d2  mov	x3, #0
0xfffffff008d126f8: 040080d2  mov	x4, #0
0xfffffff008d126fc: 050080d2  mov	x5, #0
0xfffffff008d12700: 01aed197  bl	#0xfffffff00817df04
0xfffffff008d12704: e85a4339  ldrb	w8, [x23, #0xd6]
0xfffffff008d12708: 68000034  cbz	w8, #0xfffffff008d12714
0xfffffff008d1270c: 80420591  add	x0, x20, #0x150
0xfffffff008d12710: 40f0c197  bl	#0xfffffff007d8e810
0xfffffff008d12714: 996200a9  stp	x25, x24, [x20]
0xfffffff008d12718: a00ec03d  ldr	q0, [x21, #0x30]
0xfffffff008d1271c: 8006803d  str	q0, [x20, #0x10]
0xfffffff008d12720: a82240f9  ldr	x8, [x21, #0x40]
0xfffffff008d12724: 881200f9  str	x8, [x20, #0x20]
0xfffffff008d12728: a8264029  ldp	w8, w9, [x21]
0xfffffff008d1272c: 9fa21129  stp	wzr, w8, [x20, #0x8c]
0xfffffff008d12730: a82a4129  ldp	w8, w10, [x21, #8]
