; Candidate 3717
; ADRP+ADD at VM 0xfffffff008753348 (fileoff 0x174f348): page=0x1fe9de000 add_imm=0xd90

0xfffffff0087532c8: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff0087532cc: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087532d0: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087532d4: c90100b4  cbz	x9, #0xfffffff00875330c
0xfffffff0087532d8: e9f18052  mov	w9, #0x78f
0xfffffff0087532dc: e84fff90  adrp	x8, #0xfffffff00714f000
0xfffffff0087532e0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087532e4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087532e8: e04effd0  adrp	x0, #0xfffffff007131000
0xfffffff0087532ec: 00403691  add	x0, x0, #0xd90
0xfffffff0087532f0: 4195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087532f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087532f8: 634fffb0  adrp	x3, #0xfffffff007140000
0xfffffff0087532fc: 63603e91  add	x3, x3, #0xf98
0xfffffff008753300: 02008052  mov	w2, #0
0xfffffff008753304: 8b7fef97  bl	#0xfffffff008333130
0xfffffff008753308: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff00875330c: 0903080b  add	w9, w24, w8
0xfffffff008753310: 8a0209ab  adds	x10, x20, x9
0xfffffff008753314: 22030054  b.hs	#0xfffffff008753378
0xfffffff008753318: eb03182a  mov	w11, w24
0xfffffff00875331c: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008753320: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff008753324: aa8353f8  ldur	x10, [x29, #-0xc8]
0xfffffff008753328: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff00875332c: 08010b8b  add	x8, x8, x11
0xfffffff008753330: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008753334: e80100b4  cbz	x8, #0xfffffff008753370
0xfffffff008753338: 09f28052  mov	w9, #0x790
0xfffffff00875333c: e84fff90  adrp	x8, #0xfffffff00714f000
0xfffffff008753340: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008753344: e82700a9  stp	x8, x9, [sp]
0xfffffff008753348: e04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875334c: 00403691  add	x0, x0, #0xd90
0xfffffff008753350: 4195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008753354: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008753358: 634fffb0  adrp	x3, #0xfffffff007140000
0xfffffff00875335c: 63303f91  add	x3, x3, #0xfcc
0xfffffff008753360: 02008052  mov	w2, #0
0xfffffff008753364: 737fef97  bl	#0xfffffff008333130
0xfffffff008753368: a80353b8  ldur	w8, [x29, #-0xd0]
0xfffffff00875336c: 0903080b  add	w9, w24, w8
0xfffffff008753370: 880209ab  adds	x8, x20, x9
0xfffffff008753374: 63020054  b.lo	#0xfffffff0087533c0
0xfffffff008753378: 00008012  mov	w0, #-1
0xfffffff00875337c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008753380: 4995ffd0  adrp	x9, #0xfffffff0079fd000
0xfffffff008753384: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008753388: 290140f9  ldr	x9, [x9]
0xfffffff00875338c: 3f0108eb  cmp	x9, x8
0xfffffff008753390: 41100054  b.ne	#0xfffffff008753598
0xfffffff008753394: fd7b5ea9  ldp	x29, x30, [sp, #0x1e0]
0xfffffff008753398: f44f5da9  ldp	x20, x19, [sp, #0x1d0]
0xfffffff00875339c: f6575ca9  ldp	x22, x21, [sp, #0x1c0]
0xfffffff0087533a0: f85f5ba9  ldp	x24, x23, [sp, #0x1b0]
0xfffffff0087533a4: fa675aa9  ldp	x26, x25, [sp, #0x1a0]
0xfffffff0087533a8: fc6f59a9  ldp	x28, x27, [sp, #0x190]
0xfffffff0087533ac: ffc30791  add	sp, sp, #0x1f0
0xfffffff0087533b0: ff0f5fd6  retab	
0xfffffff0087533b4: e04fff90  adrp	x0, #0xfffffff00714f000
0xfffffff0087533b8: 00dc1591  add	x0, x0, #0x577
0xfffffff0087533bc: 74030094  bl	#0xfffffff00875418c
0xfffffff0087533c0: e9eb40b9  ldr	w9, [sp, #0xe8]
0xfffffff0087533c4: 2901184b  sub	w9, w9, w24
