; Candidate 16475
; ADRP+ADD at VM 0xfffffff009eba90c (fileoff 0x2eb690c): page=0x1fd986000 add_imm=0xeb1

0xfffffff009eba88c: 09008092  mov	x9, #-1
0xfffffff009eba890: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009eba894: c8918152  mov	w8, #0xc8e
0xfffffff009eba898: e80700f9  str	x8, [sp, #8]
0xfffffff009eba89c: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba8a0: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba8a4: e80300f9  str	x8, [sp]
0xfffffff009eba8a8: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba8ac: 000c3991  add	x0, x0, #0xe43
0xfffffff009eba8b0: 0514ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba8b4: e0031aaa  mov	x0, x26
0xfffffff009eba8b8: 1a3e8452  mov	w26, #0x21f0
0xfffffff009eba8bc: f89d0094  bl	#0xfffffff009ee209c
0xfffffff009eba8c0: ff8b00f9  str	xzr, [sp, #0x110]
0xfffffff009eba8c4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba8c8: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff009eba8cc: e03b803d  str	q0, [sp, #0xe0]
0xfffffff009eba8d0: 600240f9  ldr	x0, [x19]
0xfffffff009eba8d4: e4830391  add	x4, sp, #0xe0
0xfffffff009eba8d8: e10317aa  mov	x1, x23
0xfffffff009eba8dc: 020080d2  mov	x2, #0
0xfffffff009eba8e0: 030080d2  mov	x3, #0
0xfffffff009eba8e4: 05008052  mov	w5, #0
0xfffffff009eba8e8: 4dc30094  bl	#0xfffffff009eeb61c
0xfffffff009eba8ec: 680240f9  ldr	x8, [x19]
0xfffffff009eba8f0: 08011a8b  add	x8, x8, x26
0xfffffff009eba8f4: e0010034  cbz	w0, #0xfffffff009eba930
0xfffffff009eba8f8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba8fc: e9928152  mov	w9, #0xc97
0xfffffff009eba900: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba904: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba908: e82700a9  stp	x8, x9, [sp]
0xfffffff009eba90c: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba910: 00c43a91  add	x0, x0, #0xeb1
0xfffffff009eba914: ec13ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba918: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba91c: 080080d2  mov	x8, #0
0xfffffff009eba920: a7ffff17  b	#0xfffffff009eba7bc
0xfffffff009eba924: 080080d2  mov	x8, #0
0xfffffff009eba928: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba92c: a4ffff17  b	#0xfffffff009eba7bc
0xfffffff009eba930: e083ce3c  ldur	q0, [sp, #0xe8]
0xfffffff009eba934: e98740f9  ldr	x9, [sp, #0x108]
0xfffffff009eba938: e91700f9  str	x9, [sp, #0x28]
0xfffffff009eba93c: e083813c  stur	q0, [sp, #0x18]
0xfffffff009eba940: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009eba944: 28938152  mov	w8, #0xc99
0xfffffff009eba948: 35ccfed0  adrp	x21, #0xfffffff007840000
0xfffffff009eba94c: b5b23191  add	x21, x21, #0xc6c
0xfffffff009eba950: f52300a9  stp	x21, x8, [sp]
0xfffffff009eba954: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba958: 00083c91  add	x0, x0, #0xf02
0xfffffff009eba95c: da13ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba960: 48cbfe90  adrp	x8, #0xfffffff007822000
0xfffffff009eba964: 08811c91  add	x8, x8, #0x720
0xfffffff009eba968: 0101c03d  ldr	q1, [x8]
0xfffffff009eba96c: ff6b00f9  str	xzr, [sp, #0xd0]
0xfffffff009eba970: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009eba974: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba978: a0833bad  stp	q0, q0, [x29, #-0x90]
0xfffffff009eba97c: a0833aad  stp	q0, q0, [x29, #-0xb0]
0xfffffff009eba980: a08339ad  stp	q0, q0, [x29, #-0xd0]
0xfffffff009eba984: a08338ad  stp	q0, q0, [x29, #-0xf0]
0xfffffff009eba988: a003903c  stur	q0, [x29, #-0x100]
