; Candidate 13034
; ADRP+ADD at VM 0xfffffff0091d9360 (fileoff 0x21d5360): page=0x1fe2c4000 add_imm=0xd0b

0xfffffff0091d92e0: f10300aa  mov	x17, x0
0xfffffff0091d92e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091d92e8: 301ac1da  autda	x16, x17
0xfffffff0091d92ec: 113d80d2  mov	x17, #0x1e8
0xfffffff0091d92f0: 1002118b  add	x16, x16, x17
0xfffffff0091d92f4: 080240f9  ldr	x8, [x16]
0xfffffff0091d92f8: e90310aa  mov	x9, x16
0xfffffff0091d92fc: 010080d2  mov	x1, #0
0xfffffff0091d9300: f10309aa  mov	x17, x9
0xfffffff0091d9304: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0091d9308: 11093fd7  blraa	x8, x17
0xfffffff0091d930c: 2d000014  b	#0xfffffff0091d93c0
0xfffffff0091d9310: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9314: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d9318: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091d931c: 48328052  mov	w8, #0x192
0xfffffff0091d9320: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d9324: 29993591  add	x9, x9, #0xd66
0xfffffff0091d9328: e81300f9  str	x8, [sp, #0x20]
0xfffffff0091d932c: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d9330: 08853c91  add	x8, x8, #0xf21
0xfffffff0091d9334: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d9338: 4a553c91  add	x10, x10, #0xf15
0xfffffff0091d933c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091d9340: e02b00a9  stp	x0, x10, [sp]
0xfffffff0091d9344: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9348: 00783391  add	x0, x0, #0xcde
0xfffffff0091d934c: 4578af97  bl	#0xfffffff007db7460
0xfffffff0091d9350: ffc30091  add	sp, sp, #0x30
0xfffffff0091d9354: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d9358: 158900b9  str	w21, [x8, #0x88]
0xfffffff0091d935c: 47ffff17  b	#0xfffffff0091d9078
0xfffffff0091d9360: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9364: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d9368: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091d936c: 48308052  mov	w8, #0x182
0xfffffff0091d9370: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d9374: 29993591  add	x9, x9, #0xd66
0xfffffff0091d9378: e81300f9  str	x8, [sp, #0x20]
0xfffffff0091d937c: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d9380: 08d93991  add	x8, x8, #0xe76
0xfffffff0091d9384: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d9388: 4a353991  add	x10, x10, #0xe4d
0xfffffff0091d938c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091d9390: e02b00a9  stp	x0, x10, [sp]
0xfffffff0091d9394: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9398: 00783391  add	x0, x0, #0xcde
0xfffffff0091d939c: 3178af97  bl	#0xfffffff007db7460
0xfffffff0091d93a0: ffc30091  add	sp, sp, #0x30
0xfffffff0091d93a4: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d93a8: 895a8052  mov	w9, #0x2d4
0xfffffff0091d93ac: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0091d93b0: 098900b9  str	w9, [x8, #0x88]
0xfffffff0091d93b4: 31ffff17  b	#0xfffffff0091d9078
0xfffffff0091d93b8: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d93bc: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d93c0: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091d93c4: 08348052  mov	w8, #0x1a0
0xfffffff0091d93c8: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d93cc: 29993591  add	x9, x9, #0xd66
0xfffffff0091d93d0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091d93d4: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d93d8: 08413d91  add	x8, x8, #0xf50
0xfffffff0091d93dc: 2a16ff90  adrp	x10, #0xfffffff00749d000
