; Candidate 4126
; ADRP+ADD at VM 0xfffffff008792ed4 (fileoff 0x178eed4): page=0x1fe99f000 add_imm=0xd90

0xfffffff008792e54: 088f8552  mov	w8, #0x2c78
0xfffffff008792e58: 6202088b  add	x2, x19, x8
0xfffffff008792e5c: 28008052  mov	w8, #1
0xfffffff008792e60: 48000039  strb	w8, [x2]
0xfffffff008792e64: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792e68: 100040f9  ldr	x16, [x0]
0xfffffff008792e6c: f10300aa  mov	x17, x0
0xfffffff008792e70: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792e74: 301ac1da  autda	x16, x17
0xfffffff008792e78: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008792e7c: e90310aa  mov	x9, x16
0xfffffff008792e80: a1058052  mov	w1, #0x2d
0xfffffff008792e84: f10309aa  mov	x17, x9
0xfffffff008792e88: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008792e8c: 11093fd7  blraa	x8, x17
0xfffffff008792e90: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792e94: 820a40b9  ldr	w2, [x20, #8]
0xfffffff008792e98: 100040f9  ldr	x16, [x0]
0xfffffff008792e9c: f10300aa  mov	x17, x0
0xfffffff008792ea0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792ea4: 301ac1da  autda	x16, x17
0xfffffff008792ea8: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff008792eac: e90310aa  mov	x9, x16
0xfffffff008792eb0: e10316aa  mov	x1, x22
0xfffffff008792eb4: f10309aa  mov	x17, x9
0xfffffff008792eb8: 517afaf2  movk	x17, #0xd3d2, lsl #48
0xfffffff008792ebc: 11093fd7  blraa	x8, x17
0xfffffff008792ec0: c0010034  cbz	w0, #0xfffffff008792ef8
0xfffffff008792ec4: f60300aa  mov	x22, x0
0xfffffff008792ec8: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792ecc: 08410591  add	x8, x8, #0x150
0xfffffff008792ed0: e85b00a9  stp	x8, x22, [sp]
0xfffffff008792ed4: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792ed8: 00403691  add	x0, x0, #0xd90
0xfffffff008792edc: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792ee0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792ee4: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792ee8: 63ac3a91  add	x3, x3, #0xeab
0xfffffff008792eec: 02008052  mov	w2, #0
0xfffffff008792ef0: 9080ee97  bl	#0xfffffff008333130
0xfffffff008792ef4: 11ffff17  b	#0xfffffff008792b38
0xfffffff008792ef8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792efc: 100040f9  ldr	x16, [x0]
0xfffffff008792f00: f10300aa  mov	x17, x0
0xfffffff008792f04: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792f08: 301ac1da  autda	x16, x17
0xfffffff008792f0c: 088e45f8  ldr	x8, [x16, #0x58]!
0xfffffff008792f10: e90310aa  mov	x9, x16
0xfffffff008792f14: 01008052  mov	w1, #0
0xfffffff008792f18: e20315aa  mov	x2, x21
0xfffffff008792f1c: f10309aa  mov	x17, x9
0xfffffff008792f20: 715ee3f2  movk	x17, #0x1af3, lsl #48
0xfffffff008792f24: 11093fd7  blraa	x8, x17
0xfffffff008792f28: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792f2c: a2220191  add	x2, x21, #0x48
0xfffffff008792f30: 100040f9  ldr	x16, [x0]
0xfffffff008792f34: f10300aa  mov	x17, x0
0xfffffff008792f38: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792f3c: 301ac1da  autda	x16, x17
0xfffffff008792f40: 088e45f8  ldr	x8, [x16, #0x58]!
0xfffffff008792f44: e90310aa  mov	x9, x16
0xfffffff008792f48: 61008052  mov	w1, #3
0xfffffff008792f4c: f10309aa  mov	x17, x9
0xfffffff008792f50: 715ee3f2  movk	x17, #0x1af3, lsl #48
