; Candidate 4867
; ADRP+ADD at VM 0xfffffff0087ca5d4 (fileoff 0x17c65d4): page=0x1fea1f000 add_imm=0xe80

0xfffffff0087ca554: f30300aa  mov	x19, x0
0xfffffff0087ca558: 80008052  mov	w0, #4
0xfffffff0087ca55c: bdc40294  bl	#0xfffffff00887b850
0xfffffff0087ca560: 2852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ca564: 08a12a91  add	x8, x8, #0xaa8
0xfffffff0087ca568: a9718052  mov	w9, #0x38d
0xfffffff0087ca56c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ca570: 2852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ca574: 08210891  add	x8, x8, #0x208
0xfffffff0087ca578: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca57c: 68008052  mov	w8, #3
0xfffffff0087ca580: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ca584: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca588: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca58c: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca590: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca594: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca598: 63302691  add	x3, x3, #0x98c
0xfffffff0087ca59c: 02008052  mov	w2, #0
0xfffffff0087ca5a0: e4a2ed97  bl	#0xfffffff008333130
0xfffffff0087ca5a4: 00008052  mov	w0, #0
0xfffffff0087ca5a8: 4e000014  b	#0xfffffff0087ca6e0
0xfffffff0087ca5ac: 00a70394  bl	#0xfffffff0088b41ac
0xfffffff0087ca5b0: f60300aa  mov	x22, x0
0xfffffff0087ca5b4: 80008052  mov	w0, #4
0xfffffff0087ca5b8: a6c40294  bl	#0xfffffff00887b850
0xfffffff0087ca5bc: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca5c0: 690240b9  ldr	w9, [x19]
0xfffffff0087ca5c4: fb2702a9  stp	x27, x9, [sp, #0x20]
0xfffffff0087ca5c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca5cc: a80f8052  mov	w8, #0x7d
0xfffffff0087ca5d0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ca5d4: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca5d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca5dc: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca5e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca5e4: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca5e8: 63182791  add	x3, x3, #0x9c6
0xfffffff0087ca5ec: 02008052  mov	w2, #0
0xfffffff0087ca5f0: d0a2ed97  bl	#0xfffffff008333130
0xfffffff0087ca5f4: 7a0200b9  str	w26, [x19]
0xfffffff0087ca5f8: 88024039  ldrb	w8, [x20]
0xfffffff0087ca5fc: 20008052  mov	w0, #1
0xfffffff0087ca600: 1f050071  cmp	w8, #1
0xfffffff0087ca604: e1060054  b.ne	#0xfffffff0087ca6e0
0xfffffff0087ca608: 9f0f0071  cmp	w28, #3
0xfffffff0087ca60c: a0060054  b.eq	#0xfffffff0087ca6e0
0xfffffff0087ca610: a8764bb9  ldr	w8, [x21, #0xb74]
0xfffffff0087ca614: 08050011  add	w8, w8, #1
0xfffffff0087ca618: a96a4bb9  ldr	w9, [x21, #0xb68]
0xfffffff0087ca61c: 1f01096b  cmp	w8, w9
0xfffffff0087ca620: e3050054  b.lo	#0xfffffff0087ca6dc
0xfffffff0087ca624: a00f8052  mov	w0, #0x7d
0xfffffff0087ca628: 81008052  mov	w1, #4
0xfffffff0087ca62c: 69c40294  bl	#0xfffffff00887b7d0
0xfffffff0087ca630: 20050034  cbz	w0, #0xfffffff0087ca6d4
0xfffffff0087ca634: a00f8052  mov	w0, #0x7d
0xfffffff0087ca638: 78c40294  bl	#0xfffffff00887b818
0xfffffff0087ca63c: f70300aa  mov	x23, x0
0xfffffff0087ca640: dba60394  bl	#0xfffffff0088b41ac
0xfffffff0087ca644: f60300aa  mov	x22, x0
0xfffffff0087ca648: 80008052  mov	w0, #4
0xfffffff0087ca64c: 81c40294  bl	#0xfffffff00887b850
0xfffffff0087ca650: b7010034  cbz	w23, #0xfffffff0087ca684
