; Candidate 3708
; ADRP+ADD at VM 0xfffffff008752234 (fileoff 0x174e234): page=0x1fe9df000 add_imm=0xd90

0xfffffff0087521b4: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087521b8: b60100b4  cbz	x22, #0xfffffff0087521ec
0xfffffff0087521bc: a8968052  mov	w8, #0x4b5
0xfffffff0087521c0: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0087521c4: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087521c8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087521cc: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff0087521d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087521d4: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087521d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087521dc: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff0087521e0: 63703591  add	x3, x3, #0xd5c
0xfffffff0087521e4: 02008052  mov	w2, #0
0xfffffff0087521e8: d283ef97  bl	#0xfffffff008333130
0xfffffff0087521ec: 280317ab  adds	x8, x25, x23
0xfffffff0087521f0: a2d2ff54  b.hs	#0xfffffff008751c44
0xfffffff0087521f4: 9402158b  add	x20, x20, x21
0xfffffff0087521f8: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087521fc: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008752200: 2a0d43b9  ldr	w10, [x9, #0x30c]
0xfffffff008752204: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008752208: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00875220c: 280d03b9  str	w8, [x9, #0x30c]
0xfffffff008752210: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008752214: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff008752218: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff00875221c: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff008752220: b50100b4  cbz	x21, #0xfffffff008752254
0xfffffff008752224: 08978052  mov	w8, #0x4b8
0xfffffff008752228: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff00875222c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008752230: e92300a9  stp	x9, x8, [sp]
0xfffffff008752234: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752238: 00403691  add	x0, x0, #0xd90
0xfffffff00875223c: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008752240: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008752244: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff008752248: 63403691  add	x3, x3, #0xd90
0xfffffff00875224c: 02008052  mov	w2, #0
0xfffffff008752250: b883ef97  bl	#0xfffffff008333130
0xfffffff008752254: c84234ab  adds	x8, x22, w20, uxtw
0xfffffff008752258: 62cfff54  b.hs	#0xfffffff008751c44
0xfffffff00875225c: 947e4092  and	x20, x20, #0xffffffff
0xfffffff008752260: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008752264: 2a0542b9  ldr	w10, [x9, #0x204]
0xfffffff008752268: 48150033  bfxil	w8, w10, #0, #6
0xfffffff00875226c: 280502b9  str	w8, [x9, #0x204]
0xfffffff008752270: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008752274: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff008752278: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff00875227c: b50100b4  cbz	x21, #0xfffffff0087522b0
0xfffffff008752280: 48978052  mov	w8, #0x4ba
0xfffffff008752284: e94fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff008752288: 29bd1991  add	x9, x9, #0x66f
0xfffffff00875228c: e92300a9  stp	x9, x8, [sp]
0xfffffff008752290: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752294: 00403691  add	x0, x0, #0xd90
0xfffffff008752298: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875229c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087522a0: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff0087522a4: 63103791  add	x3, x3, #0xdc4
0xfffffff0087522a8: 02008052  mov	w2, #0
0xfffffff0087522ac: a183ef97  bl	#0xfffffff008333130
0xfffffff0087522b0: c80214ab  adds	x8, x22, x20
