; Candidate 8410
; ADRP+ADD at VM 0xfffffff0088a9180 (fileoff 0x18a5180): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a9100: e1008052  mov	w1, #7
0xfffffff0088a9104: b349ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a9108: c0040034  cbz	w0, #0xfffffff0088a91a0
0xfffffff0088a910c: c00f8052  mov	w0, #0x7e
0xfffffff0088a9110: c249ff97  bl	#0xfffffff00887b818
0xfffffff0088a9114: f60300aa  mov	x22, x0
0xfffffff0088a9118: 252c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a911c: f50300aa  mov	x21, x0
0xfffffff0088a9120: e0008052  mov	w0, #7
0xfffffff0088a9124: cb49ff97  bl	#0xfffffff00887b850
0xfffffff0088a9128: 76010034  cbz	w22, #0xfffffff0088a9154
0xfffffff0088a912c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088a9130: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9134: 08253d91  add	x8, x8, #0xf49
0xfffffff0088a9138: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a913c: c80f8052  mov	w8, #0x7e
0xfffffff0088a9140: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a9144: 604bff90  adrp	x0, #0xfffffff007215000
0xfffffff0088a9148: 00a81591  add	x0, x0, #0x56a
0xfffffff0088a914c: c538d497  bl	#0xfffffff007db7460
0xfffffff0088a9150: 14000014  b	#0xfffffff0088a91a0
0xfffffff0088a9154: 162c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a9158: f50300aa  mov	x21, x0
0xfffffff0088a915c: e0008052  mov	w0, #7
0xfffffff0088a9160: bc49ff97  bl	#0xfffffff00887b850
0xfffffff0088a9164: e80314aa  mov	x8, x20
0xfffffff0088a9168: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088a916c: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9170: 08253d91  add	x8, x8, #0xf49
0xfffffff0088a9174: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9178: c80f8052  mov	w8, #0x7e
0xfffffff0088a917c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a9180: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9184: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9188: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a918c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9190: c34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a9194: 63403f91  add	x3, x3, #0xfd0
0xfffffff0088a9198: 02008052  mov	w2, #0
0xfffffff0088a919c: e527ea97  bl	#0xfffffff008333130
0xfffffff0088a91a0: e00314aa  mov	x0, x20
0xfffffff0088a91a4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088a91a8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088a91ac: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088a91b0: e923446d  ldp	d9, d8, [sp, #0x40]
0xfffffff0088a91b4: ff030291  add	sp, sp, #0x80
0xfffffff0088a91b8: ff0f5fd6  retab	
0xfffffff0088a91bc: 7f2303d5  pacibsp	
0xfffffff0088a91c0: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088a91c4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088a91c8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088a91cc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088a91d0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088a91d4: fdc30191  add	x29, sp, #0x70
0xfffffff0088a91d8: f40301aa  mov	x20, x1
0xfffffff0088a91dc: f30300aa  mov	x19, x0
0xfffffff0088a91e0: c00f8052  mov	w0, #0x7e
0xfffffff0088a91e4: c1008052  mov	w1, #6
0xfffffff0088a91e8: 7a49ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a91ec: 40020034  cbz	w0, #0xfffffff0088a9234
0xfffffff0088a91f0: c00f8052  mov	w0, #0x7e
0xfffffff0088a91f4: 8949ff97  bl	#0xfffffff00887b818
0xfffffff0088a91f8: f60300aa  mov	x22, x0
0xfffffff0088a91fc: ec2b0094  bl	#0xfffffff0088b41ac
