; Candidate 5508
; ADRP+ADD at VM 0xfffffff0087f50c8 (fileoff 0x17f10c8): page=0x1fe9f4000 add_imm=0xe80

0xfffffff0087f5048: 08b93291  add	x8, x8, #0xcae
0xfffffff0087f504c: 494f8052  mov	w9, #0x27a
0xfffffff0087f5050: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5054: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5058: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f505c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5060: e80e8052  mov	w8, #0x77
0xfffffff0087f5064: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f5068: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f506c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f5070: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5074: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5078: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f507c: 63f42291  add	x3, x3, #0x8bd
0xfffffff0087f5080: 02008052  mov	w2, #0
0xfffffff0087f5084: 2bf8ec97  bl	#0xfffffff008333130
0xfffffff0087f5088: f2fcff17  b	#0xfffffff0087f4450
0xfffffff0087f508c: 48fc0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5090: f70300aa  mov	x23, x0
0xfffffff0087f5094: 80008052  mov	w0, #4
0xfffffff0087f5098: ee190294  bl	#0xfffffff00887b850
0xfffffff0087f509c: 480340b9  ldr	w8, [x26]
0xfffffff0087f50a0: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f50a4: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f50a8: 084d3391  add	x8, x8, #0xcd3
0xfffffff0087f50ac: e9508052  mov	w9, #0x287
0xfffffff0087f50b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f50b4: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f50b8: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f50bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f50c0: e80e8052  mov	w8, #0x77
0xfffffff0087f50c4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f50c8: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f50cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f50d0: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f50d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f50d8: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f50dc: 63e42391  add	x3, x3, #0x8f9
0xfffffff0087f50e0: 02008052  mov	w2, #0
0xfffffff0087f50e4: 13f8ec97  bl	#0xfffffff008333130
0xfffffff0087f50e8: dafcff17  b	#0xfffffff0087f4450
0xfffffff0087f50ec: 30fc0294  bl	#0xfffffff0088b41ac
0xfffffff0087f50f0: f80300aa  mov	x24, x0
0xfffffff0087f50f4: 80008052  mov	w0, #4
0xfffffff0087f50f8: d6190294  bl	#0xfffffff00887b850
0xfffffff0087f50fc: 480340b9  ldr	w8, [x26]
0xfffffff0087f5100: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f5104: c850fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087f5108: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f510c: 09538052  mov	w9, #0x298
0xfffffff0087f5110: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5114: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5118: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f511c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5120: e80e8052  mov	w8, #0x77
0xfffffff0087f5124: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f5128: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f512c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f5130: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5134: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5138: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f513c: 63d42491  add	x3, x3, #0x935
0xfffffff0087f5140: 02008052  mov	w2, #0
0xfffffff0087f5144: fbf7ec97  bl	#0xfffffff008333130
