; Candidate 5394
; ADRP+ADD at VM 0xfffffff0087edee8 (fileoff 0x17e9ee8): page=0x1fe9fc000 add_imm=0xe80

0xfffffff0087ede68: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087ede6c: c8188052  mov	w8, #0xc6
0xfffffff0087ede70: e81300f9  str	x8, [sp, #0x20]
0xfffffff0087ede74: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ede78: 08012091  add	x8, x8, #0x800
0xfffffff0087ede7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ede80: 080f8052  mov	w8, #0x78
0xfffffff0087ede84: 2051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087ede88: 00a02191  add	x0, x0, #0x868
0xfffffff0087ede8c: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ede90: 7425d797  bl	#0xfffffff007db7460
0xfffffff0087ede94: 18008052  mov	w24, #0
0xfffffff0087ede98: 55000014  b	#0xfffffff0087edfec
0xfffffff0087ede9c: c4180394  bl	#0xfffffff0088b41ac
0xfffffff0087edea0: f80300aa  mov	x24, x0
0xfffffff0087edea4: 80008052  mov	w0, #4
0xfffffff0087edea8: 6a360294  bl	#0xfffffff00887b850
0xfffffff0087edeac: fadf04a9  stp	x26, x23, [sp, #0x48]
0xfffffff0087edeb0: e80316aa  mov	x8, x22
0xfffffff0087edeb4: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0087edeb8: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edebc: 08b11b91  add	x8, x8, #0x6ec
0xfffffff0087edec0: 29118052  mov	w9, #0x89
0xfffffff0087edec4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087edec8: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edecc: 08012091  add	x8, x8, #0x800
0xfffffff0087eded0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087eded4: 080f8052  mov	w8, #0x78
0xfffffff0087eded8: 8352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ededc: 63280291  add	x3, x3, #0x8a
0xfffffff0087edee0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087edee4: f80300f9  str	x24, [sp]
0xfffffff0087edee8: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087edeec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087edef0: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087edef4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087edef8: 02008052  mov	w2, #0
0xfffffff0087edefc: 8d14ed97  bl	#0xfffffff008333130
0xfffffff0087edf00: 187d8012  mov	w24, #-0x3e9
0xfffffff0087edf04: 3b000014  b	#0xfffffff0087edff0
0xfffffff0087edf08: a9180394  bl	#0xfffffff0088b41ac
0xfffffff0087edf0c: f90300aa  mov	x25, x0
0xfffffff0087edf10: 80008052  mov	w0, #4
0xfffffff0087edf14: 4f360294  bl	#0xfffffff00887b850
0xfffffff0087edf18: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087edf1c: 695b40b9  ldr	w9, [x27, #0x58]
0xfffffff0087edf20: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087edf24: e8ef03a9  stp	x8, x27, [sp, #0x38]
0xfffffff0087edf28: 0851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087edf2c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087edf30: c9158052  mov	w9, #0xae
0xfffffff0087edf34: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087edf38: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edf3c: 08012091  add	x8, x8, #0x800
0xfffffff0087edf40: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087edf44: 080f8052  mov	w8, #0x78
0xfffffff0087edf48: 8352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087edf4c: 63240391  add	x3, x3, #0xc9
0xfffffff0087edf50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087edf54: f90300f9  str	x25, [sp]
0xfffffff0087edf58: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087edf5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087edf60: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087edf64: 212c42f9  ldr	x1, [x1, #0x458]
