; Candidate 6442
; ADRP+ADD at VM 0xfffffff00882b860 (fileoff 0x1827860): page=0x1fe9be000 add_imm=0xe80

0xfffffff00882b7e0: 08710891  add	x8, x8, #0x21c
0xfffffff00882b7e4: 692e8052  mov	w9, #0x173
0xfffffff00882b7e8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b7ec: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b7f0: 08d50691  add	x8, x8, #0x1b5
0xfffffff00882b7f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b7f8: a80a8052  mov	w8, #0x55
0xfffffff00882b7fc: f52300a9  stp	x21, x8, [sp]
0xfffffff00882b800: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b804: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b808: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b80c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b810: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b814: 63481091  add	x3, x3, #0x412
0xfffffff00882b818: 02008052  mov	w2, #0
0xfffffff00882b81c: 451eec97  bl	#0xfffffff008333130
0xfffffff00882b820: c07e8012  mov	w0, #-0x3f7
0xfffffff00882b824: aaffff17  b	#0xfffffff00882b6cc
0xfffffff00882b828: 61220294  bl	#0xfffffff0088b41ac
0xfffffff00882b82c: f50300aa  mov	x21, x0
0xfffffff00882b830: 80008052  mov	w0, #4
0xfffffff00882b834: 07400194  bl	#0xfffffff00887b850
0xfffffff00882b838: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00882b83c: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b840: 08a90091  add	x8, x8, #0x2a
0xfffffff00882b844: 092f8052  mov	w9, #0x178
0xfffffff00882b848: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b84c: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b850: 08d50691  add	x8, x8, #0x1b5
0xfffffff00882b854: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b858: a80a8052  mov	w8, #0x55
0xfffffff00882b85c: f52300a9  stp	x21, x8, [sp]
0xfffffff00882b860: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b864: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b868: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b86c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b870: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b874: 63201191  add	x3, x3, #0x448
0xfffffff00882b878: 02008052  mov	w2, #0
0xfffffff00882b87c: 2d1eec97  bl	#0xfffffff008333130
0xfffffff00882b880: 92ffff17  b	#0xfffffff00882b6c8
0xfffffff00882b884: 5f2403d5  bti	c
0xfffffff00882b888: 001440b9  ldr	w0, [x0, #0x14]
0xfffffff00882b88c: c0035fd6  ret	
0xfffffff00882b890: 5f2403d5  bti	c
0xfffffff00882b894: 001840b9  ldr	w0, [x0, #0x18]
0xfffffff00882b898: c0035fd6  ret	
0xfffffff00882b89c: 5f2403d5  bti	c
0xfffffff00882b8a0: 001c40b9  ldr	w0, [x0, #0x1c]
0xfffffff00882b8a4: c0035fd6  ret	
0xfffffff00882b8a8: 5f2403d5  bti	c
0xfffffff00882b8ac: 002040b9  ldr	w0, [x0, #0x20]
0xfffffff00882b8b0: c0035fd6  ret	
0xfffffff00882b8b4: 5f2403d5  bti	c
0xfffffff00882b8b8: 002440b9  ldr	w0, [x0, #0x24]
0xfffffff00882b8bc: c0035fd6  ret	
0xfffffff00882b8c0: 7f2303d5  pacibsp	
0xfffffff00882b8c4: ffc305d1  sub	sp, sp, #0x170
0xfffffff00882b8c8: fc6f11a9  stp	x28, x27, [sp, #0x110]
0xfffffff00882b8cc: fa6712a9  stp	x26, x25, [sp, #0x120]
0xfffffff00882b8d0: f85f13a9  stp	x24, x23, [sp, #0x130]
0xfffffff00882b8d4: f65714a9  stp	x22, x21, [sp, #0x140]
0xfffffff00882b8d8: f44f15a9  stp	x20, x19, [sp, #0x150]
0xfffffff00882b8dc: fd7b16a9  stp	x29, x30, [sp, #0x160]
