; Candidate 6874
; ADRP+ADD at VM 0xfffffff008847564 (fileoff 0x1843564): page=0x1fe9a2000 add_imm=0xe80

0xfffffff0088474e4: 19020034  cbz	w25, #0xfffffff008847524
0xfffffff0088474e8: e80316aa  mov	x8, x22
0xfffffff0088474ec: e85f04a9  stp	x8, x23, [sp, #0x40]
0xfffffff0088474f0: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0088474f4: e84effb0  adrp	x8, #0xfffffff007224000
0xfffffff0088474f8: 087d3d91  add	x8, x8, #0xf5f
0xfffffff0088474fc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008847500: e84effd0  adrp	x8, #0xfffffff007225000
0xfffffff008847504: 08b51291  add	x8, x8, #0x4ad
0xfffffff008847508: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884750c: c80d8052  mov	w8, #0x6e
0xfffffff008847510: e04effb0  adrp	x0, #0xfffffff007224000
0xfffffff008847514: 00c83c91  add	x0, x0, #0xf32
0xfffffff008847518: f82300a9  stp	x24, x8, [sp]
0xfffffff00884751c: d1bfd597  bl	#0xfffffff007db7460
0xfffffff008847520: 19000014  b	#0xfffffff008847584
0xfffffff008847524: 22b30194  bl	#0xfffffff0088b41ac
0xfffffff008847528: f80300aa  mov	x24, x0
0xfffffff00884752c: e0008052  mov	w0, #7
0xfffffff008847530: c8d00094  bl	#0xfffffff00887b850
0xfffffff008847534: e80317aa  mov	x8, x23
0xfffffff008847538: e90316aa  mov	x9, x22
0xfffffff00884753c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008847540: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008847544: e84effb0  adrp	x8, #0xfffffff007224000
0xfffffff008847548: 087d3d91  add	x8, x8, #0xf5f
0xfffffff00884754c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008847550: e84effd0  adrp	x8, #0xfffffff007225000
0xfffffff008847554: 08b51291  add	x8, x8, #0x4ad
0xfffffff008847558: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884755c: c80d8052  mov	w8, #0x6e
0xfffffff008847560: f82300a9  stp	x24, x8, [sp]
0xfffffff008847564: 004dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008847568: 00003a91  add	x0, x0, #0xe80
0xfffffff00884756c: 018effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008847570: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008847574: 4350ffb0  adrp	x3, #0xfffffff007250000
0xfffffff008847578: 63d03291  add	x3, x3, #0xcb4
0xfffffff00884757c: 02008052  mov	w2, #0
0xfffffff008847580: ecaeeb97  bl	#0xfffffff008333130
0xfffffff008847584: e0028052  mov	w0, #0x17
0xfffffff008847588: 8bae0194  bl	#0xfffffff0088b2fb4
0xfffffff00884758c: 088effb0  adrp	x8, #0xfffffff007a08000
0xfffffff008847590: 085142f9  ldr	x8, [x8, #0x4a0]
0xfffffff008847594: 010140f9  ldr	x1, [x8]
0xfffffff008847598: 021040a9  ldp	x2, x4, [x0]
0xfffffff00884759c: 66020291  add	x6, x19, #0x80
0xfffffff0088475a0: e00315aa  mov	x0, x21
0xfffffff0088475a4: e30317aa  mov	x3, x23
0xfffffff0088475a8: e50316aa  mov	x5, x22
0xfffffff0088475ac: a33e0194  bl	#0xfffffff008897038
0xfffffff0088475b0: 00040034  cbz	w0, #0xfffffff008847630
0xfffffff0088475b4: f80300aa  mov	x24, x0
0xfffffff0088475b8: c00d8052  mov	w0, #0x6e
0xfffffff0088475bc: 81008052  mov	w1, #4
0xfffffff0088475c0: 84d00094  bl	#0xfffffff00887b7d0
0xfffffff0088475c4: 600f0034  cbz	w0, #0xfffffff0088477b0
0xfffffff0088475c8: c00d8052  mov	w0, #0x6e
0xfffffff0088475cc: 93d00094  bl	#0xfffffff00887b818
0xfffffff0088475d0: fa0300aa  mov	x26, x0
0xfffffff0088475d4: f6b20194  bl	#0xfffffff0088b41ac
0xfffffff0088475d8: f90300aa  mov	x25, x0
0xfffffff0088475dc: 80008052  mov	w0, #4
0xfffffff0088475e0: 9cd00094  bl	#0xfffffff00887b850
