; Candidate 3880
; ADRP+ADD at VM 0xfffffff00876c0cc (fileoff 0x17680cc): page=0x1fe9c5000 add_imm=0xd90

0xfffffff00876c04c: 20000000  udf	#0x20
0xfffffff00876c050: cc000000  udf	#0xcc
0xfffffff00876c054: 80000000  udf	#0x80
0xfffffff00876c058: 7f2303d5  pacibsp	
0xfffffff00876c05c: ff4301d1  sub	sp, sp, #0x50
0xfffffff00876c060: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00876c064: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00876c068: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00876c06c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00876c070: fd030191  add	x29, sp, #0x40
0xfffffff00876c074: f40302aa  mov	x20, x2
0xfffffff00876c078: f30300aa  mov	x19, x0
0xfffffff00876c07c: 3b2cff97  bl	#0xfffffff008737168
0xfffffff00876c080: b094ff90  adrp	x16, #0xfffffff007a00000
0xfffffff00876c084: 10421a91  add	x16, x16, #0x690
0xfffffff00876c088: 10420091  add	x16, x16, #0x10
0xfffffff00876c08c: f10300aa  mov	x17, x0
0xfffffff00876c090: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00876c094: 300ac1da  pacda	x16, x17
0xfffffff00876c098: 100000f9  str	x16, [x0]
0xfffffff00876c09c: c094ffb0  adrp	x0, #0xfffffff007a05000
0xfffffff00876c0a0: 00a00591  add	x0, x0, #0x168
0xfffffff00876c0a4: 14a9ef97  bl	#0xfffffff0083564f4
0xfffffff00876c0a8: 01008052  mov	w1, #0
0xfffffff00876c0ac: e20314aa  mov	x2, x20
0xfffffff00876c0b0: a1500094  bl	#0xfffffff008780334
0xfffffff00876c0b4: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00876c0b8: 774fffd0  adrp	x23, #0xfffffff00715a000
0xfffffff00876c0bc: f7260391  add	x23, x23, #0xc9
0xfffffff00876c0c0: 600100b5  cbnz	x0, #0xfffffff00876c0ec
0xfffffff00876c0c4: c8058052  mov	w8, #0x2e
0xfffffff00876c0c8: f72300a9  stp	x23, x8, [sp]
0xfffffff00876c0cc: 204effb0  adrp	x0, #0xfffffff007131000
0xfffffff00876c0d0: 00403691  add	x0, x0, #0xd90
0xfffffff00876c0d4: 8194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876c0d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876c0dc: a34efff0  adrp	x3, #0xfffffff007143000
0xfffffff00876c0e0: 63ac1b91  add	x3, x3, #0x6eb
0xfffffff00876c0e4: 02008052  mov	w2, #0
0xfffffff00876c0e8: 121cef97  bl	#0xfffffff008333130
0xfffffff00876c0ec: 08008652  mov	w8, #0x3000
0xfffffff00876c0f0: 689600f9  str	x8, [x19, #0x128]
0xfffffff00876c0f4: c094fff0  adrp	x0, #0xfffffff007a07000
0xfffffff00876c0f8: 00e01691  add	x0, x0, #0x5b8
0xfffffff00876c0fc: 01009852  mov	w1, #0xc000
0xfffffff00876c100: 34abef97  bl	#0xfffffff008356dd0
0xfffffff00876c104: 609200f9  str	x0, [x19, #0x120]
0xfffffff00876c108: 600100b5  cbnz	x0, #0xfffffff00876c134
0xfffffff00876c10c: a8068052  mov	w8, #0x35
0xfffffff00876c110: f72300a9  stp	x23, x8, [sp]
0xfffffff00876c114: 204effb0  adrp	x0, #0xfffffff007131000
0xfffffff00876c118: 00403691  add	x0, x0, #0xd90
0xfffffff00876c11c: 8194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876c120: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876c124: a34efff0  adrp	x3, #0xfffffff007143000
0xfffffff00876c128: 63781c91  add	x3, x3, #0x71e
0xfffffff00876c12c: 02008052  mov	w2, #0
0xfffffff00876c130: 001cef97  bl	#0xfffffff008333130
0xfffffff00876c134: 18268052  mov	w24, #0x130
0xfffffff00876c138: 344effb0  adrp	x20, #0xfffffff007131000
0xfffffff00876c13c: 94423691  add	x20, x20, #0xd90
0xfffffff00876c140: 9594ffb0  adrp	x21, #0xfffffff0079fd000
0xfffffff00876c144: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff00876c148: b64efff0  adrp	x22, #0xfffffff007143000
