; Candidate 9307
; ADRP+ADD at VM 0xfffffff008a24a9c (fileoff 0x1a20a9c): page=0x1fe875000 add_imm=0xe40

0xfffffff008a24a1c: f40300aa  mov	x20, x0
0xfffffff008a24a20: 700240f9  ldr	x16, [x19]
0xfffffff008a24a24: f10313aa  mov	x17, x19
0xfffffff008a24a28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24a2c: 301ac1da  autda	x16, x17
0xfffffff008a24a30: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24a34: 1002118b  add	x16, x16, x17
0xfffffff008a24a38: 080240f9  ldr	x8, [x16]
0xfffffff008a24a3c: e90310aa  mov	x9, x16
0xfffffff008a24a40: e00313aa  mov	x0, x19
0xfffffff008a24a44: 010080d2  mov	x1, #0
0xfffffff008a24a48: f10309aa  mov	x17, x9
0xfffffff008a24a4c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24a50: 11093fd7  blraa	x8, x17
0xfffffff008a24a54: 700240f9  ldr	x16, [x19]
0xfffffff008a24a58: f10313aa  mov	x17, x19
0xfffffff008a24a5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24a60: 301ac1da  autda	x16, x17
0xfffffff008a24a64: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24a68: 1002118b  add	x16, x16, x17
0xfffffff008a24a6c: 080240f9  ldr	x8, [x16]
0xfffffff008a24a70: e90310aa  mov	x9, x16
0xfffffff008a24a74: e00313aa  mov	x0, x19
0xfffffff008a24a78: 010080d2  mov	x1, #0
0xfffffff008a24a7c: f10309aa  mov	x17, x9
0xfffffff008a24a80: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24a84: 11093fd7  blraa	x8, x17
0xfffffff008a24a88: 157c8052  mov	w21, #0x3e0
0xfffffff008a24a8c: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a24a90: d643ffb0  adrp	x22, #0xfffffff00729d000
0xfffffff008a24a94: d6e20591  add	x22, x22, #0x178
0xfffffff008a24a98: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24a9c: a043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a24aa0: 00003991  add	x0, x0, #0xe40
0xfffffff008a24aa4: 2181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a24aa8: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a24aac: e343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a24ab0: 63c82691  add	x3, x3, #0x9b2
0xfffffff008a24ab4: 02028052  mov	w2, #0x10
0xfffffff008a24ab8: 9e39e497  bl	#0xfffffff008333130
0xfffffff008a24abc: 700240f9  ldr	x16, [x19]
0xfffffff008a24ac0: f10313aa  mov	x17, x19
0xfffffff008a24ac4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24ac8: 301ac1da  autda	x16, x17
0xfffffff008a24acc: f10310aa  mov	x17, x16
0xfffffff008a24ad0: f147c1da  xpacd	x17
0xfffffff008a24ad4: 1f0211eb  cmp	x16, x17
0xfffffff008a24ad8: 40000054  b.eq	#0xfffffff008a24ae0
0xfffffff008a24adc: 408e38d4  brk	#0xc472
0xfffffff008a24ae0: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a24ae4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a24ae8: e00313aa  mov	x0, x19
0xfffffff008a24aec: 010080d2  mov	x1, #0
0xfffffff008a24af0: f10308aa  mov	x17, x8
0xfffffff008a24af4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24af8: 31093fd7  blraa	x9, x17
0xfffffff008a24afc: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a24b00: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24b04: c043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a24b08: 00083f91  add	x0, x0, #0xfc2
0xfffffff008a24b0c: 45c9e497  bl	#0xfffffff008357020
0xfffffff008a24b10: 39feff17  b	#0xfffffff008a243f4
0xfffffff008a24b14: 7f2303d5  pacibsp	
0xfffffff008a24b18: ff4302d1  sub	sp, sp, #0x90
