; Candidate 6839
; ADRP+ADD at VM 0xfffffff008845594 (fileoff 0x1841594): page=0x1fe9a4000 add_imm=0xe80

0xfffffff008845514: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff008845518: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00884551c: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff008845520: 08992691  add	x8, x8, #0x9a6
0xfffffff008845524: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008845528: e84effd0  adrp	x8, #0xfffffff007223000
0xfffffff00884552c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008845530: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008845534: 480a8052  mov	w8, #0x52
0xfffffff008845538: e04efff0  adrp	x0, #0xfffffff007224000
0xfffffff00884553c: 00d42591  add	x0, x0, #0x975
0xfffffff008845540: f82300a9  stp	x24, x8, [sp]
0xfffffff008845544: c7c7d597  bl	#0xfffffff007db7460
0xfffffff008845548: 1b000014  b	#0xfffffff0088455b4
0xfffffff00884554c: 18bb0194  bl	#0xfffffff0088b41ac
0xfffffff008845550: f80300aa  mov	x24, x0
0xfffffff008845554: 00018052  mov	w0, #8
0xfffffff008845558: bed80094  bl	#0xfffffff00887b850
0xfffffff00884555c: e80317aa  mov	x8, x23
0xfffffff008845560: e90316aa  mov	x9, x22
0xfffffff008845564: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008845568: e80315aa  mov	x8, x21
0xfffffff00884556c: e90314aa  mov	x9, x20
0xfffffff008845570: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008845574: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff008845578: 08992691  add	x8, x8, #0x9a6
0xfffffff00884557c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008845580: e84effd0  adrp	x8, #0xfffffff007223000
0xfffffff008845584: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008845588: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884558c: 480a8052  mov	w8, #0x52
0xfffffff008845590: f82300a9  stp	x24, x8, [sp]
0xfffffff008845594: 204dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008845598: 00003a91  add	x0, x0, #0xe80
0xfffffff00884559c: 018efff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088455a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088455a4: 4350fff0  adrp	x3, #0xfffffff007250000
0xfffffff0088455a8: 63181c91  add	x3, x3, #0x706
0xfffffff0088455ac: 02008052  mov	w2, #0
0xfffffff0088455b0: e0b6eb97  bl	#0xfffffff008333130
0xfffffff0088455b4: 68be40b9  ldr	w8, [x19, #0xbc]
0xfffffff0088455b8: 1f01146b  cmp	w8, w20
0xfffffff0088455bc: 49010054  b.ls	#0xfffffff0088455e4
0xfffffff0088455c0: 684e348b  add	x8, x19, w20, uxtw #3
0xfffffff0088455c4: 006140f9  ldr	x0, [x8, #0xc0]
0xfffffff0088455c8: 600800b4  cbz	x0, #0xfffffff0088456d4
0xfffffff0088455cc: e10315aa  mov	x1, x21
0xfffffff0088455d0: e20316aa  mov	x2, x22
0xfffffff0088455d4: e30317aa  mov	x3, x23
0xfffffff0088455d8: 9e9e0094  bl	#0xfffffff00886d050
0xfffffff0088455dc: f80300aa  mov	x24, x0
0xfffffff0088455e0: 02000014  b	#0xfffffff0088455e8
0xfffffff0088455e4: d87e8012  mov	w24, #-0x3f7
0xfffffff0088455e8: 400a8052  mov	w0, #0x52
0xfffffff0088455ec: 01018052  mov	w1, #8
0xfffffff0088455f0: 78d80094  bl	#0xfffffff00887b7d0
0xfffffff0088455f4: 00060034  cbz	w0, #0xfffffff0088456b4
0xfffffff0088455f8: 400a8052  mov	w0, #0x52
0xfffffff0088455fc: 87d80094  bl	#0xfffffff00887b818
0xfffffff008845600: fa0300aa  mov	x26, x0
0xfffffff008845604: eaba0194  bl	#0xfffffff0088b41ac
0xfffffff008845608: f90300aa  mov	x25, x0
0xfffffff00884560c: 00018052  mov	w0, #8
0xfffffff008845610: 90d80094  bl	#0xfffffff00887b850
