; Candidate 3213
; ADRP+ADD at VM 0xfffffff00871cba4 (fileoff 0x1718ba4): page=0x1fea15000 add_imm=0xd90

0xfffffff00871cb24: c802084b  sub	w8, w22, w8
0xfffffff00871cb28: 3a25c81a  lsr	w26, w9, w8
0xfffffff00871cb2c: e00313aa  mov	x0, x19
0xfffffff00871cb30: 02008052  mov	w2, #0
0xfffffff00871cb34: d3f9ff97  bl	#0xfffffff00871b280
0xfffffff00871cb38: e80641f9  ldr	x8, [x23, #0x208]
0xfffffff00871cb3c: 097975f8  ldr	x9, [x8, x21, lsl #3]
0xfffffff00871cb40: 2901198b  add	x9, x9, x25
0xfffffff00871cb44: 3a050079  strh	w26, [x9, #2]
0xfffffff00871cb48: 18070091  add	x24, x24, #1
0xfffffff00871cb4c: 393b0091  add	x25, x25, #0xe
0xfffffff00871cb50: 1f0315eb  cmp	x24, x21
0xfffffff00871cb54: c3fcff54  b.lo	#0xfffffff00871caec
0xfffffff00871cb58: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871cb5c: bf4228eb  cmp	x21, w8, uxtw
0xfffffff00871cb60: b5060091  add	x21, x21, #1
0xfffffff00871cb64: 43fbff54  b.lo	#0xfffffff00871cacc
0xfffffff00871cb68: e00313aa  mov	x0, x19
0xfffffff00871cb6c: 23020094  bl	#0xfffffff00871d3f8
0xfffffff00871cb70: e0e60579  strh	w0, [x23, #0x2f2]
0xfffffff00871cb74: 083c0012  and	w8, w0, #0xffff
0xfffffff00871cb78: 1f054071  cmp	w8, #1, lsl #12
0xfffffff00871cb7c: 69020054  b.ls	#0xfffffff00871cbc8
0xfffffff00871cb80: 09008252  mov	w9, #0x1000
0xfffffff00871cb84: ca51ffb0  adrp	x10, #0xfffffff007155000
0xfffffff00871cb88: 4aa93491  add	x10, x10, #0xd2a
0xfffffff00871cb8c: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff00871cb90: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00871cb94: a8898052  mov	w8, #0x44d
0xfffffff00871cb98: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871cb9c: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871cba0: e92300a9  stp	x9, x8, [sp]
0xfffffff00871cba4: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871cba8: 00403691  add	x0, x0, #0xd90
0xfffffff00871cbac: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871cbb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871cbb4: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871cbb8: 63380f91  add	x3, x3, #0x3ce
0xfffffff00871cbbc: 02008052  mov	w2, #0
0xfffffff00871cbc0: 5c59f097  bl	#0xfffffff008333130
0xfffffff00871cbc4: 46fbff17  b	#0xfffffff00871b8dc
0xfffffff00871cbc8: 1f090071  cmp	w8, #2
0xfffffff00871cbcc: e3010054  b.lo	#0xfffffff00871cc08
0xfffffff00871cbd0: 34008052  mov	w20, #1
0xfffffff00871cbd4: 75be4139  ldrb	w21, [x19, #0x6f]
0xfffffff00871cbd8: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff00871cbdc: 08210011  add	w8, w8, #8
0xfffffff00871cbe0: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff00871cbe4: e00313aa  mov	x0, x19
0xfffffff00871cbe8: 01018052  mov	w1, #8
0xfffffff00871cbec: 02008052  mov	w2, #0
0xfffffff00871cbf0: a4f9ff97  bl	#0xfffffff00871b280
0xfffffff00871cbf4: f5ea0579  strh	w21, [x23, #0x2f4]
0xfffffff00871cbf8: 94060011  add	w20, w20, #1
0xfffffff00871cbfc: e8e64579  ldrh	w8, [x23, #0x2f2]
0xfffffff00871cc00: 9f02086b  cmp	w20, w8
0xfffffff00871cc04: 83feff54  b.lo	#0xfffffff00871cbd4
0xfffffff00871cc08: 743640f9  ldr	x20, [x19, #0x68]
0xfffffff00871cc0c: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff00871cc10: 08050011  add	w8, w8, #1
0xfffffff00871cc14: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff00871cc18: e00313aa  mov	x0, x19
0xfffffff00871cc1c: 21008052  mov	w1, #1
0xfffffff00871cc20: 02008052  mov	w2, #0
