; Candidate 9794
; ADRP+ADD at VM 0xfffffff008b411d8 (fileoff 0x1b3d1d8): page=0x1fe7af000 add_imm=0xdf2

0xfffffff008b41158: 15008052  mov	w21, #0
0xfffffff008b4115c: a17e4093  sxtw	x1, w21
0xfffffff008b41160: e0060011  add	w0, w23, #1
0xfffffff008b41164: 020080d2  mov	x2, #0
0xfffffff008b41168: 030080d2  mov	x3, #0
0xfffffff008b4116c: 040080d2  mov	x4, #0
0xfffffff008b41170: 050080d2  mov	x5, #0
0xfffffff008b41174: 64f3d897  bl	#0xfffffff00817df04
0xfffffff008b41178: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008b4117c: e979ffb0  adrp	x9, #0xfffffff007a7e000
0xfffffff008b41180: 290d46f9  ldr	x9, [x9, #0xc18]
0xfffffff008b41184: 290140f9  ldr	x9, [x9]
0xfffffff008b41188: 3f0108eb  cmp	x9, x8
0xfffffff008b4118c: 41010054  b.ne	#0xfffffff008b411b4
0xfffffff008b41190: e00315aa  mov	x0, x21
0xfffffff008b41194: ff832c91  add	sp, sp, #0xb20
0xfffffff008b41198: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008b4119c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008b411a0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008b411a4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008b411a8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008b411ac: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008b411b0: ff0f5fd6  retab	
0xfffffff008b411b4: 2673c897  bl	#0xfffffff007d5de4c
0xfffffff008b411b8: 7f2303d5  pacibsp	
0xfffffff008b411bc: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008b411c0: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff008b411c4: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008b411c8: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008b411cc: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008b411d0: fdc30291  add	x29, sp, #0xb0
0xfffffff008b411d4: f30300aa  mov	x19, x0
0xfffffff008b411d8: 603dfff0  adrp	x0, #0xfffffff0072f0000
0xfffffff008b411dc: 00c83791  add	x0, x0, #0xdf2
0xfffffff008b411e0: 8097df97  bl	#0xfffffff008326fe0
0xfffffff008b411e4: 800400b4  cbz	x0, #0xfffffff008b41274
0xfffffff008b411e8: f40300aa  mov	x20, x0
0xfffffff008b411ec: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008b411f0: f70313aa  mov	x23, x19
0xfffffff008b411f4: e00e853c  str	q0, [x23, #0x50]!
0xfffffff008b411f8: e08203ad  stp	q0, q0, [x23, #0x70]
0xfffffff008b411fc: e08202ad  stp	q0, q0, [x23, #0x50]
0xfffffff008b41200: e08201ad  stp	q0, q0, [x23, #0x30]
0xfffffff008b41204: e006803d  str	q0, [x23, #0x10]
0xfffffff008b41208: f50317aa  mov	x21, x23
0xfffffff008b4120c: a00e823c  str	q0, [x21, #0x20]!
0xfffffff008b41210: 28008052  mov	w8, #1
0xfffffff008b41214: e8320239  strb	w8, [x23, #0x8c]
0xfffffff008b41218: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff008b4121c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008b41220: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008b41224: e84a40f9  ldr	x8, [x23, #0x90]
0xfffffff008b41228: 00d540f9  ldr	x0, [x8, #0x1a8]
0xfffffff008b4122c: 804ce297  bl	#0xfffffff0083d442c
0xfffffff008b41230: f60300aa  mov	x22, x0
0xfffffff008b41234: e04a40f9  ldr	x0, [x23, #0x90]
0xfffffff008b41238: e10317aa  mov	x1, x23
0xfffffff008b4123c: 4a7bff97  bl	#0xfffffff008b1ff64
0xfffffff008b41240: 773dfff0  adrp	x23, #0xfffffff0072f0000
0xfffffff008b41244: f71e3891  add	x23, x23, #0xe07
0xfffffff008b41248: c0010034  cbz	w0, #0xfffffff008b41280
0xfffffff008b4124c: f70300f9  str	x23, [sp]
0xfffffff008b41250: 203cff90  adrp	x0, #0xfffffff0072c5000
0xfffffff008b41254: 00402f91  add	x0, x0, #0xbd0
