; Candidate 8928
; ADRP+ADD at VM 0xfffffff0088ef7a4 (fileoff 0x18eb7a4): page=0x1fe97f000 add_imm=0xd98

0xfffffff0088ef724: 63040054  b.lo	#0xfffffff0088ef7b0
0xfffffff0088ef728: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0088ef72c: 2a0400b5  cbnz	x10, #0xfffffff0088ef7b0
0xfffffff0088ef730: 3f717df2  tst	x9, #0xfffffff8
0xfffffff0088ef734: 80030054  b.eq	#0xfffffff0088ef7a4
0xfffffff0088ef738: 3f6d7cf2  tst	x9, #0xfffffff0
0xfffffff0088ef73c: 40030054  b.eq	#0xfffffff0088ef7a4
0xfffffff0088ef740: 092100b1  adds	x9, x8, #8
0xfffffff0088ef744: eb379f1a  cset	w11, hs
0xfffffff0088ef748: 6a014093  sbfx	x10, x11, #0, #1
0xfffffff0088ef74c: 4b010bca  eor	x11, x10, x11
0xfffffff0088ef750: 6b0300b5  cbnz	x11, #0xfffffff0088ef7bc
0xfffffff0088ef754: 4a03f8b7  tbnz	x10, #0x3f, #0xfffffff0088ef7bc
0xfffffff0088ef758: 010140f9  ldr	x1, [x8]
0xfffffff0088ef75c: 22014039  ldrb	w2, [x9]
0xfffffff0088ef760: 100040f9  ldr	x16, [x0]
0xfffffff0088ef764: f10300aa  mov	x17, x0
0xfffffff0088ef768: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef76c: 301ac1da  autda	x16, x17
0xfffffff0088ef770: 11cf80d2  mov	x17, #0x678
0xfffffff0088ef774: 1002118b  add	x16, x16, x17
0xfffffff0088ef778: 080240f9  ldr	x8, [x16]
0xfffffff0088ef77c: e30310aa  mov	x3, x16
0xfffffff0088ef780: f00308aa  mov	x16, x8
0xfffffff0088ef784: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ef788: ff2303d5  autibsp	
0xfffffff0088ef78c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088ef790: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088ef798
0xfffffff0088ef794: 208e38d4  brk	#0xc471
0xfffffff0088ef798: f10303aa  mov	x17, x3
0xfffffff0088ef79c: 314de6f2  movk	x17, #0x3269, lsl #48
0xfffffff0088ef7a0: 110a1fd7  braa	x16, x17
0xfffffff0088ef7a4: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7a8: 00603691  add	x0, x0, #0xd98
0xfffffff0088ef7ac: 09000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef7b0: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7b4: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088ef7b8: 06000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef7bc: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7c0: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088ef7c4: 03000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef7c8: 5f2403d5  bti	c
0xfffffff0088ef7cc: cad3e717  b	#0xfffffff0082e46f4
0xfffffff0088ef7d0: 7f2303d5  pacibsp	
0xfffffff0088ef7d4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0088ef7d8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0088ef7dc: fd830091  add	x29, sp, #0x20
0xfffffff0088ef7e0: a8068052  mov	w8, #0x35
0xfffffff0088ef7e4: e94bfff0  adrp	x9, #0xfffffff00726e000
0xfffffff0088ef7e8: 29652f91  add	x9, x9, #0xbd9
0xfffffff0088ef7ec: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0088ef7f0: e00300f9  str	x0, [sp]
0xfffffff0088ef7f4: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7f8: 00342f91  add	x0, x0, #0xbcd
0xfffffff0088ef7fc: 4493ee97  bl	#0xfffffff00849450c
0xfffffff0088ef800: 7f2303d5  pacibsp	
0xfffffff0088ef804: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ef808: fd030091  mov	x29, sp
0xfffffff0088ef80c: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef810: 001c3891  add	x0, x0, #0xe07
0xfffffff0088ef814: 89e6e897  bl	#0xfffffff008329238
0xfffffff0088ef818: 68cf0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ef81c: 009d06f9  str	x0, [x8, #0xd38]
0xfffffff0088ef820: e04bfff0  adrp	x0, #0xfffffff00726e000
