; Candidate 8269
; ADRP+ADD at VM 0xfffffff00889fe78 (fileoff 0x189be78): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889fdf8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889fdfc: a80f8052  mov	w8, #0x7d
0xfffffff00889fe00: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fe04: 63a40591  add	x3, x3, #0x169
0xfffffff00889fe08: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889fe0c: f60300f9  str	x22, [sp]
0xfffffff00889fe10: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889fe14: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fe18: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fe1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fe20: 02008052  mov	w2, #0
0xfffffff00889fe24: c34cea97  bl	#0xfffffff008333130
0xfffffff00889fe28: 167d8012  mov	w22, #-0x3e9
0xfffffff00889fe2c: 1e000014  b	#0xfffffff00889fea4
0xfffffff00889fe30: df500094  bl	#0xfffffff0088b41ac
0xfffffff00889fe34: f60300aa  mov	x22, x0
0xfffffff00889fe38: 80008052  mov	w0, #4
0xfffffff00889fe3c: 856eff97  bl	#0xfffffff00887b850
0xfffffff00889fe40: 680240b9  ldr	w8, [x19]
0xfffffff00889fe44: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff00889fe48: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889fe4c: 08511691  add	x8, x8, #0x594
0xfffffff00889fe50: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889fe54: 68818052  mov	w8, #0x40b
0xfffffff00889fe58: 894cffd0  adrp	x9, #0xfffffff007231000
0xfffffff00889fe5c: 29910491  add	x9, x9, #0x124
0xfffffff00889fe60: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889fe64: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fe68: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fe6c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889fe70: a80f8052  mov	w8, #0x7d
0xfffffff00889fe74: f62300a9  stp	x22, x8, [sp]
0xfffffff00889fe78: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889fe7c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fe80: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fe84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fe88: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fe8c: 639c0691  add	x3, x3, #0x1a7
0xfffffff00889fe90: 02008052  mov	w2, #0
0xfffffff00889fe94: a74cea97  bl	#0xfffffff008333130
0xfffffff00889fe98: 28008052  mov	w8, #1
0xfffffff00889fe9c: a80200b9  str	w8, [x21]
0xfffffff00889fea0: f67d8012  mov	w22, #-0x3f0
0xfffffff00889fea4: a00f8052  mov	w0, #0x7d
0xfffffff00889fea8: e1008052  mov	w1, #7
0xfffffff00889feac: 496eff97  bl	#0xfffffff00887b7d0
0xfffffff00889feb0: 00060034  cbz	w0, #0xfffffff00889ff70
0xfffffff00889feb4: a00f8052  mov	w0, #0x7d
0xfffffff00889feb8: 586eff97  bl	#0xfffffff00887b818
0xfffffff00889febc: f80300aa  mov	x24, x0
0xfffffff00889fec0: bb500094  bl	#0xfffffff0088b41ac
0xfffffff00889fec4: f70300aa  mov	x23, x0
0xfffffff00889fec8: e0008052  mov	w0, #7
0xfffffff00889fecc: 616eff97  bl	#0xfffffff00887b850
0xfffffff00889fed0: 18020034  cbz	w24, #0xfffffff00889ff10
0xfffffff00889fed4: 680240b9  ldr	w8, [x19]
0xfffffff00889fed8: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00889fedc: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889fee0: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fee4: 08910491  add	x8, x8, #0x124
0xfffffff00889fee8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889feec: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fef0: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fef4: e02301a9  stp	x0, x8, [sp, #0x10]
