; Candidate 13715
; ADRP+ADD at VM 0xfffffff0093e95e4 (fileoff 0x23e55e4): page=0x1fe129000 add_imm=0xe0d

0xfffffff0093e9564: a2000014  b	#0xfffffff0093e97ec
0xfffffff0093e9568: 56588052  mov	w22, #0x2c2
0xfffffff0093e956c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0093e9570: e10300f9  str	x1, [sp]
0xfffffff0093e9574: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e9578: 00142f91  add	x0, x0, #0xbc5
0xfffffff0093e957c: 05000014  b	#0xfffffff0093e9590
0xfffffff0093e9580: 56588052  mov	w22, #0x2c2
0xfffffff0093e9584: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0093e9588: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e958c: 00743091  add	x0, x0, #0xc1d
0xfffffff0093e9590: a4b6bd97  bl	#0xfffffff008357020
0xfffffff0093e9594: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff0093e9598: 493ffff0  adrp	x9, #0xfffffff007bd4000
0xfffffff0093e959c: 297d46f9  ldr	x9, [x9, #0xcf8]
0xfffffff0093e95a0: 290140f9  ldr	x9, [x9]
0xfffffff0093e95a4: 3f0108eb  cmp	x9, x8
0xfffffff0093e95a8: c1140054  b.ne	#0xfffffff0093e9840
0xfffffff0093e95ac: e00316aa  mov	x0, x22
0xfffffff0093e95b0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0093e95b4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0093e95b8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0093e95bc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0093e95c0: ffc30291  add	sp, sp, #0xb0
0xfffffff0093e95c4: ff0f5fd6  retab	
0xfffffff0093e95c8: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e95cc: 00c43191  add	x0, x0, #0xc71
0xfffffff0093e95d0: 94b6bd97  bl	#0xfffffff008357020
0xfffffff0093e95d4: 48588052  mov	w8, #0x2c2
0xfffffff0093e95d8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0093e95dc: 161d0011  add	w22, w8, #7
0xfffffff0093e95e0: edffff17  b	#0xfffffff0093e9594
0xfffffff0093e95e4: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e95e8: 00343891  add	x0, x0, #0xe0d
0xfffffff0093e95ec: 8db6bd97  bl	#0xfffffff008357020
0xfffffff0093e95f0: 16008052  mov	w22, #0
0xfffffff0093e95f4: 88000014  b	#0xfffffff0093e9814
0xfffffff0093e95f8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0093e95fc: e0c3843c  stur	q0, [sp, #0x4c]
0xfffffff0093e9600: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff0093e9604: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff0093e9608: e0c30091  add	x0, sp, #0x30
0xfffffff0093e960c: 01008052  mov	w1, #0
0xfffffff0093e9610: 82058052  mov	w2, #0x2c
0xfffffff0093e9614: 6b8da597  bl	#0xfffffff007d4cbc0
0xfffffff0093e9618: 08108052  mov	w8, #0x80
0xfffffff0093e961c: a9138152  mov	w9, #0x89d
0xfffffff0093e9620: e83300b9  str	w8, [sp, #0x30]
0xfffffff0093e9624: e95700b9  str	w9, [sp, #0x54]
0xfffffff0093e9628: b00240f9  ldr	x16, [x21]
0xfffffff0093e962c: f10315aa  mov	x17, x21
0xfffffff0093e9630: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e9634: 301ac1da  autda	x16, x17
0xfffffff0093e9638: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff0093e963c: e90310aa  mov	x9, x16
0xfffffff0093e9640: e00315aa  mov	x0, x21
0xfffffff0093e9644: 010080d2  mov	x1, #0
0xfffffff0093e9648: e20316aa  mov	x2, x22
0xfffffff0093e964c: 03808052  mov	w3, #0x400
0xfffffff0093e9650: f10309aa  mov	x17, x9
0xfffffff0093e9654: 710feaf2  movk	x17, #0x507b, lsl #48
0xfffffff0093e9658: 11093fd7  blraa	x8, x17
0xfffffff0093e965c: 700240f9  ldr	x16, [x19]
0xfffffff0093e9660: f10313aa  mov	x17, x19
