; Candidate 12376
; ADRP+ADD at VM 0xfffffff009097160 (fileoff 0x2093160): page=0x1fe3c2000 add_imm=0xe24

0xfffffff0090970e0: dafeff97  bl	#0xfffffff009096c48
0xfffffff0090970e4: e05702a9  stp	x0, x21, [sp, #0x20]
0xfffffff0090970e8: f65301a9  stp	x22, x20, [sp, #0x10]
0xfffffff0090970ec: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090970f0: 401eff90  adrp	x0, #0xfffffff00745f000
0xfffffff0090970f4: 00843391  add	x0, x0, #0xce1
0xfffffff0090970f8: caffca97  bl	#0xfffffff008357020
0xfffffff0090970fc: a81f8052  mov	w8, #0xfd
0xfffffff009097100: 697e4093  sxtw	x9, w19
0xfffffff009097104: 4a1eff90  adrp	x10, #0xfffffff00745f000
0xfffffff009097108: 4acd3091  add	x10, x10, #0xc33
0xfffffff00909710c: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff009097110: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097114: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097118: 0b1efff0  adrp	x11, #0xfffffff00745a000
0xfffffff00909711c: 6b290291  add	x11, x11, #0x8a
0xfffffff009097120: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009097124: eb0300f9  str	x11, [sp]
0xfffffff009097128: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff00909712c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009097130: bcffca97  bl	#0xfffffff008357020
0xfffffff009097134: c8088052  mov	w8, #0x46
0xfffffff009097138: 03000014  b	#0xfffffff009097144
0xfffffff00909713c: 13feff35  cbnz	w19, #0xfffffff0090970fc
0xfffffff009097140: 48018052  mov	w8, #0xa
0xfffffff009097144: 29034039  ldrb	w9, [x25]
0xfffffff009097148: 1f01096b  cmp	w8, w9
0xfffffff00909714c: 03010054  b.lo	#0xfffffff00909716c
0xfffffff009097150: e80313aa  mov	x8, x19
0xfffffff009097154: 087d4093  sxtw	x8, w8
0xfffffff009097158: f85f00a9  stp	x24, x23, [sp]
0xfffffff00909715c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009097160: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097164: 00903891  add	x0, x0, #0xe24
0xfffffff009097168: aeffca97  bl	#0xfffffff008357020
0xfffffff00909716c: e00313aa  mov	x0, x19
0xfffffff009097170: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009097174: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009097178: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00909717c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009097180: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009097184: ff430291  add	sp, sp, #0x90
0xfffffff009097188: ff0f5fd6  retab	
0xfffffff00909718c: f30300aa  mov	x19, x0
0xfffffff009097190: 681e8052  mov	w8, #0xf3
0xfffffff009097194: dbffff17  b	#0xfffffff009097100
0xfffffff009097198: 7f2303d5  pacibsp	
0xfffffff00909719c: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090971a0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0090971a4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0090971a8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0090971ac: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0090971b0: fd830191  add	x29, sp, #0x60
0xfffffff0090971b4: f40301aa  mov	x20, x1
0xfffffff0090971b8: f30300aa  mov	x19, x0
0xfffffff0090971bc: d7930090  adrp	x23, #0xfffffff00a30f000
0xfffffff0090971c0: f7420c91  add	x23, x23, #0x310
0xfffffff0090971c4: e8024039  ldrb	w8, [x23]
0xfffffff0090971c8: 551eff90  adrp	x21, #0xfffffff00745f000
0xfffffff0090971cc: b53a3491  add	x21, x21, #0xd0e
0xfffffff0090971d0: 361effd0  adrp	x22, #0xfffffff00745d000
0xfffffff0090971d4: d6423c91  add	x22, x22, #0xf10
0xfffffff0090971d8: 1f290071  cmp	w8, #0xa
0xfffffff0090971dc: a8000054  b.hi	#0xfffffff0090971f0
