; Candidate 4662
; ADRP+ADD at VM 0xfffffff0087bfb74 (fileoff 0x17bbb74): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bfaf4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087bfaf8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087bfafc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087bfb00: ff030191  add	sp, sp, #0x40
0xfffffff0087bfb04: ff0f5fd6  retab	
0xfffffff0087bfb08: 7f2303d5  pacibsp	
0xfffffff0087bfb0c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087bfb10: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087bfb14: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087bfb18: fd830091  add	x29, sp, #0x20
0xfffffff0087bfb1c: f40302aa  mov	x20, x2
0xfffffff0087bfb20: f30301aa  mov	x19, x1
0xfffffff0087bfb24: e10302aa  mov	x1, x2
0xfffffff0087bfb28: 32000094  bl	#0xfffffff0087bfbf0
0xfffffff0087bfb2c: 90060051  sub	w16, w20, #1
0xfffffff0087bfb30: 1f0e0071  cmp	w16, #3
0xfffffff0087bfb34: 88010054  b.hi	#0xfffffff0087bfb64
0xfffffff0087bfb38: 1f0e00f1  cmp	x16, #3
0xfffffff0087bfb3c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0087bfb40: 11000090  adrp	x17, #0xfffffff0087bf000
0xfffffff0087bfb44: 31822f91  add	x17, x17, #0xbe0
0xfffffff0087bfb48: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0087bfb4c: 11000010  adr	x17, #0xfffffff0087bfb4c
0xfffffff0087bfb50: 3002108b  add	x16, x17, x16
0xfffffff0087bfb54: 00021fd6  br	x16
0xfffffff0087bfb58: 9f2403d5  bti	j
0xfffffff0087bfb5c: 60024039  ldrb	w0, [x19]
0xfffffff0087bfb60: 1c000014  b	#0xfffffff0087bfbd0
0xfffffff0087bfb64: a80b8252  mov	w8, #0x105d
0xfffffff0087bfb68: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bfb6c: 299d2c91  add	x9, x9, #0xb27
0xfffffff0087bfb70: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bfb74: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfb78: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfb7c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfb80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfb84: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfb88: 63ac0391  add	x3, x3, #0xeb
0xfffffff0087bfb8c: 02008052  mov	w2, #0
0xfffffff0087bfb90: 68cded97  bl	#0xfffffff008333130
0xfffffff0087bfb94: 00008092  mov	x0, #-1
0xfffffff0087bfb98: 0e000014  b	#0xfffffff0087bfbd0
0xfffffff0087bfb9c: 9f2403d5  bti	j
0xfffffff0087bfba0: 60024079  ldrh	w0, [x19]
0xfffffff0087bfba4: 0b000014  b	#0xfffffff0087bfbd0
0xfffffff0087bfba8: 9f2403d5  bti	j
0xfffffff0087bfbac: 680a4039  ldrb	w8, [x19, #2]
0xfffffff0087bfbb0: 08bd70d3  lsl	x8, x8, #0x10
0xfffffff0087bfbb4: 69064039  ldrb	w9, [x19, #1]
0xfffffff0087bfbb8: 281d78b3  bfi	x8, x9, #8, #8
0xfffffff0087bfbbc: 69024039  ldrb	w9, [x19]
0xfffffff0087bfbc0: 000109aa  orr	x0, x8, x9
0xfffffff0087bfbc4: 03000014  b	#0xfffffff0087bfbd0
0xfffffff0087bfbc8: 9f2403d5  bti	j
0xfffffff0087bfbcc: 600240b9  ldr	w0, [x19]
0xfffffff0087bfbd0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087bfbd4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087bfbd8: ffc30091  add	sp, sp, #0x30
0xfffffff0087bfbdc: ff0f5fd6  retab	
0xfffffff0087bfbe0: 0c000000  udf	#0xc
0xfffffff0087bfbe4: 50000000  udf	#0x50
0xfffffff0087bfbe8: 5c000000  udf	#0x5c
0xfffffff0087bfbec: 7c000000  udf	#0x7c
0xfffffff0087bfbf0: 5f2403d5  bti	c
