; Candidate 1442
; ADRP+ADD at VM 0xfffffff0083e3aec (fileoff 0x13dfaec): page=0x1fecbd000 add_imm=0xe37

0xfffffff0083e3a6c: 559ae797  bl	#0xfffffff007dca3c0
0xfffffff0083e3a70: e00314aa  mov	x0, x20
0xfffffff0083e3a74: e10315aa  mov	x1, x21
0xfffffff0083e3a78: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0083e3a7c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0083e3a80: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0083e3a84: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0083e3a88: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0083e3a8c: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0083e3a90: ff030291  add	sp, sp, #0x80
0xfffffff0083e3a94: ff2303d5  autibsp	
0xfffffff0083e3a98: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0083e3a9c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0083e3aa4
0xfffffff0083e3aa0: 208e38d4  brk	#0xc471
0xfffffff0083e3aa4: 6f51e717  b	#0xfffffff007db8060
0xfffffff0083e3aa8: f00240f9  ldr	x16, [x23]
0xfffffff0083e3aac: f10317aa  mov	x17, x23
0xfffffff0083e3ab0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e3ab4: 301ac1da  autda	x16, x17
0xfffffff0083e3ab8: 11b280d2  mov	x17, #0x590
0xfffffff0083e3abc: 1002118b  add	x16, x16, x17
0xfffffff0083e3ac0: 080240f9  ldr	x8, [x16]
0xfffffff0083e3ac4: e90310aa  mov	x9, x16
0xfffffff0083e3ac8: e00317aa  mov	x0, x23
0xfffffff0083e3acc: f10309aa  mov	x17, x9
0xfffffff0083e3ad0: 513df4f2  movk	x17, #0xa1ea, lsl #48
0xfffffff0083e3ad4: 11093fd7  blraa	x8, x17
0xfffffff0083e3ad8: 68268052  mov	w8, #0x133
0xfffffff0083e3adc: e965ffb0  adrp	x9, #0xfffffff0070a0000
0xfffffff0083e3ae0: 29113891  add	x9, x9, #0xe04
0xfffffff0083e3ae4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0083e3ae8: e00300f9  str	x0, [sp]
0xfffffff0083e3aec: e065ffb0  adrp	x0, #0xfffffff0070a0000
0xfffffff0083e3af0: 00dc3891  add	x0, x0, #0xe37
0xfffffff0083e3af4: 86c20294  bl	#0xfffffff00849450c
0xfffffff0083e3af8: 7f2303d5  pacibsp	
0xfffffff0083e3afc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083e3b00: fd030091  mov	x29, sp
0xfffffff0083e3b04: e165ffb0  adrp	x1, #0xfffffff0070a0000
0xfffffff0083e3b08: 21b03991  add	x1, x1, #0xe6c
0xfffffff0083e3b0c: a2f100d0  adrp	x2, #0xfffffff00a219000
0xfffffff0083e3b10: 42001a91  add	x2, x2, #0x680
0xfffffff0083e3b14: 03178052  mov	w3, #0xb8
0xfffffff0083e3b18: 0800fc97  bl	#0xfffffff0082e3b38
0xfffffff0083e3b1c: b0aaffb0  adrp	x16, #0xfffffff007938000
0xfffffff0083e3b20: 10422691  add	x16, x16, #0x990
0xfffffff0083e3b24: 10420091  add	x16, x16, #0x10
0xfffffff0083e3b28: f10300aa  mov	x17, x0
0xfffffff0083e3b2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e3b30: 300ac1da  pacda	x16, x17
0xfffffff0083e3b34: 100000f9  str	x16, [x0]
0xfffffff0083e3b38: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083e3b3c: ff0f5fd6  retab	
0xfffffff0083e3b40: 5f2403d5  bti	c
0xfffffff0083e3b44: 28008052  mov	w8, #1
0xfffffff0083e3b48: 080800b9  str	w8, [x0, #8]
0xfffffff0083e3b4c: b0aaffb0  adrp	x16, #0xfffffff007938000
0xfffffff0083e3b50: 10420e91  add	x16, x16, #0x390
0xfffffff0083e3b54: 10420091  add	x16, x16, #0x10
0xfffffff0083e3b58: f10300aa  mov	x17, x0
0xfffffff0083e3b5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e3b60: 300ac1da  pacda	x16, x17
0xfffffff0083e3b64: 100000f9  str	x16, [x0]
0xfffffff0083e3b68: c0035fd6  ret	
