; Candidate 16508
; ADRP+ADD at VM 0xfffffff009ec92d8 (fileoff 0x2ec52d8): page=0x1fd97b000 add_imm=0xd37

0xfffffff009ec9258: 9bd9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec925c: 16008052  mov	w22, #0
0xfffffff009ec9260: e00313aa  mov	x0, x19
0xfffffff009ec9264: c61e0194  bl	#0xfffffff009f10d7c
0xfffffff009ec9268: 1f0c0071  cmp	w0, #3
0xfffffff009ec926c: 81000054  b.ne	#0xfffffff009ec927c
0xfffffff009ec9270: e00313aa  mov	x0, x19
0xfffffff009ec9274: e10314aa  mov	x1, x20
0xfffffff009ec9278: 71940094  bl	#0xfffffff009eee43c
0xfffffff009ec927c: e00314aa  mov	x0, x20
0xfffffff009ec9280: 87630094  bl	#0xfffffff009ee209c
0xfffffff009ec9284: 1b010034  cbz	w27, #0xfffffff009ec92a4
0xfffffff009ec9288: a4035af8  ldur	x4, [x29, #-0x60]
0xfffffff009ec928c: e00313aa  mov	x0, x19
0xfffffff009ec9290: 41008052  mov	w1, #2
0xfffffff009ec9294: e20315aa  mov	x2, x21
0xfffffff009ec9298: 030080d2  mov	x3, #0
0xfffffff009ec929c: 05008052  mov	w5, #0
0xfffffff009ec92a0: 55a50094  bl	#0xfffffff009ef27f4
0xfffffff009ec92a4: e00316aa  mov	x0, x22
0xfffffff009ec92a8: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff009ec92ac: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff009ec92b0: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff009ec92b4: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff009ec92b8: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff009ec92bc: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff009ec92c0: ff430591  add	sp, sp, #0x150
0xfffffff009ec92c4: ff0f5fd6  retab	
0xfffffff009ec92c8: c8cbfef0  adrp	x8, #0xfffffff007844000
0xfffffff009ec92cc: 08353691  add	x8, x8, #0xd8d
0xfffffff009ec92d0: 89348052  mov	w9, #0x1a4
0xfffffff009ec92d4: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec92d8: c0cbfef0  adrp	x0, #0xfffffff007844000
0xfffffff009ec92dc: 00dc3491  add	x0, x0, #0xd37
0xfffffff009ec92e0: 8b2c9797  bl	#0xfffffff00849450c
0xfffffff009ec92e4: 5f2403d5  bti	c
0xfffffff009ec92e8: 3f100071  cmp	w1, #4
0xfffffff009ec92ec: a2000054  b.hs	#0xfffffff009ec9300
0xfffffff009ec92f0: 08008052  mov	w8, #0
0xfffffff009ec92f4: 00008052  mov	w0, #0
0xfffffff009ec92f8: 68000039  strb	w8, [x3]
0xfffffff009ec92fc: c0035fd6  ret	
0xfffffff009ec9300: 09004079  ldrh	w9, [x0]
0xfffffff009ec9304: c9011037  tbnz	w9, #2, #0xfffffff009ec933c
0xfffffff009ec9308: 08008052  mov	w8, #0
0xfffffff009ec930c: 29050012  and	w9, w9, #3
0xfffffff009ec9310: 3f050071  cmp	w9, #1
0xfffffff009ec9314: 01ffff54  b.ne	#0xfffffff009ec92f4
0xfffffff009ec9318: 3fd00071  cmp	w1, #0x34
0xfffffff009ec931c: c1feff54  b.ne	#0xfffffff009ec92f4
0xfffffff009ec9320: 0040c03c  ldur	q0, [x0, #4]
0xfffffff009ec9324: 0140c13c  ldur	q1, [x0, #0x14]
0xfffffff009ec9328: 0240c23c  ldur	q2, [x0, #0x24]
0xfffffff009ec932c: 418800ad  stp	q1, q2, [x2, #0x10]
0xfffffff009ec9330: 4000803d  str	q0, [x2]
0xfffffff009ec9334: 28008052  mov	w8, #1
0xfffffff009ec9338: efffff17  b	#0xfffffff009ec92f4
0xfffffff009ec933c: 20008052  mov	w0, #1
0xfffffff009ec9340: c0035fd6  ret	
0xfffffff009ec9344: 7f2303d5  pacibsp	
0xfffffff009ec9348: ff4304d1  sub	sp, sp, #0x110
0xfffffff009ec934c: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff009ec9350: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff009ec9354: f85f0da9  stp	x24, x23, [sp, #0xd0]
