; Candidate 12168
; ADRP+ADD at VM 0xfffffff009046dcc (fileoff 0x2042dcc): page=0x1fe402000 add_imm=0xd00

0xfffffff009046d4c: 681a0034  cbz	w8, #0xfffffff009047098
0xfffffff009046d50: e00313aa  mov	x0, x19
0xfffffff009046d54: e4020094  bl	#0xfffffff0090478e4
0xfffffff009046d58: e00313aa  mov	x0, x19
0xfffffff009046d5c: 21008052  mov	w1, #1
0xfffffff009046d60: 57faff97  bl	#0xfffffff0090456bc
0xfffffff009046d64: c0210034  cbz	w0, #0xfffffff00904719c
0xfffffff009046d68: 087c4093  sxtw	x8, w0
0xfffffff009046d6c: a9fa8252  mov	w9, #0x17d5
0xfffffff009046d70: 6c020014  b	#0xfffffff009047720
0xfffffff009046d74: 9f2403d5  bti	j
0xfffffff009046d78: 68034039  ldrb	w8, [x27]
0xfffffff009046d7c: 281a0034  cbz	w8, #0xfffffff0090470c0
0xfffffff009046d80: e00313aa  mov	x0, x19
0xfffffff009046d84: d8020094  bl	#0xfffffff0090478e4
0xfffffff009046d88: e00313aa  mov	x0, x19
0xfffffff009046d8c: 21008052  mov	w1, #1
0xfffffff009046d90: 4bfaff97  bl	#0xfffffff0090456bc
0xfffffff009046d94: 40200034  cbz	w0, #0xfffffff00904719c
0xfffffff009046d98: 087c4093  sxtw	x8, w0
0xfffffff009046d9c: e9f68252  mov	w9, #0x17b7
0xfffffff009046da0: 60020014  b	#0xfffffff009047720
0xfffffff009046da4: 9f2403d5  bti	j
0xfffffff009046da8: 2920ffb0  adrp	x9, #0xfffffff00744b000
0xfffffff009046dac: 291d1f91  add	x9, x9, #0x7c7
0xfffffff009046db0: 04000014  b	#0xfffffff009046dc0
0xfffffff009046db4: 9f2403d5  bti	j
0xfffffff009046db8: 2920ffb0  adrp	x9, #0xfffffff00744b000
0xfffffff009046dbc: 29293391  add	x9, x9, #0xcca
0xfffffff009046dc0: 9f2403d5  bti	j
0xfffffff009046dc4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009046dc8: f90300f9  str	x25, [sp]
0xfffffff009046dcc: 0020ffd0  adrp	x0, #0xfffffff007448000
0xfffffff009046dd0: 00003491  add	x0, x0, #0xd00
0xfffffff009046dd4: 9340cc97  bl	#0xfffffff008357020
0xfffffff009046dd8: 68fe8252  mov	w8, #0x17f3
0xfffffff009046ddc: 09000014  b	#0xfffffff009046e00
0xfffffff009046de0: 2920ffb0  adrp	x9, #0xfffffff00744b000
0xfffffff009046de4: 29d51891  add	x9, x9, #0x635
0xfffffff009046de8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009046dec: f90300f9  str	x25, [sp]
0xfffffff009046df0: 0020ffd0  adrp	x0, #0xfffffff007448000
0xfffffff009046df4: 00003491  add	x0, x0, #0xd00
0xfffffff009046df8: 8a40cc97  bl	#0xfffffff008357020
0xfffffff009046dfc: 88fd8252  mov	w8, #0x17ec
0xfffffff009046e00: e91ffff0  adrp	x9, #0xfffffff007445000
0xfffffff009046e04: 29953491  add	x9, x9, #0xd25
0xfffffff009046e08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009046e0c: e81ffff0  adrp	x8, #0xfffffff007445000
0xfffffff009046e10: 08913491  add	x8, x8, #0xd24
0xfffffff009046e14: 0920ffd0  adrp	x9, #0xfffffff007448000
0xfffffff009046e18: 29752d91  add	x9, x9, #0xb5d
0xfffffff009046e1c: ff2301a9  stp	xzr, x8, [sp, #0x10]
0xfffffff009046e20: f92700a9  stp	x25, x9, [sp]
0xfffffff009046e24: e01ffff0  adrp	x0, #0xfffffff007445000
0xfffffff009046e28: 00f03291  add	x0, x0, #0xcbc
0xfffffff009046e2c: 7d40cc97  bl	#0xfffffff008357020
0xfffffff009046e30: 7bf20791  add	x27, x19, #0x1fc
0xfffffff009046e34: 7f030039  strb	wzr, [x27]
0xfffffff009046e38: dc000014  b	#0xfffffff0090471a8
0xfffffff009046e3c: e00313aa  mov	x0, x19
0xfffffff009046e40: 13040094  bl	#0xfffffff009047e8c
0xfffffff009046e44: 28008052  mov	w8, #1
0xfffffff009046e48: 68160c39  strb	w8, [x19, #0x305]
