; Candidate 4672
; ADRP+ADD at VM 0xfffffff0087c1ff4 (fileoff 0x17bdff4): page=0x1fe970000 add_imm=0xd90

0xfffffff0087c1f74: c9010034  cbz	w9, #0xfffffff0087c1fac
0xfffffff0087c1f78: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0087c1f7c: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff0087c1f80: 29010a4b  sub	w9, w9, w10
0xfffffff0087c1f84: 6a2e40b9  ldr	w10, [x19, #0x2c]
0xfffffff0087c1f88: ea020a4b  sub	w10, w23, w10
0xfffffff0087c1f8c: 4a1d0011  add	w10, w10, #7
0xfffffff0087c1f90: 290d4a0b  add	w9, w9, w10, lsr #3
0xfffffff0087c1f94: c2000014  b	#0xfffffff0087c229c
0xfffffff0087c1f98: 0a0080d2  mov	x10, #0
0xfffffff0087c1f9c: 17008052  mov	w23, #0
0xfffffff0087c1fa0: 794cfff0  adrp	x25, #0xfffffff007150000
0xfffffff0087c1fa4: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c1fa8: d2060014  b	#0xfffffff0087c3af0
0xfffffff0087c1fac: 691e18fd  str	d9, [x19, #0x3038]
0xfffffff0087c1fb0: 099940b9  ldr	w9, [x8, #0x98]
0xfffffff0087c1fb4: 3f1d0071  cmp	w9, #7
0xfffffff0087c1fb8: 010e0054  b.ne	#0xfffffff0087c2178
0xfffffff0087c1fbc: 68caafb9  ldrsw	x8, [x19, #0x2fc8]
0xfffffff0087c1fc0: 690e088b  add	x9, x19, x8, lsl #3
0xfffffff0087c1fc4: 2ae957f9  ldr	x10, [x9, #0x2fd0]
0xfffffff0087c1fc8: 6afa17f9  str	x10, [x19, #0x2ff0]
0xfffffff0087c1fcc: 6aa67cb9  ldr	w10, [x19, #0x3ca4]
0xfffffff0087c1fd0: 8b008052  mov	w11, #4
0xfffffff0087c1fd4: 0b01a072  movk	w11, #8, lsl #16
0xfffffff0087c1fd8: 7f012a6a  bics	wzr, w11, w10
0xfffffff0087c1fdc: e10f0054  b.ne	#0xfffffff0087c21d8
0xfffffff0087c1fe0: 0afa8552  mov	w10, #0x2fd0
0xfffffff0087c1fe4: 29010a8b  add	x9, x9, x10
0xfffffff0087c1fe8: 290140f9  ldr	x9, [x9]
0xfffffff0087c1fec: 290140f9  ldr	x9, [x9]
0xfffffff0087c1ff0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c1ff4: 804bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087c1ff8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c1ffc: e191ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2000: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2004: 02008052  mov	w2, #0
0xfffffff0087c2008: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c200c: 638c2391  add	x3, x3, #0x8e3
0xfffffff0087c2010: 48c4ed97  bl	#0xfffffff008333130
0xfffffff0087c2014: 71000014  b	#0xfffffff0087c21d8
0xfffffff0087c2018: e00313aa  mov	x0, x19
0xfffffff0087c201c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2020: 21542f91  add	x1, x1, #0xbd5
0xfffffff0087c2024: 02018052  mov	w2, #8
0xfffffff0087c2028: a6e4ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c202c: 604630b9  str	w0, [x19, #0x3044]
0xfffffff0087c2030: 1f000471  cmp	w0, #0x100
0xfffffff0087c2034: 794cffd0  adrp	x25, #0xfffffff007150000
0xfffffff0087c2038: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c203c: e32a0054  b.lo	#0xfffffff0087c2598
0xfffffff0087c2040: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2044: 081d2f91  add	x8, x8, #0xbc7
0xfffffff0087c2048: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c204c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2050: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2054: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2058: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c205c: 02008052  mov	w2, #0
0xfffffff0087c2060: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2064: 633c3b91  add	x3, x3, #0xecf
0xfffffff0087c2068: 32c4ed97  bl	#0xfffffff008333130
0xfffffff0087c206c: 5e010014  b	#0xfffffff0087c25e4
0xfffffff0087c2070: 28ff60d3  lsr	x8, x25, #0x20
