; Candidate 2108
; ADRP+ADD at VM 0xfffffff00855a06c (fileoff 0x155606c): page=0x1feb87000 add_imm=0xe39

0xfffffff008559fec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008559ff0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008559ff4: ff2303d5  autibsp	
0xfffffff008559ff8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008559ffc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00855a004
0xfffffff00855a000: 208e38d4  brk	#0xc471
0xfffffff00855a004: 5270fe17  b	#0xfffffff0084f614c
0xfffffff00855a008: 5f2403d5  bti	c
0xfffffff00855a00c: 000080d2  mov	x0, #0
0xfffffff00855a010: c0035fd6  ret	
0xfffffff00855a014: 5f2403d5  bti	c
0xfffffff00855a018: b729f617  b	#0xfffffff0082e46f4
0xfffffff00855a01c: 5f2403d5  bti	c
0xfffffff00855a020: b529f617  b	#0xfffffff0082e46f4
0xfffffff00855a024: 7f2303d5  pacibsp	
0xfffffff00855a028: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855a02c: fd030091  mov	x29, sp
0xfffffff00855a030: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a034: 00603791  add	x0, x0, #0xdd8
0xfffffff00855a038: 803cf797  bl	#0xfffffff008329238
0xfffffff00855a03c: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a040: 00b503f9  str	x0, [x8, #0x768]
0xfffffff00855a044: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a048: 00083891  add	x0, x0, #0xe02
0xfffffff00855a04c: 7b3cf797  bl	#0xfffffff008329238
0xfffffff00855a050: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a054: 00b903f9  str	x0, [x8, #0x770]
0xfffffff00855a058: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a05c: 00883891  add	x0, x0, #0xe22
0xfffffff00855a060: 763cf797  bl	#0xfffffff008329238
0xfffffff00855a064: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a068: 00bd03f9  str	x0, [x8, #0x778]
0xfffffff00855a06c: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a070: 00e43891  add	x0, x0, #0xe39
0xfffffff00855a074: 713cf797  bl	#0xfffffff008329238
0xfffffff00855a078: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a07c: 00c103f9  str	x0, [x8, #0x780]
0xfffffff00855a080: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a084: 004c3991  add	x0, x0, #0xe53
0xfffffff00855a088: 6c3cf797  bl	#0xfffffff008329238
0xfffffff00855a08c: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a090: 00c503f9  str	x0, [x8, #0x788]
0xfffffff00855a094: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a098: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00855a09c: 673cf797  bl	#0xfffffff008329238
0xfffffff00855a0a0: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a0a4: 00c903f9  str	x0, [x8, #0x790]
0xfffffff00855a0a8: e0eb0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855a0ac: 00c01f91  add	x0, x0, #0x7f0
0xfffffff00855a0b0: 215cfff0  adrp	x1, #0xfffffff0070e1000
0xfffffff00855a0b4: 21581e91  add	x1, x1, #0x796
0xfffffff00855a0b8: e2eb0090  adrp	x2, #0xfffffff00a2d6000
0xfffffff00855a0bc: 42601e91  add	x2, x2, #0x798
0xfffffff00855a0c0: 03268052  mov	w3, #0x130
0xfffffff00855a0c4: 9d26f697  bl	#0xfffffff0082e3b38
0xfffffff00855a0c8: 30a2ffd0  adrp	x16, #0xfffffff0079a0000
0xfffffff00855a0cc: 10a20391  add	x16, x16, #0xe8
0xfffffff00855a0d0: 10420091  add	x16, x16, #0x10
0xfffffff00855a0d4: f10300aa  mov	x17, x0
0xfffffff00855a0d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00855a0dc: 300ac1da  pacda	x16, x17
0xfffffff00855a0e0: 100000f9  str	x16, [x0]
0xfffffff00855a0e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00855a0e8: ff0f5fd6  retab	
