; Candidate 6145
; ADRP+ADD at VM 0xfffffff008817358 (fileoff 0x1813358): page=0x1fe9d2000 add_imm=0xe80

0xfffffff0088172d8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088172dc: 880e8052  mov	w8, #0x74
0xfffffff0088172e0: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff0088172e4: 00143391  add	x0, x0, #0xcc5
0xfffffff0088172e8: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088172ec: 5d80d697  bl	#0xfffffff007db7460
0xfffffff0088172f0: 330400b5  cbnz	x19, #0xfffffff008817374
0xfffffff0088172f4: 5c000014  b	#0xfffffff008817464
0xfffffff0088172f8: ad730294  bl	#0xfffffff0088b41ac
0xfffffff0088172fc: fb0300aa  mov	x27, x0
0xfffffff008817300: c0008052  mov	w0, #6
0xfffffff008817304: 53910194  bl	#0xfffffff00887b850
0xfffffff008817308: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00881730c: e83f00f9  str	x8, [sp, #0x78]
0xfffffff008817310: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff008817314: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008817318: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff00881731c: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817320: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817324: e8031aaa  mov	x8, x26
0xfffffff008817328: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff00881732c: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff008817330: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff008817334: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008817338: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff00881733c: 080d3491  add	x8, x8, #0xd03
0xfffffff008817340: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008817344: 880e8052  mov	w8, #0x74
0xfffffff008817348: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff00881734c: 63dc2a91  add	x3, x3, #0xab7
0xfffffff008817350: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008817354: fb0300f9  str	x27, [sp]
0xfffffff008817358: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881735c: 00003a91  add	x0, x0, #0xe80
0xfffffff008817360: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008817364: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008817368: 02008052  mov	w2, #0
0xfffffff00881736c: 716fec97  bl	#0xfffffff008333130
0xfffffff008817370: b30700b4  cbz	x19, #0xfffffff008817464
0xfffffff008817374: 940700b4  cbz	x20, #0xfffffff008817464
0xfffffff008817378: 960a00b4  cbz	x22, #0xfffffff0088174c8
0xfffffff00881737c: 770a00b4  cbz	x23, #0xfffffff0088174c8
0xfffffff008817380: 580a00b4  cbz	x24, #0xfffffff0088174c8
0xfffffff008817384: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817388: 080a00b4  cbz	x8, #0xfffffff0088174c8
0xfffffff00881738c: a08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008817390: 00601191  add	x0, x0, #0x458
0xfffffff008817394: 58fcec97  bl	#0xfffffff0083564f4
0xfffffff008817398: c01000b4  cbz	x0, #0xfffffff0088175b0
0xfffffff00881739c: fb0300aa  mov	x27, x0
0xfffffff0088173a0: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0088173a4: e80b00b9  str	w8, [sp, #8]
0xfffffff0088173a8: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088173ac: fa230029  stp	w26, w8, [sp]
0xfffffff0088173b0: e10313aa  mov	x1, x19
0xfffffff0088173b4: e20314aa  mov	x2, x20
0xfffffff0088173b8: e30315aa  mov	x3, x21
0xfffffff0088173bc: e40316aa  mov	x4, x22
0xfffffff0088173c0: e50317aa  mov	x5, x23
0xfffffff0088173c4: e60318aa  mov	x6, x24
0xfffffff0088173c8: e70319aa  mov	x7, x25
0xfffffff0088173cc: 5afbff97  bl	#0xfffffff008816134
0xfffffff0088173d0: a0210034  cbz	w0, #0xfffffff008817804
0xfffffff0088173d4: fc0300aa  mov	x28, x0
