; Candidate 16201
; ADRP+ADD at VM 0xfffffff009e2ff90 (fileoff 0x2e2bf90): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2ff10: ff0700f9  str	xzr, [sp, #8]
0xfffffff009e2ff14: 802640f9  ldr	x0, [x20, #0x48]
0xfffffff009e2ff18: 824240b9  ldr	w2, [x20, #0x40]
0xfffffff009e2ff1c: e10315aa  mov	x1, x21
0xfffffff009e2ff20: 27cfff97  bl	#0xfffffff009e23bbc
0xfffffff009e2ff24: f40300aa  mov	x20, x0
0xfffffff009e2ff28: 200300b4  cbz	x0, #0xfffffff009e2ff8c
0xfffffff009e2ff2c: e00314aa  mov	x0, x20
0xfffffff009e2ff30: b4b57c97  bl	#0xfffffff007d5d600
0xfffffff009e2ff34: e30300aa  mov	x3, x0
0xfffffff009e2ff38: e0230091  add	x0, sp, #8
0xfffffff009e2ff3c: e10313aa  mov	x1, x19
0xfffffff009e2ff40: e20314aa  mov	x2, x20
0xfffffff009e2ff44: 04008052  mov	w4, #0
0xfffffff009e2ff48: 24d7ff97  bl	#0xfffffff009e25bd8
0xfffffff009e2ff4c: a0010035  cbnz	w0, #0xfffffff009e2ff80
0xfffffff009e2ff50: f60740f9  ldr	x22, [sp, #8]
0xfffffff009e2ff54: e00316aa  mov	x0, x22
0xfffffff009e2ff58: e10314aa  mov	x1, x20
0xfffffff009e2ff5c: 02008052  mov	w2, #0
0xfffffff009e2ff60: 0fd9ff97  bl	#0xfffffff009e2639c
0xfffffff009e2ff64: e0000035  cbnz	w0, #0xfffffff009e2ff80
0xfffffff009e2ff68: 82cffe90  adrp	x2, #0xfffffff00781f000
0xfffffff009e2ff6c: 42fc3091  add	x2, x2, #0xc3f
0xfffffff009e2ff70: e00316aa  mov	x0, x22
0xfffffff009e2ff74: e10313aa  mov	x1, x19
0xfffffff009e2ff78: c3d7ff97  bl	#0xfffffff009e25e84
0xfffffff009e2ff7c: c0080034  cbz	w0, #0xfffffff009e30094
0xfffffff009e2ff80: f70300aa  mov	x23, x0
0xfffffff009e2ff84: 160080d2  mov	x22, #0
0xfffffff009e2ff88: 35000014  b	#0xfffffff009e3005c
0xfffffff009e2ff8c: f50300f9  str	x21, [sp]
0xfffffff009e2ff90: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2ff94: 00003891  add	x0, x0, #0xe00
0xfffffff009e2ff98: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2ff9c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2ffa0: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2ffa4: 63341191  add	x3, x3, #0x44d
0xfffffff009e2ffa8: 02008052  mov	w2, #0
0xfffffff009e2ffac: 610c9497  bl	#0xfffffff008333130
0xfffffff009e2ffb0: e00315aa  mov	x0, x21
0xfffffff009e2ffb4: 93b57c97  bl	#0xfffffff007d5d600
0xfffffff009e2ffb8: f80300aa  mov	x24, x0
0xfffffff009e2ffbc: 17080091  add	x23, x0, #2
0xfffffff009e2ffc0: e00317aa  mov	x0, x23
0xfffffff009e2ffc4: cb93ff97  bl	#0xfffffff009e14ef0
0xfffffff009e2ffc8: f60300aa  mov	x22, x0
0xfffffff009e2ffcc: 600400b4  cbz	x0, #0xfffffff009e30058
0xfffffff009e2ffd0: e00316aa  mov	x0, x22
0xfffffff009e2ffd4: e10315aa  mov	x1, x21
0xfffffff009e2ffd8: e20318aa  mov	x2, x24
0xfffffff009e2ffdc: e30317aa  mov	x3, x23
0xfffffff009e2ffe0: 1cbf8197  bl	#0xfffffff007e9fc50
0xfffffff009e2ffe4: c8058052  mov	w8, #0x2e
0xfffffff009e2ffe8: c86a3878  strh	w8, [x22, x24]
0xfffffff009e2ffec: e0230091  add	x0, sp, #8
0xfffffff009e2fff0: e10313aa  mov	x1, x19
0xfffffff009e2fff4: 22008052  mov	w2, #1
0xfffffff009e2fff8: e30315aa  mov	x3, x21
0xfffffff009e2fffc: 84008052  mov	w4, #4
0xfffffff009e30000: 57d7ff97  bl	#0xfffffff009e25d5c
0xfffffff009e30004: 60020035  cbnz	w0, #0xfffffff009e30050
0xfffffff009e30008: e00740f9  ldr	x0, [sp, #8]
0xfffffff009e3000c: 62cffef0  adrp	x2, #0xfffffff00781f000
