; Candidate 10431
; ADRP+ADD at VM 0xfffffff008d46484 (fileoff 0x1d42484): page=0x1fed8c000 add_imm=0xea8

0xfffffff008d46404: 04438052  mov	w4, #0x218
0xfffffff008d46408: 00ddff97  bl	#0xfffffff008d3d808
0xfffffff008d4640c: 406cfff0  adrp	x0, #0xfffffff007ad1000
0xfffffff008d46410: 00e02f91  add	x0, x0, #0xbf8
0xfffffff008d46414: e10313aa  mov	x1, x19
0xfffffff008d46418: bd40d897  bl	#0xfffffff00835670c
0xfffffff008d4641c: 52010014  b	#0xfffffff008d46964
0xfffffff008d46420: 10a10f51  sub	w16, w8, #0x3e8
0xfffffff008d46424: 1f120071  cmp	w16, #4
0xfffffff008d46428: 88030054  b.hi	#0xfffffff008d46498
0xfffffff008d4642c: 1f1200f1  cmp	x16, #4
0xfffffff008d46430: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d46434: 11000090  adrp	x17, #0xfffffff008d46000
0xfffffff008d46438: 31422a91  add	x17, x17, #0xa90
0xfffffff008d4643c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d46440: 11000010  adr	x17, #0xfffffff008d46440
0xfffffff008d46444: 3002108b  add	x16, x17, x16
0xfffffff008d46448: 00021fd6  br	x16
0xfffffff008d4644c: 9f2403d5  bti	j
0xfffffff008d46450: e00313aa  mov	x0, x19
0xfffffff008d46454: 01118052  mov	w1, #0x88
0xfffffff008d46458: 6ddcff97  bl	#0xfffffff008d3d60c
0xfffffff008d4645c: 0032fff0  adrp	x0, #0xfffffff007389000
0xfffffff008d46460: 00e00c91  add	x0, x0, #0x338
0xfffffff008d46464: 0332ffd0  adrp	x3, #0xfffffff007388000
0xfffffff008d46468: 631c1991  add	x3, x3, #0x647
0xfffffff008d4646c: 0532fff0  adrp	x5, #0xfffffff007389000
0xfffffff008d46470: a52c1691  add	x5, x5, #0x58b
0xfffffff008d46474: e10313aa  mov	x1, x19
0xfffffff008d46478: 02118052  mov	w2, #0x88
0xfffffff008d4647c: e44a8052  mov	w4, #0x257
0xfffffff008d46480: e2dcff97  bl	#0xfffffff008d3d808
0xfffffff008d46484: 606cff90  adrp	x0, #0xfffffff007ad2000
0xfffffff008d46488: 00a03a91  add	x0, x0, #0xea8
0xfffffff008d4648c: e10313aa  mov	x1, x19
0xfffffff008d46490: 02118052  mov	w2, #0x88
0xfffffff008d46494: 33010014  b	#0xfffffff008d46960
0xfffffff008d46498: 9f2403d5  bti	j
0xfffffff008d4649c: 684d8052  mov	w8, #0x26b
0xfffffff008d464a0: 0932ffd0  adrp	x9, #0xfffffff007388000
0xfffffff008d464a4: 291d1991  add	x9, x9, #0x647
0xfffffff008d464a8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008d464ac: 0832fff0  adrp	x8, #0xfffffff007389000
0xfffffff008d464b0: 08811c91  add	x8, x8, #0x720
0xfffffff008d464b4: 0a32ff90  adrp	x10, #0xfffffff007386000
0xfffffff008d464b8: 4ae90691  add	x10, x10, #0x1ba
0xfffffff008d464bc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008d464c0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008d464c4: 0032fff0  adrp	x0, #0xfffffff007389000
0xfffffff008d464c8: 008c1b91  add	x0, x0, #0x6e3
0xfffffff008d464cc: d542d897  bl	#0xfffffff008357020
0xfffffff008d464d0: 53008012  mov	w19, #-3
0xfffffff008d464d4: c8088052  mov	w8, #0x46
0xfffffff008d464d8: 25010014  b	#0xfffffff008d4696c
0xfffffff008d464dc: 9f2403d5  bti	j
0xfffffff008d464e0: e00313aa  mov	x0, x19
0xfffffff008d464e4: 81028052  mov	w1, #0x14
0xfffffff008d464e8: 49dcff97  bl	#0xfffffff008d3d60c
0xfffffff008d464ec: 0032ffd0  adrp	x0, #0xfffffff007388000
0xfffffff008d464f0: 00103891  add	x0, x0, #0xe04
0xfffffff008d464f4: 0332ffd0  adrp	x3, #0xfffffff007388000
0xfffffff008d464f8: 631c1991  add	x3, x3, #0x647
0xfffffff008d464fc: 0532fff0  adrp	x5, #0xfffffff007389000
0xfffffff008d46500: a52c1691  add	x5, x5, #0x58b
