; Candidate 3465
; ADRP+ADD at VM 0xfffffff0087408bc (fileoff 0x173c8bc): page=0x1fe9f1000 add_imm=0xd90

0xfffffff00874083c: a0030036  tbz	w0, #0, #0xfffffff0087408b0
0xfffffff008740840: e00317aa  mov	x0, x23
0xfffffff008740844: e10316aa  mov	x1, x22
0xfffffff008740848: 6b400194  bl	#0xfffffff0087909f4
0xfffffff00874084c: 14008052  mov	w20, #0
0xfffffff008740850: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff008740854: 177936f8  str	x23, [x8, x22, lsl #3]
0xfffffff008740858: 68da41b9  ldr	w8, [x19, #0x1d8]
0xfffffff00874085c: 08050011  add	w8, w8, #1
0xfffffff008740860: 68da01b9  str	w8, [x19, #0x1d8]
0xfffffff008740864: b70200f9  str	x23, [x21]
0xfffffff008740868: adffff17  b	#0xfffffff00874071c
0xfffffff00874086c: 94021f32  orr	w20, w20, #2
0xfffffff008740870: a0ffff17  b	#0xfffffff0087406f0
0xfffffff008740874: a850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008740878: 08a52b91  add	x8, x8, #0xae9
0xfffffff00874087c: e80300f9  str	x8, [sp]
0xfffffff008740880: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008740884: 00403691  add	x0, x0, #0xd90
0xfffffff008740888: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874088c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008740890: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff008740894: 63bc2f91  add	x3, x3, #0xbef
0xfffffff008740898: 02008052  mov	w2, #0
0xfffffff00874089c: 25caef97  bl	#0xfffffff008333130
0xfffffff0087408a0: 60f258f9  ldr	x0, [x19, #0x31e0]
0xfffffff0087408a4: e10316aa  mov	x1, x22
0xfffffff0087408a8: 00ac0094  bl	#0xfffffff00876b8a8
0xfffffff0087408ac: 23000014  b	#0xfffffff008740938
0xfffffff0087408b0: a850fff0  adrp	x8, #0xfffffff007157000
0xfffffff0087408b4: 08a52b91  add	x8, x8, #0xae9
0xfffffff0087408b8: e80300f9  str	x8, [sp]
0xfffffff0087408bc: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087408c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087408c4: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087408c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087408cc: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff0087408d0: 63443091  add	x3, x3, #0xc11
0xfffffff0087408d4: 02008052  mov	w2, #0
0xfffffff0087408d8: 16caef97  bl	#0xfffffff008333130
0xfffffff0087408dc: 60f258f9  ldr	x0, [x19, #0x31e0]
0xfffffff0087408e0: e10316aa  mov	x1, x22
0xfffffff0087408e4: f1ab0094  bl	#0xfffffff00876b8a8
0xfffffff0087408e8: 000340f9  ldr	x0, [x24]
0xfffffff0087408ec: e10317aa  mov	x1, x23
0xfffffff0087408f0: e20316aa  mov	x2, x22
0xfffffff0087408f4: a0370094  bl	#0xfffffff00874e774
0xfffffff0087408f8: f00240f9  ldr	x16, [x23]
0xfffffff0087408fc: f10317aa  mov	x17, x23
0xfffffff008740900: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008740904: 301ac1da  autda	x16, x17
0xfffffff008740908: f10310aa  mov	x17, x16
0xfffffff00874090c: f147c1da  xpacd	x17
0xfffffff008740910: 1f0211eb  cmp	x16, x17
0xfffffff008740914: 40000054  b.eq	#0xfffffff00874091c
0xfffffff008740918: 408e38d4  brk	#0xc472
0xfffffff00874091c: 08a20d91  add	x8, x16, #0x368
0xfffffff008740920: 09b641f9  ldr	x9, [x16, #0x368]
0xfffffff008740924: e00317aa  mov	x0, x23
0xfffffff008740928: e10313aa  mov	x1, x19
0xfffffff00874092c: f10308aa  mov	x17, x8
0xfffffff008740930: 1163eef2  movk	x17, #0x7318, lsl #48
0xfffffff008740934: 31093fd7  blraa	x9, x17
0xfffffff008740938: f00240f9  ldr	x16, [x23]
