; Candidate 1433
; ADRP+ADD at VM 0xfffffff0083e0758 (fileoff 0x13dc758): page=0x1ff59f000 add_imm=0xd70

0xfffffff0083e06d8: e90310aa  mov	x9, x16
0xfffffff0083e06dc: e00314aa  mov	x0, x20
0xfffffff0083e06e0: f10309aa  mov	x17, x9
0xfffffff0083e06e4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0083e06e8: 11093fd7  blraa	x8, x17
0xfffffff0083e06ec: e00313aa  mov	x0, x19
0xfffffff0083e06f0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083e06f4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083e06f8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083e06fc: ff2303d5  autibsp	
0xfffffff0083e0700: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0083e0704: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0083e070c
0xfffffff0083e0708: 208e38d4  brk	#0xc471
0xfffffff0083e070c: d5eaff17  b	#0xfffffff0083db260
0xfffffff0083e0710: 5f2403d5  bti	c
0xfffffff0083e0714: 28008052  mov	w8, #1
0xfffffff0083e0718: 080800b9  str	w8, [x0, #8]
0xfffffff0083e071c: b0aaffd0  adrp	x16, #0xfffffff007936000
0xfffffff0083e0720: 10022891  add	x16, x16, #0xa00
0xfffffff0083e0724: 10420091  add	x16, x16, #0x10
0xfffffff0083e0728: f10300aa  mov	x17, x0
0xfffffff0083e072c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e0730: 300ac1da  pacda	x16, x17
0xfffffff0083e0734: 100000f9  str	x16, [x0]
0xfffffff0083e0738: c0035fd6  ret	
0xfffffff0083e073c: 5f2403d5  bti	c
0xfffffff0083e0740: 08008092  mov	x8, #-1
0xfffffff0083e0744: 080000f9  str	x8, [x0]
0xfffffff0083e0748: c0035fd6  ret	
0xfffffff0083e074c: 5f2403d5  bti	c
0xfffffff0083e0750: e20301aa  mov	x2, x1
0xfffffff0083e0754: e10300aa  mov	x1, x0
0xfffffff0083e0758: e0acfff0  adrp	x0, #0xfffffff00797f000
0xfffffff0083e075c: 00c03591  add	x0, x0, #0xd70
0xfffffff0083e0760: cf1bfc17  b	#0xfffffff0082e769c
0xfffffff0083e0764: 5f2403d5  bti	c
0xfffffff0083e0768: 48f30090  adrp	x8, #0xfffffff00a248000
0xfffffff0083e076c: 09e540f9  ldr	x9, [x8, #0x1c8]
0xfffffff0083e0770: 690000b4  cbz	x9, #0xfffffff0083e077c
0xfffffff0083e0774: 20008052  mov	w0, #1
0xfffffff0083e0778: c0035fd6  ret	
0xfffffff0083e077c: 00e500f9  str	x0, [x8, #0x1c8]
0xfffffff0083e0780: 20008052  mov	w0, #1
0xfffffff0083e0784: c0035fd6  ret	
0xfffffff0083e0788: 5f2403d5  bti	c
0xfffffff0083e078c: c0f100b0  adrp	x0, #0xfffffff00a219000
0xfffffff0083e0790: 00601291  add	x0, x0, #0x498
0xfffffff0083e0794: c0035fd6  ret	
0xfffffff0083e0798: 5f2403d5  bti	c
0xfffffff0083e079c: 200020d4  brk	#1
0xfffffff0083e07a0: 5f2403d5  bti	c
0xfffffff0083e07a4: 200020d4  brk	#1
0xfffffff0083e07a8: 5f2403d5  bti	c
0xfffffff0083e07ac: 000080d2  mov	x0, #0
0xfffffff0083e07b0: c0035fd6  ret	
0xfffffff0083e07b4: 7f2303d5  pacibsp	
0xfffffff0083e07b8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0083e07bc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0083e07c0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0083e07c4: fd830091  add	x29, sp, #0x20
0xfffffff0083e07c8: f30300aa  mov	x19, x0
0xfffffff0083e07cc: 080080d2  mov	x8, #0
0xfffffff0083e07d0: 50aaffd0  adrp	x16, #0xfffffff00792a000
0xfffffff0083e07d4: 10221f91  add	x16, x16, #0x7c8
