; Candidate 12694
; ADRP+ADD at VM 0xfffffff00911fcf0 (fileoff 0x211bcf0): page=0x11f5000 add_imm=0xe10

0xfffffff00911fc70: 88018052  mov	w8, #0xc
0xfffffff00911fc74: 08c801b9  str	w8, [x0, #0x1c8]
0xfffffff00911fc78: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911fc7c: ff0f5fd6  retab	
0xfffffff00911fc80: 5f2403d5  bti	c
0xfffffff00911fc84: 5ed1ff17  b	#0xfffffff0091141fc
0xfffffff00911fc88: 5f2403d5  bti	c
0xfffffff00911fc8c: 5cd1ff17  b	#0xfffffff0091141fc
0xfffffff00911fc90: 7f2303d5  pacibsp	
0xfffffff00911fc94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00911fc98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00911fc9c: fd430091  add	x29, sp, #0x10
0xfffffff00911fca0: f30300aa  mov	x19, x0
0xfffffff00911fca4: 56d1ff97  bl	#0xfffffff0091141fc
0xfffffff00911fca8: e051ffd0  adrp	x0, #0xfffffff007b5d000
0xfffffff00911fcac: 00e01191  add	x0, x0, #0x478
0xfffffff00911fcb0: e10313aa  mov	x1, x19
0xfffffff00911fcb4: 023a8052  mov	w2, #0x1d0
0xfffffff00911fcb8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00911fcbc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00911fcc0: ff2303d5  autibsp	
0xfffffff00911fcc4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00911fcc8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00911fcd0
0xfffffff00911fccc: 208e38d4  brk	#0xc471
0xfffffff00911fcd0: 731ec717  b	#0xfffffff0082e769c
0xfffffff00911fcd4: 5f2403d5  bti	c
0xfffffff00911fcd8: e20301aa  mov	x2, x1
0xfffffff00911fcdc: e10300aa  mov	x1, x0
0xfffffff00911fce0: e051ffd0  adrp	x0, #0xfffffff007b5d000
0xfffffff00911fce4: 00e01191  add	x0, x0, #0x478
0xfffffff00911fce8: 6d1ec717  b	#0xfffffff0082e769c
0xfffffff00911fcec: 5f2403d5  bti	c
0xfffffff00911fcf0: a08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff00911fcf4: 00403891  add	x0, x0, #0xe10
0xfffffff00911fcf8: c0035fd6  ret	
0xfffffff00911fcfc: 7f2303d5  pacibsp	
0xfffffff00911fd00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911fd04: fd030091  mov	x29, sp
0xfffffff00911fd08: c11affb0  adrp	x1, #0xfffffff007478000
0xfffffff00911fd0c: 21f83091  add	x1, x1, #0xc3e
0xfffffff00911fd10: a28f00b0  adrp	x2, #0xfffffff00a314000
0xfffffff00911fd14: 42a02e91  add	x2, x2, #0xba8
0xfffffff00911fd18: 033a8052  mov	w3, #0x1d0
0xfffffff00911fd1c: 870fc797  bl	#0xfffffff0082e3b38
0xfffffff00911fd20: d051ffd0  adrp	x16, #0xfffffff007b59000
0xfffffff00911fd24: 10c20191  add	x16, x16, #0x70
0xfffffff00911fd28: 10420091  add	x16, x16, #0x10
0xfffffff00911fd2c: f10300aa  mov	x17, x0
0xfffffff00911fd30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911fd34: 300ac1da  pacda	x16, x17
0xfffffff00911fd38: 100000f9  str	x16, [x0]
0xfffffff00911fd3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911fd40: ff0f5fd6  retab	
0xfffffff00911fd44: 7f2303d5  pacibsp	
0xfffffff00911fd48: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911fd4c: fd030091  mov	x29, sp
0xfffffff00911fd50: e051ffd0  adrp	x0, #0xfffffff007b5d000
0xfffffff00911fd54: 00e01191  add	x0, x0, #0x478
0xfffffff00911fd58: 013a8052  mov	w1, #0x1d0
0xfffffff00911fd5c: 371ec797  bl	#0xfffffff0082e7638
0xfffffff00911fd60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911fd64: ff2303d5  autibsp	
0xfffffff00911fd68: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00911fd6c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00911fd74
