; Candidate 13597
; ADRP+ADD at VM 0xfffffff0093adbbc (fileoff 0x23a9bbc): page=0x1fe155000 add_imm=0xd20

0xfffffff0093adb3c: 68520eb9  str	w8, [x19, #0xe50]
0xfffffff0093adb40: 947e00f0  adrp	x20, #0xfffffff00a380000
0xfffffff0093adb44: 94622b91  add	x20, x20, #0xad8
0xfffffff0093adb48: e00314aa  mov	x0, x20
0xfffffff0093adb4c: 83dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adb50: 700240f9  ldr	x16, [x19]
0xfffffff0093adb54: f10313aa  mov	x17, x19
0xfffffff0093adb58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adb5c: 301ac1da  autda	x16, x17
0xfffffff0093adb60: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093adb64: e90310aa  mov	x9, x16
0xfffffff0093adb68: e00313aa  mov	x0, x19
0xfffffff0093adb6c: f10309aa  mov	x17, x9
0xfffffff0093adb70: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093adb74: 11093fd7  blraa	x8, x17
0xfffffff0093adb78: 78dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adb7c: e00314aa  mov	x0, x20
0xfffffff0093adb80: 76dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adb84: f40300aa  mov	x20, x0
0xfffffff0093adb88: 700240f9  ldr	x16, [x19]
0xfffffff0093adb8c: f10313aa  mov	x17, x19
0xfffffff0093adb90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adb94: 301ac1da  autda	x16, x17
0xfffffff0093adb98: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093adb9c: e90310aa  mov	x9, x16
0xfffffff0093adba0: e00313aa  mov	x0, x19
0xfffffff0093adba4: f10309aa  mov	x17, x9
0xfffffff0093adba8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093adbac: 11093fd7  blraa	x8, x17
0xfffffff0093adbb0: 6adbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adbb4: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff0093adbb8: f40300f9  str	x20, [sp]
0xfffffff0093adbbc: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093adbc0: 00803491  add	x0, x0, #0xd20
0xfffffff0093adbc4: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093adbc8: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093adbcc: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093adbd0: 63341a91  add	x3, x3, #0x68d
0xfffffff0093adbd4: 42008052  mov	w2, #2
0xfffffff0093adbd8: 5615be97  bl	#0xfffffff008333130
0xfffffff0093adbdc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0093adbe0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0093adbe4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0093adbe8: ff430191  add	sp, sp, #0x50
0xfffffff0093adbec: ff0f5fd6  retab	
0xfffffff0093adbf0: 7f2303d5  pacibsp	
0xfffffff0093adbf4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0093adbf8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0093adbfc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0093adc00: fdc30091  add	x29, sp, #0x30
0xfffffff0093adc04: f30300aa  mov	x19, x0
0xfffffff0093adc08: 947e00f0  adrp	x20, #0xfffffff00a380000
0xfffffff0093adc0c: 94622b91  add	x20, x20, #0xad8
0xfffffff0093adc10: e00314aa  mov	x0, x20
0xfffffff0093adc14: 51dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adc18: 700240f9  ldr	x16, [x19]
0xfffffff0093adc1c: f10313aa  mov	x17, x19
0xfffffff0093adc20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adc24: 301ac1da  autda	x16, x17
0xfffffff0093adc28: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093adc2c: e90310aa  mov	x9, x16
0xfffffff0093adc30: e00313aa  mov	x0, x19
0xfffffff0093adc34: f10309aa  mov	x17, x9
0xfffffff0093adc38: 91fffff2  movk	x17, #0xfffc, lsl #48
