; Candidate 4830
; ADRP+ADD at VM 0xfffffff0087c8778 (fileoff 0x17c4778): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c86f8: 2852ffb0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c86fc: 08cd1991  add	x8, x8, #0x673
0xfffffff0087c8700: 49368052  mov	w9, #0x1b2
0xfffffff0087c8704: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087c8708: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c870c: 08b50b91  add	x8, x8, #0x2ed
0xfffffff0087c8710: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c8714: 68008052  mov	w8, #3
0xfffffff0087c8718: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c871c: f50300f9  str	x21, [sp]
0xfffffff0087c8720: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8724: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8728: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c872c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8730: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8734: 63282e91  add	x3, x3, #0xb8a
0xfffffff0087c8738: 02008052  mov	w2, #0
0xfffffff0087c873c: 7daaed97  bl	#0xfffffff008333130
0xfffffff0087c8740: 16000014  b	#0xfffffff0087c8798
0xfffffff0087c8744: 9aae0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8748: f30300aa  mov	x19, x0
0xfffffff0087c874c: 80008052  mov	w0, #4
0xfffffff0087c8750: 40cc0294  bl	#0xfffffff00887b850
0xfffffff0087c8754: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8758: 08691291  add	x8, x8, #0x49a
0xfffffff0087c875c: a93a8052  mov	w9, #0x1d5
0xfffffff0087c8760: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c8764: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8768: 08b50b91  add	x8, x8, #0x2ed
0xfffffff0087c876c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c8770: 68008052  mov	w8, #3
0xfffffff0087c8774: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c8778: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c877c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8780: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8784: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8788: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c878c: 63743291  add	x3, x3, #0xc9d
0xfffffff0087c8790: 02008052  mov	w2, #0
0xfffffff0087c8794: 67aaed97  bl	#0xfffffff008333130
0xfffffff0087c8798: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087c879c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087c87a0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087c87a4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087c87a8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087c87ac: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0087c87b0: ffc30291  add	sp, sp, #0xb0
0xfffffff0087c87b4: ff0f5fd6  retab	
0xfffffff0087c87b8: 7f2303d5  pacibsp	
0xfffffff0087c87bc: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087c87c0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087c87c4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087c87c8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087c87cc: fd830191  add	x29, sp, #0x60
0xfffffff0087c87d0: f30301aa  mov	x19, x1
0xfffffff0087c87d4: f40300aa  mov	x20, x0
0xfffffff0087c87d8: a00f8052  mov	w0, #0x7d
0xfffffff0087c87dc: e1008052  mov	w1, #7
0xfffffff0087c87e0: fccb0294  bl	#0xfffffff00887b7d0
0xfffffff0087c87e4: 00020034  cbz	w0, #0xfffffff0087c8824
0xfffffff0087c87e8: a00f8052  mov	w0, #0x7d
0xfffffff0087c87ec: 0bcc0294  bl	#0xfffffff00887b818
0xfffffff0087c87f0: f60300aa  mov	x22, x0
0xfffffff0087c87f4: 6eae0394  bl	#0xfffffff0088b41ac
