; Candidate 6396
; ADRP+ADD at VM 0xfffffff008829578 (fileoff 0x1825578): page=0x1fe9c0000 add_imm=0xe80

0xfffffff0088294f8: 18020034  cbz	w24, #0xfffffff008829538
0xfffffff0088294fc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008829500: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008829504: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008829508: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff00882950c: 08ed2791  add	x8, x8, #0x9fb
0xfffffff008829510: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008829514: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829518: 08653291  add	x8, x8, #0xc99
0xfffffff00882951c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008829520: e80a8052  mov	w8, #0x57
0xfffffff008829524: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829528: 00502d91  add	x0, x0, #0xb54
0xfffffff00882952c: f72300a9  stp	x23, x8, [sp]
0xfffffff008829530: cc37d697  bl	#0xfffffff007db7460
0xfffffff008829534: 19000014  b	#0xfffffff008829598
0xfffffff008829538: 1d2b0294  bl	#0xfffffff0088b41ac
0xfffffff00882953c: f70300aa  mov	x23, x0
0xfffffff008829540: e0008052  mov	w0, #7
0xfffffff008829544: c3480194  bl	#0xfffffff00887b850
0xfffffff008829548: e80316aa  mov	x8, x22
0xfffffff00882954c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008829550: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008829554: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008829558: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff00882955c: 08ed2791  add	x8, x8, #0x9fb
0xfffffff008829560: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008829564: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829568: 08653291  add	x8, x8, #0xc99
0xfffffff00882956c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008829570: e80a8052  mov	w8, #0x57
0xfffffff008829574: f72300a9  stp	x23, x8, [sp]
0xfffffff008829578: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00882957c: 00003a91  add	x0, x0, #0xe80
0xfffffff008829580: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829584: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829588: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff00882958c: 631c2f91  add	x3, x3, #0xbc7
0xfffffff008829590: 02008052  mov	w2, #0
0xfffffff008829594: e726ec97  bl	#0xfffffff008333130
0xfffffff008829598: e00316aa  mov	x0, x22
0xfffffff00882959c: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0088295a0: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0088295a4: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0088295a8: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0088295ac: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0088295b0: ff030391  add	sp, sp, #0xc0
0xfffffff0088295b4: ff0f5fd6  retab	
0xfffffff0088295b8: 7f2303d5  pacibsp	
0xfffffff0088295bc: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088295c0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088295c4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088295c8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088295cc: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088295d0: fd430291  add	x29, sp, #0x90
0xfffffff0088295d4: f40301aa  mov	x20, x1
0xfffffff0088295d8: f30300aa  mov	x19, x0
0xfffffff0088295dc: e00a8052  mov	w0, #0x57
0xfffffff0088295e0: 01018052  mov	w1, #8
0xfffffff0088295e4: 7b480194  bl	#0xfffffff00887b7d0
0xfffffff0088295e8: a0050034  cbz	w0, #0xfffffff00882969c
0xfffffff0088295ec: e00a8052  mov	w0, #0x57
0xfffffff0088295f0: 8a480194  bl	#0xfffffff00887b818
0xfffffff0088295f4: f60300aa  mov	x22, x0
