; Candidate 11327
; ADRP+ADD at VM 0xfffffff008ef2114 (fileoff 0x1eee114): page=0x1fe518000 add_imm=0xdc0

0xfffffff008ef2094: 0061fff0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef2098: 00002691  add	x0, x0, #0x980
0xfffffff008ef209c: 1691d197  bl	#0xfffffff0083564f4
0xfffffff008ef20a0: 28008052  mov	w8, #1
0xfffffff008ef20a4: 1f7c01a9  stp	xzr, xzr, [x0, #0x10]
0xfffffff008ef20a8: 1061ffd0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef20ac: 10a22991  add	x16, x16, #0xa68
0xfffffff008ef20b0: 10420091  add	x16, x16, #0x10
0xfffffff008ef20b4: f10300aa  mov	x17, x0
0xfffffff008ef20b8: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef20bc: 300ac1da  pacda	x16, x17
0xfffffff008ef20c0: 102000a9  stp	x16, x8, [x0]
0xfffffff008ef20c4: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008ef20c8: 081000f9  str	x8, [x0, #0x20]
0xfffffff008ef20cc: e86340b9  ldr	w8, [sp, #0x60]
0xfffffff008ef20d0: 082800b9  str	w8, [x0, #0x28]
0xfffffff008ef20d4: 9f7e00a9  stp	xzr, xzr, [x20]
0xfffffff008ef20d8: 9f0201a9  stp	xzr, x0, [x20, #0x10]
0xfffffff008ef20dc: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008ef20e0: e960fff0  adrp	x9, #0xfffffff007b11000
0xfffffff008ef20e4: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008ef20e8: 290140f9  ldr	x9, [x9]
0xfffffff008ef20ec: 3f0108eb  cmp	x9, x8
0xfffffff008ef20f0: e1010054  b.ne	#0xfffffff008ef212c
0xfffffff008ef20f4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008ef20f8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008ef20fc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008ef2100: ff830291  add	sp, sp, #0xa0
0xfffffff008ef2104: ff0f5fd6  retab	
0xfffffff008ef2108: c028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef210c: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef2110: 81fdff97  bl	#0xfffffff008ef1714
0xfffffff008ef2114: c028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef2118: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef211c: 7efdff97  bl	#0xfffffff008ef1714
0xfffffff008ef2120: 8028ffd0  adrp	x0, #0xfffffff007404000
0xfffffff008ef2124: 00000891  add	x0, x0, #0x200
0xfffffff008ef2128: 7bfdff97  bl	#0xfffffff008ef1714
0xfffffff008ef212c: 48afb997  bl	#0xfffffff007d5de4c
0xfffffff008ef2130: c028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef2134: 006c2f91  add	x0, x0, #0xbdb
0xfffffff008ef2138: 77fdff97  bl	#0xfffffff008ef1714
0xfffffff008ef213c: 7f2303d5  pacibsp	
0xfffffff008ef2140: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008ef2144: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008ef2148: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008ef214c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008ef2150: fd430291  add	x29, sp, #0x90
0xfffffff008ef2154: f40308aa  mov	x20, x8
0xfffffff008ef2158: e860fff0  adrp	x8, #0xfffffff007b11000
0xfffffff008ef215c: 084143f9  ldr	x8, [x8, #0x680]
0xfffffff008ef2160: 080140f9  ldr	x8, [x8]
0xfffffff008ef2164: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff008ef2168: 480040b9  ldr	w8, [x2]
0xfffffff008ef216c: 48010034  cbz	w8, #0xfffffff008ef2194
0xfffffff008ef2170: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef2174: 800200ad  stp	q0, q0, [x20]
0xfffffff008ef2178: c8008052  mov	w8, #6
0xfffffff008ef217c: 880200b9  str	w8, [x20]
0xfffffff008ef2180: c828ff90  adrp	x8, #0xfffffff00740a000
0xfffffff008ef2184: 08dd1691  add	x8, x8, #0x5b7
0xfffffff008ef2188: e9048052  mov	w9, #0x27
0xfffffff008ef218c: 88a600a9  stp	x8, x9, [x20, #8]
0xfffffff008ef2190: 65000014  b	#0xfffffff008ef2324
