; Candidate 8833
; ADRP+ADD at VM 0xfffffff0088d7968 (fileoff 0x18d3968): page=0x1fe993000 add_imm=0xd05

0xfffffff0088d78e8: 9f020094  bl	#0xfffffff0088d8364
0xfffffff0088d78ec: 40040034  cbz	w0, #0xfffffff0088d7974
0xfffffff0088d78f0: f70300aa  mov	x23, x0
0xfffffff0088d78f4: 700240f9  ldr	x16, [x19]
0xfffffff0088d78f8: f10313aa  mov	x17, x19
0xfffffff0088d78fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7900: 301ac1da  autda	x16, x17
0xfffffff0088d7904: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d7908: 1002118b  add	x16, x16, x17
0xfffffff0088d790c: 080240f9  ldr	x8, [x16]
0xfffffff0088d7910: e90310aa  mov	x9, x16
0xfffffff0088d7914: e00313aa  mov	x0, x19
0xfffffff0088d7918: 010080d2  mov	x1, #0
0xfffffff0088d791c: f10309aa  mov	x17, x9
0xfffffff0088d7920: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d7924: 11093fd7  blraa	x8, x17
0xfffffff0088d7928: f80300aa  mov	x24, x0
0xfffffff0088d792c: 700240f9  ldr	x16, [x19]
0xfffffff0088d7930: f10313aa  mov	x17, x19
0xfffffff0088d7934: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7938: 301ac1da  autda	x16, x17
0xfffffff0088d793c: 118e80d2  mov	x17, #0x470
0xfffffff0088d7940: 1002118b  add	x16, x16, x17
0xfffffff0088d7944: 080240f9  ldr	x8, [x16]
0xfffffff0088d7948: e90310aa  mov	x9, x16
0xfffffff0088d794c: e00313aa  mov	x0, x19
0xfffffff0088d7950: e10317aa  mov	x1, x23
0xfffffff0088d7954: f10309aa  mov	x17, x9
0xfffffff0088d7958: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088d795c: 11093fd7  blraa	x8, x17
0xfffffff0088d7960: f98300a9  stp	x25, x0, [sp, #8]
0xfffffff0088d7964: f80300f9  str	x24, [sp]
0xfffffff0088d7968: 804cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d796c: 00143491  add	x0, x0, #0xd05
0xfffffff0088d7970: acfde997  bl	#0xfffffff008357020
0xfffffff0088d7974: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0088d7978: e8630091  add	x8, sp, #0x18
0xfffffff0088d797c: d089ffd0  adrp	x16, #0xfffffff007a11000
0xfffffff0088d7980: 10ca46f9  ldr	x16, [x16, #0xd90]
0xfffffff0088d7984: f10308aa  mov	x17, x8
0xfffffff0088d7988: 315cedf2  movk	x17, #0x6ae1, lsl #48
0xfffffff0088d798c: 300ac1da  pacda	x16, x17
0xfffffff0088d7990: f00f00f9  str	x16, [sp, #0x18]
0xfffffff0088d7994: 894cfff0  adrp	x9, #0xfffffff00726a000
0xfffffff0088d7998: 202545fd  ldr	d0, [x9, #0xa48]
0xfffffff0088d799c: e01300fd  str	d0, [sp, #0x20]
0xfffffff0088d79a0: 09410091  add	x9, x8, #0x10
0xfffffff0088d79a4: 100000b0  adrp	x16, #0xfffffff0088d8000
0xfffffff0088d79a8: 10121e91  add	x16, x16, #0x784
0xfffffff0088d79ac: 3001c1da  pacia	x16, x9
0xfffffff0088d79b0: f01700f9  str	x16, [sp, #0x28]
0xfffffff0088d79b4: 08610091  add	x8, x8, #0x18
0xfffffff0088d79b8: d089fff0  adrp	x16, #0xfffffff007a12000
0xfffffff0088d79bc: 10222e91  add	x16, x16, #0xb88
0xfffffff0088d79c0: f10308aa  mov	x17, x8
0xfffffff0088d79c4: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff0088d79c8: 300ac1da  pacda	x16, x17
0xfffffff0088d79cc: e8430191  add	x8, sp, #0x50
0xfffffff0088d79d0: f01b00f9  str	x16, [sp, #0x30]
0xfffffff0088d79d4: e8cf03a9  stp	x8, x19, [sp, #0x38]
0xfffffff0088d79d8: e1630091  add	x1, sp, #0x18
0xfffffff0088d79dc: adfbff97  bl	#0xfffffff0088d6890
0xfffffff0088d79e0: 60040034  cbz	w0, #0xfffffff0088d7a6c
0xfffffff0088d79e4: f70300aa  mov	x23, x0
