; Candidate 9664
; ADRP+ADD at VM 0xfffffff008aa6880 (fileoff 0x1aa2880): page=0x1fe812000 add_imm=0xec5

0xfffffff008aa6800: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008aa6804: ff830191  add	sp, sp, #0x60
0xfffffff008aa6808: ff0f5fd6  retab	
0xfffffff008aa680c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff008aa6810: 091540f9  ldr	x9, [x8, #0x28]
0xfffffff008aa6814: 2ab140b9  ldr	w10, [x9, #0xb0]
0xfffffff008aa6818: e9030aaa  mov	x9, x10
0xfffffff008aa681c: a9031ef8  stur	x9, [x29, #-0x20]
0xfffffff008aa6820: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff008aa6824: 006140f9  ldr	x0, [x8, #0xc0]
0xfffffff008aa6828: 100040f9  ldr	x16, [x0]
0xfffffff008aa682c: e80300aa  mov	x8, x0
0xfffffff008aa6830: f10308aa  mov	x17, x8
0xfffffff008aa6834: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008aa6838: 301ac1da  autda	x16, x17
0xfffffff008aa683c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008aa6840: e90310aa  mov	x9, x16
0xfffffff008aa6844: f10309aa  mov	x17, x9
0xfffffff008aa6848: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008aa684c: 11093fd7  blraa	x8, x17
0xfffffff008aa6850: a8035ef8  ldur	x8, [x29, #-0x20]
0xfffffff008aa6854: e9030091  mov	x9, sp
0xfffffff008aa6858: 280100f9  str	x8, [x9]
0xfffffff008aa685c: 200500f9  str	x0, [x9, #8]
0xfffffff008aa6860: 8840ffd0  adrp	x8, #0xfffffff0072b8000
0xfffffff008aa6864: 081d3c91  add	x8, x8, #0xf07
0xfffffff008aa6868: 280900f9  str	x8, [x9, #0x10]
0xfffffff008aa686c: 8840ffd0  adrp	x8, #0xfffffff0072b8000
0xfffffff008aa6870: 08993991  add	x8, x8, #0xe66
0xfffffff008aa6874: 280d00f9  str	x8, [x9, #0x18]
0xfffffff008aa6878: 680b80d2  mov	x8, #0x5b
0xfffffff008aa687c: 281100f9  str	x8, [x9, #0x20]
0xfffffff008aa6880: 8040ffd0  adrp	x0, #0xfffffff0072b8000
0xfffffff008aa6884: 00143b91  add	x0, x0, #0xec5
0xfffffff008aa6888: 21b7e797  bl	#0xfffffff00849450c
0xfffffff008aa688c: 7f2303d5  pacibsp	
0xfffffff008aa6890: ff8300d1  sub	sp, sp, #0x20
0xfffffff008aa6894: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008aa6898: fd430091  add	x29, sp, #0x10
0xfffffff008aa689c: e00700f9  str	x0, [sp, #8]
0xfffffff008aa68a0: 28008052  mov	w8, #1
0xfffffff008aa68a4: 2800080a  and	w8, w1, w8
0xfffffff008aa68a8: e81f0039  strb	w8, [sp, #7]
0xfffffff008aa68ac: e80740f9  ldr	x8, [sp, #8]
0xfffffff008aa68b0: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff008aa68b4: e81f4039  ldrb	w8, [sp, #7]
0xfffffff008aa68b8: 01010012  and	w1, w8, #1
0xfffffff008aa68bc: 0de7ff97  bl	#0xfffffff008aa04f0
0xfffffff008aa68c0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008aa68c4: ff830091  add	sp, sp, #0x20
0xfffffff008aa68c8: ff0f5fd6  retab	
0xfffffff008aa68cc: 7f2303d5  pacibsp	
0xfffffff008aa68d0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008aa68d4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008aa68d8: fd430091  add	x29, sp, #0x10
0xfffffff008aa68dc: e00700f9  str	x0, [sp, #8]
0xfffffff008aa68e0: 28008052  mov	w8, #1
0xfffffff008aa68e4: 2800080a  and	w8, w1, w8
0xfffffff008aa68e8: e81f0039  strb	w8, [sp, #7]
0xfffffff008aa68ec: e80740f9  ldr	x8, [sp, #8]
0xfffffff008aa68f0: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff008aa68f4: e81f4039  ldrb	w8, [sp, #7]
0xfffffff008aa68f8: 01010012  and	w1, w8, #1
0xfffffff008aa68fc: 9ef3ff97  bl	#0xfffffff008aa3774
