; Candidate 12397
; ADRP+ADD at VM 0xfffffff009099bc4 (fileoff 0x2095bc4): page=0x1fe3c0000 add_imm=0xe24

0xfffffff009099b44: d6423c91  add	x22, x22, #0xf10
0xfffffff009099b48: 1f290071  cmp	w8, #0xa
0xfffffff009099b4c: a8000054  b.hi	#0xfffffff009099b60
0xfffffff009099b50: f65700a9  stp	x22, x21, [sp]
0xfffffff009099b54: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff009099b58: 00583191  add	x0, x0, #0xc56
0xfffffff009099b5c: 31f5ca97  bl	#0xfffffff008357020
0xfffffff009099b60: 730400b4  cbz	x19, #0xfffffff009099bec
0xfffffff009099b64: 540400b4  cbz	x20, #0xfffffff009099bec
0xfffffff009099b68: 9f1e00f1  cmp	x20, #7
0xfffffff009099b6c: 09060054  b.ls	#0xfffffff009099c2c
0xfffffff009099b70: 680240b9  ldr	w8, [x19]
0xfffffff009099b74: 1f050071  cmp	w8, #1
0xfffffff009099b78: c1060054  b.ne	#0xfffffff009099c50
0xfffffff009099b7c: 610640b9  ldr	w1, [x19, #4]
0xfffffff009099b80: 28200091  add	x8, x1, #8
0xfffffff009099b84: 1f0114eb  cmp	x8, x20
0xfffffff009099b88: 48080054  b.hi	#0xfffffff009099c90
0xfffffff009099b8c: 68220091  add	x8, x19, #8
0xfffffff009099b90: 3f000071  cmp	w1, #0
0xfffffff009099b94: e003889a  csel	x0, xzr, x8, eq
0xfffffff009099b98: d5f5ff97  bl	#0xfffffff0090972ec
0xfffffff009099b9c: f30300aa  mov	x19, x0
0xfffffff009099ba0: 80090035  cbnz	w0, #0xfffffff009099cd0
0xfffffff009099ba4: 48018052  mov	w8, #0xa
0xfffffff009099ba8: e9024039  ldrb	w9, [x23]
0xfffffff009099bac: 1f01096b  cmp	w8, w9
0xfffffff009099bb0: 03010054  b.lo	#0xfffffff009099bd0
0xfffffff009099bb4: e80313aa  mov	x8, x19
0xfffffff009099bb8: 087d4093  sxtw	x8, w8
0xfffffff009099bbc: f65700a9  stp	x22, x21, [sp]
0xfffffff009099bc0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009099bc4: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff009099bc8: 00903891  add	x0, x0, #0xe24
0xfffffff009099bcc: 15f5ca97  bl	#0xfffffff008357020
0xfffffff009099bd0: e00313aa  mov	x0, x19
0xfffffff009099bd4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009099bd8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009099bdc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009099be0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009099be4: ffc30191  add	sp, sp, #0x70
0xfffffff009099be8: ff0f5fd6  retab	
0xfffffff009099bec: e8408052  mov	w8, #0x207
0xfffffff009099bf0: 291efff0  adrp	x9, #0xfffffff007460000
0xfffffff009099bf4: 29f11391  add	x9, x9, #0x4fc
0xfffffff009099bf8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009099bfc: 081eff90  adrp	x8, #0xfffffff007459000
0xfffffff009099c00: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009099c04: 2a1efff0  adrp	x10, #0xfffffff007460000
0xfffffff009099c08: 4ad91591  add	x10, x10, #0x576
0xfffffff009099c0c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009099c10: ea0300f9  str	x10, [sp]
0xfffffff009099c14: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff009099c18: 00d42c91  add	x0, x0, #0xb35
0xfffffff009099c1c: 01f5ca97  bl	#0xfffffff008357020
0xfffffff009099c20: c8088052  mov	w8, #0x46
0xfffffff009099c24: 53008012  mov	w19, #-3
0xfffffff009099c28: e0ffff17  b	#0xfffffff009099ba8
0xfffffff009099c2c: 68418052  mov	w8, #0x20b
0xfffffff009099c30: 291efff0  adrp	x9, #0xfffffff007460000
0xfffffff009099c34: 29f11391  add	x9, x9, #0x4fc
0xfffffff009099c38: e81300f9  str	x8, [sp, #0x20]
0xfffffff009099c3c: 081eff90  adrp	x8, #0xfffffff007459000
0xfffffff009099c40: 08b92d91  add	x8, x8, #0xb6e
