; Candidate 3392
; ADRP+ADD at VM 0xfffffff008739ec8 (fileoff 0x1735ec8): page=0x1fe9f8000 add_imm=0xd90

0xfffffff008739e48: 09dd75b9  ldr	w9, [x8, #0x35dc]
0xfffffff008739e4c: 09060034  cbz	w9, #0xfffffff008739f0c
0xfffffff008739e50: 160080d2  mov	x22, #0
0xfffffff008739e54: 89bb8652  mov	w9, #0x35dc
0xfffffff008739e58: 1701098b  add	x23, x8, x9
0xfffffff008739e5c: 18188052  mov	w24, #0xc0
0xfffffff008739e60: 09bc8652  mov	w9, #0x35e0
0xfffffff008739e64: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008739e68: 5423099b  madd	x20, x26, x9, x8
0xfffffff008739e6c: 684a3b8b  add	x8, x19, w27, uxtw #2
0xfffffff008739e70: 09208052  mov	w9, #0x100
0xfffffff008739e74: 09b8a572  movk	w9, #0x2dc0, lsl #16
0xfffffff008739e78: c90e1c33  bfi	w9, w22, #4, #4
0xfffffff008739e7c: 098d00b8  str	w9, [x8, #8]!
0xfffffff008739e80: d5010034  cbz	w21, #0xfffffff008739eb8
0xfffffff008739e84: 0a0080d2  mov	x10, #0
0xfffffff008739e88: eb2f40f9  ldr	x11, [sp, #0x58]
0xfffffff008739e8c: 0cbc8652  mov	w12, #0x35e0
0xfffffff008739e90: 4b2f0c9b  madd	x11, x26, x12, x11
0xfffffff008739e94: cb2e189b  madd	x11, x22, x24, x11
0xfffffff008739e98: 6b255db9  ldr	w11, [x11, #0x1d24]
0xfffffff008739e9c: 8c7b6af8  ldr	x12, [x28, x10, lsl #3]
0xfffffff008739ea0: 8c0d40b9  ldr	w12, [x12, #0xc]
0xfffffff008739ea4: 9f010b6b  cmp	w12, w11
0xfffffff008739ea8: 20020054  b.eq	#0xfffffff008739eec
0xfffffff008739eac: 4a050091  add	x10, x10, #1
0xfffffff008739eb0: bf020aeb  cmp	x21, x10
0xfffffff008739eb4: 41ffff54  b.ne	#0xfffffff008739e9c
0xfffffff008739eb8: c852189b  madd	x8, x22, x24, x20
0xfffffff008739ebc: 08395db9  ldr	w8, [x8, #0x1d38]
0xfffffff008739ec0: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff008739ec4: fb0300f9  str	x27, [sp]
0xfffffff008739ec8: c04fff90  adrp	x0, #0xfffffff007131000
0xfffffff008739ecc: 00403691  add	x0, x0, #0xd90
0xfffffff008739ed0: 2196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008739ed4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008739ed8: 02008052  mov	w2, #0
0xfffffff008739edc: 0350ffd0  adrp	x3, #0xfffffff00713b000
0xfffffff008739ee0: 63d43a91  add	x3, x3, #0xeb5
0xfffffff008739ee4: 93e4ef97  bl	#0xfffffff008333130
0xfffffff008739ee8: 04000014  b	#0xfffffff008739ef8
0xfffffff008739eec: 4a0d0012  and	w10, w10, #0xf
0xfffffff008739ef0: 4901092a  orr	w9, w10, w9
0xfffffff008739ef4: 090100b9  str	w9, [x8]
0xfffffff008739ef8: 7b070011  add	w27, w27, #1
0xfffffff008739efc: d6060091  add	x22, x22, #1
0xfffffff008739f00: e80240b9  ldr	w8, [x23]
0xfffffff008739f04: df0208eb  cmp	x22, x8
0xfffffff008739f08: 23fbff54  b.lo	#0xfffffff008739e6c
0xfffffff008739f0c: 6851ffd0  adrp	x8, #0xfffffff007167000
0xfffffff008739f10: 006541fd  ldr	d0, [x8, #0x2c8]
0xfffffff008739f14: 604600fd  str	d0, [x19, #0x88]
0xfffffff008739f18: e62b40f9  ldr	x6, [sp, #0x50]
0xfffffff008739f1c: ca004039  ldrb	w10, [x6]
0xfffffff008739f20: 884b8052  mov	w8, #0x25c
0xfffffff008739f24: e59343a9  ldp	x5, x4, [sp, #0x38]
0xfffffff008739f28: 8814089b  madd	x8, x4, x8, x5
0xfffffff008739f2c: 09610191  add	x9, x8, #0x58
0xfffffff008739f30: 085d0191  add	x8, x8, #0x57
0xfffffff008739f34: 5f050071  cmp	w10, #1
0xfffffff008739f38: 2a01889a  csel	x10, x9, x8, eq
0xfffffff008739f3c: 4a014039  ldrb	w10, [x10]
0xfffffff008739f40: 0bbaa552  mov	w11, #0x2dd00000
0xfffffff008739f44: 4b051a33  bfi	w11, w10, #6, #2
