; Candidate 8494
; ADRP+ADD at VM 0xfffffff0088ade44 (fileoff 0x18a9e44): page=0x1fe93c000 add_imm=0xe80

0xfffffff0088addc4: 00050034  cbz	w0, #0xfffffff0088ade64
0xfffffff0088addc8: c00f8052  mov	w0, #0x7e
0xfffffff0088addcc: 9336ff97  bl	#0xfffffff00887b818
0xfffffff0088addd0: f70300aa  mov	x23, x0
0xfffffff0088addd4: f6180094  bl	#0xfffffff0088b41ac
0xfffffff0088addd8: f60300aa  mov	x22, x0
0xfffffff0088adddc: c0008052  mov	w0, #6
0xfffffff0088adde0: 9c36ff97  bl	#0xfffffff00887b850
0xfffffff0088adde4: 97010034  cbz	w23, #0xfffffff0088ade14
0xfffffff0088adde8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088addec: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088addf0: 08513791  add	x8, x8, #0xdd4
0xfffffff0088addf4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088addf8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088addfc: c80f8052  mov	w8, #0x7e
0xfffffff0088ade00: c04bff90  adrp	x0, #0xfffffff007225000
0xfffffff0088ade04: 00042891  add	x0, x0, #0xa01
0xfffffff0088ade08: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ade0c: 9525d497  bl	#0xfffffff007db7460
0xfffffff0088ade10: 15000014  b	#0xfffffff0088ade64
0xfffffff0088ade14: e6180094  bl	#0xfffffff0088b41ac
0xfffffff0088ade18: f60300aa  mov	x22, x0
0xfffffff0088ade1c: c0008052  mov	w0, #6
0xfffffff0088ade20: 8c36ff97  bl	#0xfffffff00887b850
0xfffffff0088ade24: e80315aa  mov	x8, x21
0xfffffff0088ade28: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ade2c: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ade30: 08513791  add	x8, x8, #0xdd4
0xfffffff0088ade34: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ade38: c80f8052  mov	w8, #0x7e
0xfffffff0088ade3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ade40: f60300f9  str	x22, [sp]
0xfffffff0088ade44: e049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ade48: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ade4c: c18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ade50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ade54: a34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088ade58: 63a43891  add	x3, x3, #0xe29
0xfffffff0088ade5c: 02008052  mov	w2, #0
0xfffffff0088ade60: b414ea97  bl	#0xfffffff008333130
0xfffffff0088ade64: e00315aa  mov	x0, x21
0xfffffff0088ade68: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088ade6c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088ade70: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088ade74: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088ade78: ff030291  add	sp, sp, #0x80
0xfffffff0088ade7c: ff0f5fd6  retab	
0xfffffff0088ade80: 7f2303d5  pacibsp	
0xfffffff0088ade84: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088ade88: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088ade8c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088ade90: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088ade94: fdc30191  add	x29, sp, #0x70
0xfffffff0088ade98: f30300aa  mov	x19, x0
0xfffffff0088ade9c: c00f8052  mov	w0, #0x7e
0xfffffff0088adea0: c1008052  mov	w1, #6
0xfffffff0088adea4: 4b36ff97  bl	#0xfffffff00887b7d0
0xfffffff0088adea8: 40020034  cbz	w0, #0xfffffff0088adef0
0xfffffff0088adeac: c00f8052  mov	w0, #0x7e
0xfffffff0088adeb0: 5a36ff97  bl	#0xfffffff00887b818
0xfffffff0088adeb4: f50300aa  mov	x21, x0
0xfffffff0088adeb8: bd180094  bl	#0xfffffff0088b41ac
0xfffffff0088adebc: f40300aa  mov	x20, x0
0xfffffff0088adec0: c0008052  mov	w0, #6
