; Candidate 10147
; ADRP+ADD at VM 0xfffffff008cb66f0 (fileoff 0x1cb26f0): page=0x1fe69c000 add_imm=0xd21

0xfffffff008cb6670: 88578052  mov	w8, #0x2bc
0xfffffff008cb6674: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008cb6678: 410100b4  cbz	x1, #0xfffffff008cb66a0
0xfffffff008cb667c: f50302aa  mov	x21, x2
0xfffffff008cb6680: f40300aa  mov	x20, x0
0xfffffff008cb6684: 08187d39  ldrb	w8, [x0, #0xf46]
0xfffffff008cb6688: 08010034  cbz	w8, #0xfffffff008cb66a8
0xfffffff008cb668c: 75010036  tbz	w21, #0, #0xfffffff008cb66b8
0xfffffff008cb6690: 16008052  mov	w22, #0
0xfffffff008cb6694: 6d000014  b	#0xfffffff008cb6848
0xfffffff008cb6698: 16008052  mov	w22, #0
0xfffffff008cb669c: 85000014  b	#0xfffffff008cb68b0
0xfffffff008cb66a0: 16110011  add	w22, w8, #4
0xfffffff008cb66a4: 83000014  b	#0xfffffff008cb68b0
0xfffffff008cb66a8: 16008052  mov	w22, #0
0xfffffff008cb66ac: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008cb66b0: a80c0034  cbz	w8, #0xfffffff008cb6844
0xfffffff008cb66b4: 950c0037  tbnz	w21, #0, #0xfffffff008cb6844
0xfffffff008cb66b8: 88067d39  ldrb	w8, [x20, #0xf41]
0xfffffff008cb66bc: 89027d39  ldrb	w9, [x20, #0xf40]
0xfffffff008cb66c0: 1f01096b  cmp	w8, w9
0xfffffff008cb66c4: c1000054  b.ne	#0xfffffff008cb66dc
0xfffffff008cb66c8: e00313aa  mov	x0, x19
0xfffffff008cb66cc: 37132a94  bl	#0xfffffff00973b3a8
0xfffffff008cb66d0: 60000034  cbz	w0, #0xfffffff008cb66dc
0xfffffff008cb66d4: 16008052  mov	w22, #0
0xfffffff008cb66d8: 19000014  b	#0xfffffff008cb673c
0xfffffff008cb66dc: 88f27d39  ldrb	w8, [x20, #0xf7c]
0xfffffff008cb66e0: e8002036  tbz	w8, #4, #0xfffffff008cb66fc
0xfffffff008cb66e4: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008cb66e8: 89027d39  ldrb	w9, [x20, #0xf40]
0xfffffff008cb66ec: e82700a9  stp	x8, x9, [sp]
0xfffffff008cb66f0: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb66f4: 00843491  add	x0, x0, #0xd21
0xfffffff008cb66f8: 4a82da97  bl	#0xfffffff008357020
0xfffffff008cb66fc: 88027d39  ldrb	w8, [x20, #0xf40]
0xfffffff008cb6700: 700240f9  ldr	x16, [x19]
0xfffffff008cb6704: f10313aa  mov	x17, x19
0xfffffff008cb6708: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cb670c: 301ac1da  autda	x16, x17
0xfffffff008cb6710: 11b480d2  mov	x17, #0x5a0
0xfffffff008cb6714: 1002118b  add	x16, x16, x17
0xfffffff008cb6718: 090240f9  ldr	x9, [x16]
0xfffffff008cb671c: ea0310aa  mov	x10, x16
0xfffffff008cb6720: 1f010071  cmp	w8, #0
0xfffffff008cb6724: 36008052  mov	w22, #1
0xfffffff008cb6728: c106961a  cinc	w1, w22, ne
0xfffffff008cb672c: e00313aa  mov	x0, x19
0xfffffff008cb6730: f1030aaa  mov	x17, x10
0xfffffff008cb6734: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff008cb6738: 31093fd7  blraa	x9, x17
0xfffffff008cb673c: 881a7d39  ldrb	w8, [x20, #0xf46]
0xfffffff008cb6740: a8000034  cbz	w8, #0xfffffff008cb6754
0xfffffff008cb6744: e00313aa  mov	x0, x19
0xfffffff008cb6748: ee4c2a94  bl	#0xfffffff009749b00
0xfffffff008cb674c: 1f040071  cmp	w0, #1
0xfffffff008cb6750: 21010054  b.ne	#0xfffffff008cb6774
0xfffffff008cb6754: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008cb6758: 68010034  cbz	w8, #0xfffffff008cb6784
0xfffffff008cb675c: e00313aa  mov	x0, x19
0xfffffff008cb6760: e84c2a94  bl	#0xfffffff009749b00
0xfffffff008cb6764: 1f080071  cmp	w0, #2
0xfffffff008cb6768: e0000054  b.eq	#0xfffffff008cb6784
0xfffffff008cb676c: 41008052  mov	w1, #2
