; Candidate 7835
; ADRP+ADD at VM 0xfffffff0088822a0 (fileoff 0x187e2a0): page=0x1fe990000 add_imm=0xd12

0xfffffff008882220: 16010034  cbz	w22, #0xfffffff008882240
0xfffffff008882224: e00313aa  mov	x0, x19
0xfffffff008882228: e10314aa  mov	x1, x20
0xfffffff00888222c: e20315aa  mov	x2, x21
0xfffffff008882230: 61fdff97  bl	#0xfffffff0088817b4
0xfffffff008882234: f70300aa  mov	x23, x0
0xfffffff008882238: 02000014  b	#0xfffffff008882240
0xfffffff00888223c: 17008052  mov	w23, #0
0xfffffff008882240: 800b8052  mov	w0, #0x5c
0xfffffff008882244: e1008052  mov	w1, #7
0xfffffff008882248: 62e5ff97  bl	#0xfffffff00887b7d0
0xfffffff00888224c: 80060034  cbz	w0, #0xfffffff00888231c
0xfffffff008882250: 800b8052  mov	w0, #0x5c
0xfffffff008882254: 71e5ff97  bl	#0xfffffff00887b818
0xfffffff008882258: f90300aa  mov	x25, x0
0xfffffff00888225c: d4c70094  bl	#0xfffffff0088b41ac
0xfffffff008882260: f80300aa  mov	x24, x0
0xfffffff008882264: e0008052  mov	w0, #7
0xfffffff008882268: 7ae5ff97  bl	#0xfffffff00887b850
0xfffffff00888226c: 59020034  cbz	w25, #0xfffffff0088822b4
0xfffffff008882270: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882274: e903162a  mov	w9, w22
0xfffffff008882278: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff00888227c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008882280: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008882284: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882288: 09f50691  add	x9, x8, #0x1bd
0xfffffff00888228c: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882290: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882294: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008882298: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888229c: 880b8052  mov	w8, #0x5c
0xfffffff0088822a0: 804cff90  adrp	x0, #0xfffffff007212000
0xfffffff0088822a4: 00483491  add	x0, x0, #0xd12
0xfffffff0088822a8: f82300a9  stp	x24, x8, [sp]
0xfffffff0088822ac: 6dd4d497  bl	#0xfffffff007db7460
0xfffffff0088822b0: 1b000014  b	#0xfffffff00888231c
0xfffffff0088822b4: bec70094  bl	#0xfffffff0088b41ac
0xfffffff0088822b8: f80300aa  mov	x24, x0
0xfffffff0088822bc: e0008052  mov	w0, #7
0xfffffff0088822c0: 64e5ff97  bl	#0xfffffff00887b850
0xfffffff0088822c4: e80317aa  mov	x8, x23
0xfffffff0088822c8: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088822cc: e82b00f9  str	x8, [sp, #0x50]
0xfffffff0088822d0: e803162a  mov	w8, w22
0xfffffff0088822d4: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088822d8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088822dc: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088822e0: 08f50691  add	x8, x8, #0x1bd
0xfffffff0088822e4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088822e8: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088822ec: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088822f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088822f4: 880b8052  mov	w8, #0x5c
0xfffffff0088822f8: c34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff0088822fc: 63b00491  add	x3, x3, #0x12c
0xfffffff008882300: f82300a9  stp	x24, x8, [sp]
0xfffffff008882304: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882308: 00003a91  add	x0, x0, #0xe80
0xfffffff00888230c: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882310: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882314: 02008052  mov	w2, #0
0xfffffff008882318: 86c3ea97  bl	#0xfffffff008333130
0xfffffff00888231c: e00317aa  mov	x0, x23
