; Candidate 1131
; ADRP+ADD at VM 0xfffffff0082270b4 (fileoff 0x12230b4): page=0x1fee63000 add_imm=0xd14

0xfffffff008227034: 88ff0090  adrp	x8, #0xfffffff00a217000
0xfffffff008227038: 083149b9  ldr	w8, [x8, #0x930]
0xfffffff00822703c: 88000035  cbnz	w8, #0xfffffff00822704c
0xfffffff008227040: a84642b9  ldr	w8, [x21, #0x244]
0xfffffff008227044: 08011532  orr	w8, w8, #0x800
0xfffffff008227048: a84602b9  str	w8, [x21, #0x244]
0xfffffff00822704c: 16010037  tbnz	w22, #0, #0xfffffff00822706c
0xfffffff008227050: 96d038d5  mrs	x22, tpidr_el1
0xfffffff008227054: c8a25039  ldrb	w8, [x22, #0x428]
0xfffffff008227058: a8002836  tbz	w8, #5, #0xfffffff00822706c
0xfffffff00822705c: e00315aa  mov	x0, x21
0xfffffff008227060: 21008052  mov	w1, #1
0xfffffff008227064: 1a990094  bl	#0xfffffff00824d4cc
0xfffffff008227068: b65601f9  str	x22, [x21, #0x2a8]
0xfffffff00822706c: 7f820071  cmp	w19, #0x20
0xfffffff008227070: 60000054  b.eq	#0xfffffff00822707c
0xfffffff008227074: 7f060071  cmp	w19, #1
0xfffffff008227078: 81000054  b.ne	#0xfffffff008227088
0xfffffff00822707c: a84242b9  ldr	w8, [x21, #0x240]
0xfffffff008227080: 08011132  orr	w8, w8, #0x8000
0xfffffff008227084: a84202b9  str	w8, [x21, #0x240]
0xfffffff008227088: 1c008052  mov	w28, #0
0xfffffff00822708c: 950200f9  str	x21, [x20]
0xfffffff008227090: e0031caa  mov	x0, x28
0xfffffff008227094: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008227098: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00822709c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0082270a0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0082270a4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0082270a8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0082270ac: ff430291  add	sp, sp, #0x90
0xfffffff0082270b0: ff0f5fd6  retab	
0xfffffff0082270b4: 0073fff0  adrp	x0, #0xfffffff00708a000
0xfffffff0082270b8: 00503491  add	x0, x0, #0xd14
0xfffffff0082270bc: 0173fff0  adrp	x1, #0xfffffff00708a000
0xfffffff0082270c0: 21c03291  add	x1, x1, #0xcb0
0xfffffff0082270c4: a2508052  mov	w2, #0x285
0xfffffff0082270c8: d3e10994  bl	#0xfffffff00849f814
0xfffffff0082270cc: 2073ff90  adrp	x0, #0xfffffff00708b000
0xfffffff0082270d0: 00783591  add	x0, x0, #0xd5e
0xfffffff0082270d4: 0173fff0  adrp	x1, #0xfffffff00708a000
0xfffffff0082270d8: 21c03291  add	x1, x1, #0xcb0
0xfffffff0082270dc: c2628052  mov	w2, #0x316
0xfffffff0082270e0: cde10994  bl	#0xfffffff00849f814
0xfffffff0082270e4: 0c000000  udf	#0xc
0xfffffff0082270e8: bc000000  udf	#0xbc
0xfffffff0082270ec: 98000000  udf	#0x98
0xfffffff0082270f0: 98000000  udf	#0x98
0xfffffff0082270f4: 98000000  udf	#0x98
0xfffffff0082270f8: 98000000  udf	#0x98
0xfffffff0082270fc: 98000000  udf	#0x98
0xfffffff008227100: 98000000  udf	#0x98
0xfffffff008227104: 98000000  udf	#0x98
0xfffffff008227108: 98000000  udf	#0x98
0xfffffff00822710c: 98000000  udf	#0x98
0xfffffff008227110: 98000000  udf	#0x98
0xfffffff008227114: 98000000  udf	#0x98
0xfffffff008227118: 98000000  udf	#0x98
0xfffffff00822711c: 98000000  udf	#0x98
0xfffffff008227120: 98000000  udf	#0x98
0xfffffff008227124: 2c010000  udf	#0x12c
0xfffffff008227128: 98000000  udf	#0x98
0xfffffff00822712c: 98000000  udf	#0x98
0xfffffff008227130: 98000000  udf	#0x98
