; Candidate 2723
; ADRP+ADD at VM 0xfffffff0086e5088 (fileoff 0x16e1088): page=0x1fea4c000 add_imm=0xd90

0xfffffff0086e5008: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e500c: 6052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e5010: 00403691  add	x0, x0, #0xd90
0xfffffff0086e5014: c198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e5018: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e501c: 6352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e5020: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e5024: 02008052  mov	w2, #0
0xfffffff0086e5028: 4238f197  bl	#0xfffffff008333130
0xfffffff0086e502c: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e5030: 080240b9  ldr	w8, [x16]
0xfffffff0086e5034: 05000014  b	#0xfffffff0086e5048
0xfffffff0086e5038: 16008052  mov	w22, #0
0xfffffff0086e503c: 55008052  mov	w21, #2
0xfffffff0086e5040: e8030aaa  mov	x8, x10
0xfffffff0086e5044: f40309aa  mov	x20, x9
0xfffffff0086e5048: e903154b  neg	w9, w21
0xfffffff0086e504c: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e5050: 3601162a  orr	w22, w9, w22
0xfffffff0086e5054: 8922d51a  lsl	w9, w20, w21
0xfffffff0086e5058: 290200b9  str	w9, [x17]
0xfffffff0086e505c: 0801154b  sub	w8, w8, w21
0xfffffff0086e5060: 080200b9  str	w8, [x16]
0xfffffff0086e5064: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e5068: 290140b9  ldr	w9, [x9]
0xfffffff0086e506c: 3f011a6a  tst	w9, w26
0xfffffff0086e5070: e0010054  b.eq	#0xfffffff0086e50ac
0xfffffff0086e5074: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e5078: 4853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086e507c: 08610891  add	x8, x8, #0x218
0xfffffff0086e5080: 49008052  mov	w9, #2
0xfffffff0086e5084: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e5088: 6052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e508c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e5090: c198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e5094: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e5098: 6352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e509c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e50a0: 02008052  mov	w2, #0
0xfffffff0086e50a4: 2338f197  bl	#0xfffffff008333130
0xfffffff0086e50a8: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e50ac: 080340f9  ldr	x8, [x24]
0xfffffff0086e50b0: 16350039  strb	w22, [x8, #0xd]
0xfffffff0086e50b4: 15294139  ldrb	w21, [x8, #0x4a]
0xfffffff0086e50b8: 95f5ff35  cbnz	w21, #0xfffffff0086e4f68
0xfffffff0086e50bc: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e50c0: 290240b9  ldr	w9, [x17]
0xfffffff0086e50c4: 5f1d0071  cmp	w10, #7
0xfffffff0086e50c8: e8040054  b.hi	#0xfffffff0086e5164
0xfffffff0086e50cc: 08008052  mov	w8, #0
0xfffffff0086e50d0: 14008052  mov	w20, #0
0xfffffff0086e50d4: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e50d8: 8b008052  mov	w11, #4
0xfffffff0086e50dc: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e50e0: 945e1853  lsl	w20, w20, #8
0xfffffff0086e50e4: bf010ceb  cmp	x13, x12
0xfffffff0086e50e8: 02010054  b.hs	#0xfffffff0086e5108
0xfffffff0086e50ec: 08210011  add	w8, w8, #8
0xfffffff0086e50f0: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e50f4: ae050091  add	x14, x13, #1
0xfffffff0086e50f8: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e50fc: ad014039  ldrb	w13, [x13]
0xfffffff0086e5100: 94020d2a  orr	w20, w20, w13
0xfffffff0086e5104: ed030eaa  mov	x13, x14
