; Candidate 9820
; ADRP+ADD at VM 0xfffffff008b4b290 (fileoff 0x1b47290): page=0x1796000 add_imm=0xe80

0xfffffff008b4b210: 130080d2  mov	x19, #0
0xfffffff008b4b214: e00313aa  mov	x0, x19
0xfffffff008b4b218: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b4b21c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b4b220: ff0f5fd6  retab	
0xfffffff008b4b224: 7f2303d5  pacibsp	
0xfffffff008b4b228: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008b4b22c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008b4b230: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008b4b234: fd830091  add	x29, sp, #0x20
0xfffffff008b4b238: f30301aa  mov	x19, x1
0xfffffff008b4b23c: f40300aa  mov	x20, x0
0xfffffff008b4b240: e879fff0  adrp	x8, #0xfffffff007a8a000
0xfffffff008b4b244: 08c145f9  ldr	x8, [x8, #0xb80]
0xfffffff008b4b248: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff008b4b24c: f10308aa  mov	x17, x8
0xfffffff008b4b250: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008b4b254: 31093fd7  blraa	x9, x17
0xfffffff008b4b258: f50300aa  mov	x21, x0
0xfffffff008b4b25c: 930e00b9  str	w19, [x20, #0xc]
0xfffffff008b4b260: 1c24ce97  bl	#0xfffffff007ed42d0
0xfffffff008b4b264: 800a00f9  str	x0, [x20, #0x10]
0xfffffff008b4b268: e00315aa  mov	x0, x21
0xfffffff008b4b26c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008b4b270: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008b4b274: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008b4b278: ff0f5fd6  retab	
0xfffffff008b4b27c: 7f2303d5  pacibsp	
0xfffffff008b4b280: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b4b284: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b4b288: fd430091  add	x29, sp, #0x10
0xfffffff008b4b28c: f40300aa  mov	x20, x0
0xfffffff008b4b290: a0bc00d0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4b294: 00003a91  add	x0, x0, #0xe80
0xfffffff008b4b298: 100040f9  ldr	x16, [x0]
0xfffffff008b4b29c: f10300aa  mov	x17, x0
0xfffffff008b4b2a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4b2a4: 301ac1da  autda	x16, x17
0xfffffff008b4b2a8: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008b4b2ac: e90310aa  mov	x9, x16
0xfffffff008b4b2b0: f10309aa  mov	x17, x9
0xfffffff008b4b2b4: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008b4b2b8: 11093fd7  blraa	x8, x17
0xfffffff008b4b2bc: f30300aa  mov	x19, x0
0xfffffff008b4b2c0: 000300b4  cbz	x0, #0xfffffff008b4b320
0xfffffff008b4b2c4: 700240f9  ldr	x16, [x19]
0xfffffff008b4b2c8: f10313aa  mov	x17, x19
0xfffffff008b4b2cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4b2d0: 301ac1da  autda	x16, x17
0xfffffff008b4b2d4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008b4b2d8: e90310aa  mov	x9, x16
0xfffffff008b4b2dc: e00313aa  mov	x0, x19
0xfffffff008b4b2e0: e10314aa  mov	x1, x20
0xfffffff008b4b2e4: f10309aa  mov	x17, x9
0xfffffff008b4b2e8: 1161e3f2  movk	x17, #0x1b08, lsl #48
0xfffffff008b4b2ec: 11093fd7  blraa	x8, x17
0xfffffff008b4b2f0: 80010037  tbnz	w0, #0, #0xfffffff008b4b320
0xfffffff008b4b2f4: 700240f9  ldr	x16, [x19]
0xfffffff008b4b2f8: f10313aa  mov	x17, x19
0xfffffff008b4b2fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4b300: 301ac1da  autda	x16, x17
0xfffffff008b4b304: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b4b308: e90310aa  mov	x9, x16
0xfffffff008b4b30c: e00313aa  mov	x0, x19
