; Candidate 15835
; ADRP+ADD at VM 0xfffffff009d62f54 (fileoff 0x2d5ef54): page=0x1fdfb9000 add_imm=0xd00

0xfffffff009d62ed4: 10c22c91  add	x16, x16, #0xb30
0xfffffff009d62ed8: 10420091  add	x16, x16, #0x10
0xfffffff009d62edc: f10300aa  mov	x17, x0
0xfffffff009d62ee0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d62ee4: 300ac1da  pacda	x16, x17
0xfffffff009d62ee8: 100000f9  str	x16, [x0]
0xfffffff009d62eec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d62ef0: ff0f5fd6  retab	
0xfffffff009d62ef4: 5f2403d5  bti	c
0xfffffff009d62ef8: df7e0014  b	#0xfffffff009d82a74
0xfffffff009d62efc: 5f2403d5  bti	c
0xfffffff009d62f00: dd7e0014  b	#0xfffffff009d82a74
0xfffffff009d62f04: 7f2303d5  pacibsp	
0xfffffff009d62f08: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d62f0c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d62f10: fd430091  add	x29, sp, #0x10
0xfffffff009d62f14: f30300aa  mov	x19, x0
0xfffffff009d62f18: d77e0094  bl	#0xfffffff009d82a74
0xfffffff009d62f1c: c0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d62f20: 00003491  add	x0, x0, #0xd00
0xfffffff009d62f24: e10313aa  mov	x1, x19
0xfffffff009d62f28: 024e9652  mov	w2, #0xb270
0xfffffff009d62f2c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d62f30: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d62f34: ff2303d5  autibsp	
0xfffffff009d62f38: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d62f3c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d62f44
0xfffffff009d62f40: 208e38d4  brk	#0xc471
0xfffffff009d62f44: d6119617  b	#0xfffffff0082e769c
0xfffffff009d62f48: 5f2403d5  bti	c
0xfffffff009d62f4c: e20301aa  mov	x2, x1
0xfffffff009d62f50: e10300aa  mov	x1, x0
0xfffffff009d62f54: c0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d62f58: 00003491  add	x0, x0, #0xd00
0xfffffff009d62f5c: d0119617  b	#0xfffffff0082e769c
0xfffffff009d62f60: 5f2403d5  bti	c
0xfffffff009d62f64: c03200d0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d62f68: 00802791  add	x0, x0, #0x9e0
0xfffffff009d62f6c: c0035fd6  ret	
0xfffffff009d62f70: 7f2303d5  pacibsp	
0xfffffff009d62f74: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d62f78: fd030091  mov	x29, sp
0xfffffff009d62f7c: 81c8feb0  adrp	x1, #0xfffffff007673000
0xfffffff009d62f80: 21740d91  add	x1, x1, #0x35d
0xfffffff009d62f84: c23200d0  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d62f88: 42e02b91  add	x2, x2, #0xaf8
0xfffffff009d62f8c: 034e9652  mov	w3, #0xb270
0xfffffff009d62f90: ea029697  bl	#0xfffffff0082e3b38
0xfffffff009d62f94: 90fdfeb0  adrp	x16, #0xfffffff007d13000
0xfffffff009d62f98: 10a20791  add	x16, x16, #0x1e8
0xfffffff009d62f9c: 10420091  add	x16, x16, #0x10
0xfffffff009d62fa0: f10300aa  mov	x17, x0
0xfffffff009d62fa4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d62fa8: 300ac1da  pacda	x16, x17
0xfffffff009d62fac: 100000f9  str	x16, [x0]
0xfffffff009d62fb0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d62fb4: ff0f5fd6  retab	
0xfffffff009d62fb8: 7f2303d5  pacibsp	
0xfffffff009d62fbc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d62fc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d62fc4: fd430091  add	x29, sp, #0x10
0xfffffff009d62fc8: c0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d62fcc: 00003491  add	x0, x0, #0xd00
0xfffffff009d62fd0: 014e9652  mov	w1, #0xb270
