; Candidate 16080
; ADRP+ADD at VM 0xfffffff009e12848 (fileoff 0x2e0e848): page=0x1fda0c000 add_imm=0xd75

0xfffffff009e127c8: 00feff35  cbnz	w0, #0xfffffff009e12788
0xfffffff009e127cc: f8ffff17  b	#0xfffffff009e127ac
0xfffffff009e127d0: c0028052  mov	w0, #0x16
0xfffffff009e127d4: ecffff17  b	#0xfffffff009e12784
0xfffffff009e127d8: f90300aa  mov	x25, x0
0xfffffff009e127dc: e00314aa  mov	x0, x20
0xfffffff009e127e0: 7e7f8397  bl	#0xfffffff007ef25d8
0xfffffff009e127e4: f60300aa  mov	x22, x0
0xfffffff009e127e8: f76701a9  stp	x23, x25, [sp, #0x10]
0xfffffff009e127ec: f80300a9  stp	x24, x0, [sp]
0xfffffff009e127f0: 80c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e127f4: 00003891  add	x0, x0, #0xe00
0xfffffff009e127f8: a1f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e127fc: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e12800: 63d0fed0  adrp	x3, #0xfffffff007820000
0xfffffff009e12804: 63ac3a91  add	x3, x3, #0xeab
0xfffffff009e12808: 02028052  mov	w2, #0x10
0xfffffff009e1280c: 49829497  bl	#0xfffffff008333130
0xfffffff009e12810: e00316aa  mov	x0, x22
0xfffffff009e12814: ca7f8397  bl	#0xfffffff007ef273c
0xfffffff009e12818: e00315aa  mov	x0, x21
0xfffffff009e1281c: 59090094  bl	#0xfffffff009e14d80
0xfffffff009e12820: 4cffff17  b	#0xfffffff009e12550
0xfffffff009e12824: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff009e12828: 4b0b8052  mov	w11, #0x5a
0xfffffff009e1282c: 69d0fe90  adrp	x9, #0xfffffff00781e000
0xfffffff009e12830: 29b93691  add	x9, x9, #0xdae
0xfffffff009e12834: 6ad0fe90  adrp	x10, #0xfffffff00781e000
0xfffffff009e12838: 4a913691  add	x10, x10, #0xda4
0xfffffff009e1283c: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff009e12840: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff009e12844: ea0300f9  str	x10, [sp]
0xfffffff009e12848: 60d0fe90  adrp	x0, #0xfffffff00781e000
0xfffffff009e1284c: 00d43591  add	x0, x0, #0xd75
0xfffffff009e12850: 2f079a97  bl	#0xfffffff00849450c
0xfffffff009e12854: 7f2303d5  pacibsp	
0xfffffff009e12858: ff4307d1  sub	sp, sp, #0x1d0
0xfffffff009e1285c: f6571aa9  stp	x22, x21, [sp, #0x1a0]
0xfffffff009e12860: f44f1ba9  stp	x20, x19, [sp, #0x1b0]
0xfffffff009e12864: fd7b1ca9  stp	x29, x30, [sp, #0x1c0]
0xfffffff009e12868: fd030791  add	x29, sp, #0x1c0
0xfffffff009e1286c: f40301aa  mov	x20, x1
0xfffffff009e12870: f50300aa  mov	x21, x0
0xfffffff009e12874: a8f8fef0  adrp	x8, #0xfffffff007d29000
0xfffffff009e12878: 086544f9  ldr	x8, [x8, #0x8c8]
0xfffffff009e1287c: 080140f9  ldr	x8, [x8]
0xfffffff009e12880: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff009e12884: e00301aa  mov	x0, x1
0xfffffff009e12888: 109a8497  bl	#0xfffffff007f390c8
0xfffffff009e1288c: f30300aa  mov	x19, x0
0xfffffff009e12890: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e12894: e0830bad  stp	q0, q0, [sp, #0x170]
0xfffffff009e12898: e0830aad  stp	q0, q0, [sp, #0x150]
0xfffffff009e1289c: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff009e128a0: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff009e128a4: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff009e128a8: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff009e128ac: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff009e128b0: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009e128b4: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009e128b8: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009e128bc: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009e128c0: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff009e128c4: e003803d  str	q0, [sp]
