; Candidate 13223
; ADRP+ADD at VM 0xfffffff009237bac (fileoff 0x2233bac): page=0x1fe27c000 add_imm=0xe80

0xfffffff009237b2c: 08211891  add	x8, x8, #0x608
0xfffffff009237b30: 100140f9  ldr	x16, [x8]
0xfffffff009237b34: 700000b4  cbz	x16, #0xfffffff009237b40
0xfffffff009237b38: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009237b3c: 110a1fd7  braa	x16, x17
0xfffffff009237b40: 00008052  mov	w0, #0
0xfffffff009237b44: c0035fd6  ret	
0xfffffff009237b48: 7f2303d5  pacibsp	
0xfffffff009237b4c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009237b50: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009237b54: fd830091  add	x29, sp, #0x20
0xfffffff009237b58: 08108052  mov	w8, #0x80
0xfffffff009237b5c: e913ff90  adrp	x9, #0xfffffff0074b3000
0xfffffff009237b60: 29e93791  add	x9, x9, #0xdfa
0xfffffff009237b64: ea13ff90  adrp	x10, #0xfffffff0074b3000
0xfffffff009237b68: 4af53a91  add	x10, x10, #0xebd
0xfffffff009237b6c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009237b70: ea0300f9  str	x10, [sp]
0xfffffff009237b74: e013ff90  adrp	x0, #0xfffffff0074b3000
0xfffffff009237b78: 00f43b91  add	x0, x0, #0xefd
0xfffffff009237b7c: 6472c997  bl	#0xfffffff00849450c
0xfffffff009237b80: 7f2303d5  pacibsp	
0xfffffff009237b84: ffc300d1  sub	sp, sp, #0x30
0xfffffff009237b88: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009237b8c: fd830091  add	x29, sp, #0x20
0xfffffff009237b90: c80f8052  mov	w8, #0x7e
0xfffffff009237b94: e913ff90  adrp	x9, #0xfffffff0074b3000
0xfffffff009237b98: 29e93791  add	x9, x9, #0xdfa
0xfffffff009237b9c: ea13ff90  adrp	x10, #0xfffffff0074b3000
0xfffffff009237ba0: 4af53a91  add	x10, x10, #0xebd
0xfffffff009237ba4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009237ba8: ea0300f9  str	x10, [sp]
0xfffffff009237bac: e013ff90  adrp	x0, #0xfffffff0074b3000
0xfffffff009237bb0: 00003a91  add	x0, x0, #0xe80
0xfffffff009237bb4: 5672c997  bl	#0xfffffff00849450c
0xfffffff009237bb8: 7f2303d5  pacibsp	
0xfffffff009237bbc: ff8300d1  sub	sp, sp, #0x20
0xfffffff009237bc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009237bc4: fd430091  add	x29, sp, #0x10
0xfffffff009237bc8: e813ff90  adrp	x8, #0xfffffff0074b3000
0xfffffff009237bcc: 08e93791  add	x8, x8, #0xdfa
0xfffffff009237bd0: c91e8052  mov	w9, #0xf6
0xfffffff009237bd4: e82700a9  stp	x8, x9, [sp]
0xfffffff009237bd8: e013ffb0  adrp	x0, #0xfffffff0074b4000
0xfffffff009237bdc: 00ac0491  add	x0, x0, #0x12b
0xfffffff009237be0: 4b72c997  bl	#0xfffffff00849450c
0xfffffff009237be4: 7f2303d5  pacibsp	
0xfffffff009237be8: ff8300d1  sub	sp, sp, #0x20
0xfffffff009237bec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009237bf0: fd430091  add	x29, sp, #0x10
0xfffffff009237bf4: e813ff90  adrp	x8, #0xfffffff0074b3000
0xfffffff009237bf8: 08e93791  add	x8, x8, #0xdfa
0xfffffff009237bfc: 691f8052  mov	w9, #0xfb
0xfffffff009237c00: e82700a9  stp	x8, x9, [sp]
0xfffffff009237c04: e013ffb0  adrp	x0, #0xfffffff0074b4000
0xfffffff009237c08: 00ac0491  add	x0, x0, #0x12b
0xfffffff009237c0c: 4072c997  bl	#0xfffffff00849450c
0xfffffff009237c10: 7f2303d5  pacibsp	
0xfffffff009237c14: ff8300d1  sub	sp, sp, #0x20
0xfffffff009237c18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009237c1c: fd430091  add	x29, sp, #0x10
0xfffffff009237c20: e813ff90  adrp	x8, #0xfffffff0074b3000
0xfffffff009237c24: 08e93791  add	x8, x8, #0xdfa
0xfffffff009237c28: 69428052  mov	w9, #0x213
