; Candidate 14632
; ADRP+ADD at VM 0xfffffff00986fc6c (fileoff 0x286bc6c): page=0x1fdd5a000 add_imm=0xce0

0xfffffff00986fbec: 280100f9  str	x8, [x9]
0xfffffff00986fbf0: f40315aa  mov	x20, x21
0xfffffff00986fbf4: b5fcffb5  cbnz	x21, #0xfffffff00986fb88
0xfffffff00986fbf8: 61420191  add	x1, x19, #0x50
0xfffffff00986fbfc: e00313aa  mov	x0, x19
0xfffffff00986fc00: 02008052  mov	w2, #0
0xfffffff00986fc04: 2b000094  bl	#0xfffffff00986fcb0
0xfffffff00986fc08: 61820191  add	x1, x19, #0x60
0xfffffff00986fc0c: e00313aa  mov	x0, x19
0xfffffff00986fc10: 22008052  mov	w2, #1
0xfffffff00986fc14: 27000094  bl	#0xfffffff00986fcb0
0xfffffff00986fc18: 687640b9  ldr	w8, [x19, #0x74]
0xfffffff00986fc1c: a8000034  cbz	w8, #0xfffffff00986fc30
0xfffffff00986fc20: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00986fc24: e10313aa  mov	x1, x19
0xfffffff00986fc28: 02008052  mov	w2, #0
0xfffffff00986fc2c: be9eab97  bl	#0xfffffff008357724
0xfffffff00986fc30: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00986fc34: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00986fc38: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00986fc3c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00986fc40: ff430191  add	sp, sp, #0x50
0xfffffff00986fc44: ff2303d5  autibsp	
0xfffffff00986fc48: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00986fc4c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00986fc54
0xfffffff00986fc50: 208e38d4  brk	#0xc471
0xfffffff00986fc54: baf29417  b	#0xfffffff007dac73c
0xfffffff00986fc58: 68618052  mov	w8, #0x30b
0xfffffff00986fc5c: c9eafed0  adrp	x9, #0xfffffff0075c9000
0xfffffff00986fc60: 29313391  add	x9, x9, #0xccc
0xfffffff00986fc64: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00986fc68: f42300a9  stp	x20, x8, [sp]
0xfffffff00986fc6c: c0eafed0  adrp	x0, #0xfffffff0075c9000
0xfffffff00986fc70: 00803391  add	x0, x0, #0xce0
0xfffffff00986fc74: 2692b097  bl	#0xfffffff00849450c
0xfffffff00986fc78: 68618052  mov	w8, #0x30b
0xfffffff00986fc7c: c9eafed0  adrp	x9, #0xfffffff0075c9000
0xfffffff00986fc80: 29313391  add	x9, x9, #0xccc
0xfffffff00986fc84: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00986fc88: f42300a9  stp	x20, x8, [sp]
0xfffffff00986fc8c: c0eafed0  adrp	x0, #0xfffffff0075c9000
0xfffffff00986fc90: 00703291  add	x0, x0, #0xc9c
0xfffffff00986fc94: 1e92b097  bl	#0xfffffff00849450c
0xfffffff00986fc98: 5f2403d5  bti	c
0xfffffff00986fc9c: 001040f9  ldr	x0, [x0, #0x20]
0xfffffff00986fca0: 8bef9417  b	#0xfffffff007dabacc
0xfffffff00986fca4: 5f2403d5  bti	c
0xfffffff00986fca8: 001040f9  ldr	x0, [x0, #0x20]
0xfffffff00986fcac: a4f29417  b	#0xfffffff007dac73c
0xfffffff00986fcb0: 7f2303d5  pacibsp	
0xfffffff00986fcb4: ff8301d1  sub	sp, sp, #0x60
0xfffffff00986fcb8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00986fcbc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00986fcc0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00986fcc4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00986fcc8: fd430191  add	x29, sp, #0x50
0xfffffff00986fccc: 330040f9  ldr	x19, [x1]
0xfffffff00986fcd0: 730900b4  cbz	x19, #0xfffffff00986fdfc
0xfffffff00986fcd4: f40301aa  mov	x20, x1
0xfffffff00986fcd8: f50300aa  mov	x21, x0
0xfffffff00986fcdc: 56000052  eor	w22, w2, #1
0xfffffff00986fce0: f80313aa  mov	x24, x19
0xfffffff00986fce4: 170f4bf8  ldr	x23, [x24, #0xb0]!
0xfffffff00986fce8: 080357f8  ldur	x8, [x24, #-0x90]
